voltages,currents
-1.245919857,-3.986436411
-1.243279976,-3.886933851
-1.240395753,-3.808245549
-1.238050579,-3.734407787
-1.235604925,-3.664283901
-1.232282027,-3.986697031
-1.232121267,-3.591324676
-1.229636858,-3.516947373
-1.227791388,-3.45325992
-1.224025971,-3.385723805
-1.221530108,-3.318963331
-1.22038113,-3.986828593
-1.219390331,-3.259953654
-1.216201465,-3.192180275
-1.213260428,-3.12339774
-1.20982092,-3.063545338
-1.207521684,-3.971271518
-1.205778755,-2.98491182
-1.202518279,-2.901495807
-1.198729941,-2.836595457
-1.194780282,-2.762257555
-1.1946663,-3.94572847
-1.191022878,-2.695561727
-1.187159071,-2.633714802
-1.18452341,-2.57174821
-1.179341359,-2.506282526
-1.17533724,-2.439541823
-1.171699731,-2.379850386
-1.168573119,-3.855787516
-1.166842016,-2.313404345
-1.162336717,-2.243720087
-1.15906539,-2.186970274
-1.159064766,-3.785355472
-1.155523596,-2.124217679
-1.150402901,-2.061267019
-1.149464275,-3.716989852
-1.145036071,-1.99516276
-1.142195578,-3.655397554
-1.139521868,-1.926406847
-1.137459177,-3.590492108
-1.136329603,-1.866985251
-1.132116602,-3.525582617
-1.130961854,-1.803138566
-1.126998063,-3.457334233
-1.125765883,-1.742769554
-1.122295937,-3.382031118
-1.12096975,-1.672648016
-1.116913894,-3.313935019
-1.115849112,-1.609556708
-1.113251259,-3.251134735
-1.110552469,-1.547849395
-1.110489054,-3.188762404
-1.106778475,-3.123336373
-1.10624769,-1.491817235
-1.102642517,-3.055148641
-1.101341767,-1.428024121
-1.100492269,-2.98870521
-1.096474242,-1.365680362
-1.09527474,-2.920510261
-1.09273956,-2.844558937
-1.091282592,-1.300219859
-1.088997503,-2.781208927
-1.086682584,-2.721460745
-1.086234198,-1.236471693
-1.082860283,-2.647435268
-1.081288169,-1.175427337
-1.07879009,-2.571809865
-1.076346713,-2.49609099
-1.076167817,-1.111632792
-1.072880839,-2.434702667
-1.070870645,-1.051225402
-1.069496766,-2.347869497
-1.066917582,-0.993149802
-1.064853947,-2.266310014
-1.061658565,-0.934788455
-1.06093551,-2.184733204
-1.058821481,-2.110351523
-1.056537354,-0.873103622
-1.053352913,-2.034365169
-1.051415095,-0.813997326
-1.051379191,-1.956151769
-1.046981583,-1.8830848
-1.046292836,-0.754891031
-1.043291497,-1.807151681
-1.041169622,-0.698128861
-1.039249109,-1.729065125
-1.036937302,-1.661666571
-1.036045741,-0.643007579
-1.033640149,-1.601319409
-1.030709284,-0.583330566
-1.029380299,-1.530685741
-1.025208395,-1.45470804
-1.024576636,-0.523011975
-1.022893935,-1.393830416
-1.019176876,-1.330641922
-1.018092879,-0.456926024
-1.015587176,-1.264011847
-1.011837034,-0.397713809
-1.011161004,-1.196759831
-1.007624451,-1.132182455
-1.005661395,-0.340390549
-1.003493067,-1.070125559
-0.999461854,-1.00511212
-0.997874856,-0.284118777
-0.996060371,-0.940253694
-0.990889584,-0.877219893
-0.988825816,-0.227640558
-0.986232961,-0.8030138
-0.98086693,-0.734944083
-0.978197754,-0.173717124
-0.975564353,-0.673077722
-0.970128015,-0.615646287
-0.966159061,-0.128818644
-0.964644974,-0.557171273
-0.958796265,-0.49396434
-0.953931249,-0.086431646
-0.95164798,-0.427956385
-0.943805105,-0.366415678
-0.940219981,-0.056382154
-0.934756199,-0.309605675
-0.927360305,-0.04138767
-0.924436197,-0.252902594
-0.91449857,-0.031456496
-0.91283762,-0.20263611
-0.901635002,-0.026026042
-0.900530823,-0.160211573
-0.888771778,-0.019751704
-0.887995615,-0.120450418
-0.87590535,-0.021353626
-0.875233981,-0.090360381
-0.861732773,-0.071048413
-0.849861029,-0.041137039
-0.837301255,-0.037973784
-0.824437574,-0.032824626
-0.813989255,-0.010701841
-0.812368029,-0.028938324
-0.798712957,-0.015775228
-0.789192294,-0.01138278
-0.785847215,-0.01568938
-0.772981473,-0.015603532
-0.762267205,-0.012617506
-0.760115731,-0.015517684
-0.747250332,-0.014587951
-0.739594772,-0.013411571
-0.734385391,-0.012533038
-0.721519649,-0.01244719
-0.714802312,-0.013258866
-0.708654937,-0.009829687
-0.695790454,-0.006649594
-0.690009853,-0.013106161
-0.682924712,-0.006563746
-0.67005897,-0.006477898
-0.665220095,-0.012453271
-0.657193228,-0.00639205
-0.644327486,-0.006306202
-0.640434388,-0.011050101
-0.631461744,-0.006220354
-0.618596002,-0.006134506
-0.615654083,-0.00864656
-0.60573026,-0.006048658
-0.592864518,-0.00596281
-0.590881881,-0.004742462
-0.579998776,-0.005876962
-0.567133033,-0.005791115
-0.56605386,-0.011175537
-0.565720242,0.009032614
-0.554267291,-0.005705267
-0.542605849,-0.008016004
-0.541401549,-0.005619419
-0.540246763,0.019718081
-0.528535807,-0.005533571
-0.517530118,0.034282643
-0.516485147,-0.007869013
-0.515670065,-0.005447723
-0.502804323,-0.005361875
-0.496199098,0.051643613
-0.491706192,-0.005215379
-0.489938581,-0.005276027
-0.478337039,0.069767658
-0.477072839,-0.005190179
-0.466930839,-0.00189483
-0.464207097,-0.005104331
-0.463873983,0.087931187
-0.451341355,-0.005018483
-0.449392897,0.102755513
-0.443617331,-0.016218776
-0.442165389,0.003259733
-0.438078527,0.120980699
-0.42828524,0.138483266
-0.418205207,0.157543784
-0.41740354,0.009081211
-0.406630911,0.178649514
-0.396287906,0.198204444
-0.392646192,0.015736332
-0.389294939,0.215025141
-0.382307486,0.232867051
-0.376202214,0.250099117
-0.370730192,0.267473174
-0.367888845,0.022391452
