Index,Voltage,Concentration
1,10.51761246,2.692408192
1,9.016547333,2.681298168
1,7.729832381,2.610580076
1,2.40888167,2.538294839
1,2.065024248,2.644666267
1,1.770298827,2.64867187
1,1.517637354,2.652683539
1,1.301036358,2.656701284
1,1.115349198,2.660725115
1,0.956167464,2.649745829
1,0.819735667,2.493892184
1,0.702746371,2.469612458
1,0.602478891,2.298243889
1,0.516523504,2.102830152
1,0.442841592,1.859918124
1,0.379687971,1.537257271
1,0.32555074,1.214436145
1,0.27914875,0.881468275
1,0.239364309,0.625498666
1,0.205253932,0.431499914
1,0.176002382,0.30275705
1,0.150918421,0.214839418
1,0.129404445,0.161311162
1,0.110952652,0.128883908
1,0.095126027,0.11271512
1,0.081554763,0.10253546
1,0.069916417,0.099823879
1,0.059937308,0.101110876
1,0.05138508,0.095184445
1,0.044051273,0.095328611
1,0.037764165,0.095472996
1,0.032374369,0.095617599
1,0.027753818,0.095762421
1,0.023792724,0.095907462
1,0.020396967,0.096052723
1,0.017485861,0.096198204
1,0.014990235,0.096343906
1,0.012850791,0.096489828
1,0.011016694,0.096635971
1,0.009444364,0.096782336
1,0.008096441,0.096928922
1,0.006940897,0.09707573
1,0.005950275,0.097222761
1,0.005101036,0.097370014
1,0.004373004,0.09751749
1,0.003748878,0.09766519
1,0.003213829,0.097813113
1,0.002755249,0.092581372
1,0.002361931,0.097587157
1,0.00202483,0.097734962
1,0.001735841,0.097882991
1,0.001488098,0.098031244
1,0.001275713,0.098179722
1,0.00109364,0.098328425
1,0.000937553,0.098477352
1,0.000803743,0.098626506
1,0.000689031,0.098775885
1,0.00059069,0.098925491
1,0.000506386,0.099075323
1,0.000434113,0.099225382
1,0.000372155,0.099375669
1,0.00031904,0.099526183
1,0.000273506,0.099676925
1,0.000234471,0.099827895
1,0.000201006,0.099979094
1,0.000172318,0.100130522
1,0.000147725,0.100282179
1,0.000126641,0.100434066
1,0.000112206,0.10460899
2,32.79304271,5.76E-10
2,10.40898547,1.12E-07
2,8.923389047,1.12E-07
2,7.649820662,1.12E-07
2,6.55801914,1.12E-07
2,5.622042259,1.13E-07
2,4.819650338,1.13E-07
2,4.131777797,1.13E-07
2,3.542080144,1.13E-07
2,3.036545614,1.13E-07
2,2.603162235,1.13E-07
2,2.231632415,1.14E-07
2,1.91312826,1.14E-07
2,1.640081814,1.14E-07
2,1.406005239,1.14E-07
2,1.205341311,1.14E-07
2,1.033363851,1.06E-07
2,0.88587958,1.06E-07
2,0.759450496,1.05E-07
2,0.651089988,9.82E-08
2,0.558190658,9.19E-08
2,0.478563092,8.17E-08
2,0.410305724,6.99E-08
2,0.351797475,5.65E-08
2,0.301646285,4.26E-08
2,0.258653485,3.06E-08
