Index,Voltage,Concentration
1,-1.137263262,2.855752897
1,-1.128465198,2.843870696
1,-1.119667243,2.843415907
1,-1.110869288,2.842961191
1,-1.102071333,2.842506547
1,-1.093273378,2.842051976
1,-1.084475423,2.841597477
1,-1.075677467,2.841143051
1,-1.066879512,2.840688698
1,-1.058081557,2.840234418
1,-1.049283602,2.83978021
1,-1.040485647,2.839326075
1,-1.032237812,2.865037558
1,-0.967902517,2.83558223
1,-0.959104562,2.835128767
1,-0.950306607,2.834675375
1,-0.941508652,2.834222057
1,-0.932710697,2.83376881
1,-0.923912741,2.833315637
1,-0.915114786,2.832862535
1,-0.906316831,2.832409506
1,-0.897518659,2.809337661
1,-0.888720053,2.742120593
1,-0.879922098,2.741682076
1,-0.871124142,2.741243628
1,-0.862326187,2.740805251
1,-0.853528232,2.740366944
1,-0.844730277,2.739928707
1,-0.835932322,2.73949054
1,-0.827134367,2.739052443
1,-0.818336412,2.738614416
1,-0.809537588,2.651739479
1,-0.800739633,2.651315415
1,-0.791941678,2.650891419
1,-0.783143723,2.650467491
1,-0.774345768,2.650043631
1,-0.765547813,2.649619838
1,-0.756749858,2.649196113
1,-0.747951902,2.648772456
1,-0.739153947,2.648348867
1,-0.730355992,2.647925345
1,-0.721558037,2.647501891
1,-0.712759539,2.594539042
1,-0.703961259,2.563107291
1,-0.695163303,2.562697401
1,-0.686365348,2.562287577
1,-0.677567285,2.551626425
1,-0.66876857,2.480609359
1,-0.659970615,2.480212662
1,-0.65117266,2.479816029
1,-0.642374705,2.479419459
1,-0.633576749,2.479022952
1,-0.624778794,2.478626509
1,-0.615979971,2.399998966
1,-0.607182016,2.399615161
1,-0.598383844,2.380068711
1,-0.589584478,2.258826366
1,-0.580786414,2.249427854
1,-0.57198835,2.240068447
1,-0.563189635,2.177722687
1,-0.55439168,2.177374428
1,-0.545593725,2.177026224
1,-0.53679577,2.176678076
1,-0.527997164,2.124598213
1,-0.519198992,2.107291959
1,-0.510400602,2.073432795
1,-0.504901446,2.040240026
2,-1.139958106,5.73E-10
2,-1.130997622,6.25E-10
2,-1.123465395,6.51E-10
2,-1.116318359,6.83E-10
2,-1.110271675,7.33E-10
2,-1.104741278,7.74E-10
2,-1.096748744,8.47E-10
2,-1.090371963,9.03E-10
2,-1.084435774,9.88E-10
2,-1.075091419,1.12E-09
2,-1.066846462,1.26E-09
2,-1.058602199,1.45E-09
2,-1.052006338,1.60E-09
2,-0.989913756,7.81E-09
2,-0.982771061,9.62E-09
2,-0.972990108,1.23E-08
2,-0.966562421,1.53E-08
2,-0.959144355,1.86E-08
2,-0.954747548,2.01E-08
2,-0.94119561,3.08E-08
2,-0.933319897,3.82E-08
2,-0.927825516,4.48E-08
2,-0.921049837,5.61E-08
2,-0.914639002,6.58E-08
2,-0.906948605,8.78E-08
2,-0.899258209,1.17E-07
2,-0.891566944,1.51E-07
2,-0.883877415,2.09E-07
2,-0.877101157,2.56E-07
2,-0.870691769,3.17E-07
2,-0.859429808,4.65E-07
2,-0.851463607,6.01E-07
2,-0.843771908,7.65E-07
2,-0.836079775,9.57E-07
2,-0.829486518,1.16E-06
2,-0.82069464,1.45E-06
2,-0.811901634,1.74E-06
2,-0.805306987,2.01E-06
2,-0.796512852,2.31E-06
2,-0.787168498,2.63E-06
2,-0.783321129,2.80E-06
2,-0.757482924,3.47E-06
2,-0.750885615,3.62E-06
2,-0.744837021,3.62E-06
2,-0.736590675,3.86E-06
2,-0.729992208,3.85E-06
2,-0.723393742,3.85E-06
2,-0.716795276,3.85E-06
2,-0.710196809,3.85E-06
2,-0.703598343,3.85E-06
2,-0.696999877,3.85E-06
2,-0.69040141,3.85E-06
2,-0.683802944,3.85E-06
2,-0.677204478,3.85E-06
2,-0.670606011,3.85E-06
2,-0.664007545,3.85E-06
2,-0.657409079,3.85E-06
2,-0.650810612,3.85E-06
2,-0.644212146,3.85E-06
2,-0.63761368,3.85E-06
2,-0.631015213,3.85E-06
2,-0.624416747,3.85E-06
2,-0.61781828,3.85E-06
2,-0.611219814,3.85E-06
2,-0.604621348,3.85E-06
2,-0.598022881,3.85E-06
2,-0.591424415,3.85E-06
2,-0.586475565,3.84E-06
2,-0.579050771,3.63E-06
2,-0.521039038,3.60E-06
2,-0.514439124,3.41E-06
2,-0.507838632,3.17E-06
3,-1.136806687,1.35E-07
3,-1.128012964,1.58E-07
3,-1.119219676,1.87E-07
3,-1.110425736,2.17E-07
