voltages,dlcaps
-1.266470076,25.71562587
-1.260764834,26.07669317
-1.255059439,26.44699689
-1.249353587,26.84500988
-1.24364804,27.22455003
-1.237941425,27.66874513
-1.232234963,28.10370381
-1.226528196,28.55713534
-1.220820667,29.05674898
-1.215112986,29.56559905
-1.209404847,30.10215838
-1.20369625,30.66642698
-1.197986891,31.2768777
-1.192277075,31.91503769
-1.186566649,32.59014336
-1.181331988,33.21530179
-1.176572329,33.83669508
-1.171812487,34.46917208
-1.167527678,35.09603666
-1.163242687,35.73398494
-1.158957923,36.3580786
-1.154671239,37.09855118
-1.150384966,37.81408541
-1.146574916,38.45196313
-1.142763493,39.17296866
-1.138951842,39.90782882
-1.135616809,40.54101776
-1.132280937,41.22500702
-1.128945066,41.90899629
-1.12608566,42.50055076
-1.12322534,43.14752377
-1.120365629,43.75755108
-1.117505614,44.38605125
-1.114644988,45.0514971
-1.111784668,45.69847011
-1.108924043,46.36391596
-1.105586799,47.13103303
-1.099864405,48.53119791
-1.096528,49.24751466
-1.094145213,49.73739791
-1.090329674,50.70778686
-1.086519166,51.37337384
-1.081753287,52.37161319
-1.074608127,53.64729806
-1.06937249,54.3315696
-1.063663588,54.91431104
-1.057958499,55.26614192
-1.052256153,55.45171718
-1.046557924,55.38790902
-1.040861829,55.19479094
-1.035167869,54.87236294
-1.029474671,54.50375283
-1.023780558,54.19056125
-1.018086598,53.86813325
-1.012388369,53.80432509
-1.006688767,53.82364474
-1.00098505,54.09234781
-0.995277826,54.5734886
-0.990041487,55.30024768
-0.985755672,55.98807265
-0.982420105,56.65358907
-0.979560395,57.26361639
-0.97669977,57.92906224
-0.97383823,58.64992664
-0.97097608,59.40773672
-0.96811393,60.1655468
-0.965252009,60.90950225
-0.962389325,61.69963981
-0.959525651,62.54981413
-0.956665102,63.21064177
-0.953802876,63.97307006
-0.950942555,64.62004307
-0.947606455,65.31788697
-0.943319954,66.04727584
-0.938085598,66.65396143
-0.932380508,67.0057923
-0.926682584,66.9235113
-0.920990453,66.49024622
-0.916251178,65.87672976
-0.912462395,65.22612648
-0.909148325,64.58930727
-0.906308435,63.9985996
-0.903469763,63.33400055
-0.900632617,62.57703727
-0.897795165,61.83854683
-0.894958019,61.08158355
-0.892592612,60.51851459
-0.888812291,59.35528983
-0.885977279,58.46901663
-0.882667173,57.59205042
-0.880773506,57.22287577
-0.877941848,56.13340126
-0.875577051,55.5333866
-0.873214389,54.80406203
-0.870377852,54.01015305
-0.870384255,53.62222329
-0.865179339,52.4453556
-0.861868852,51.59148045
-0.859033459,50.7282983
-0.856667671,50.18832039
-0.851939525,48.90054506
-0.848628123,48.10208844
-0.845789452,47.43748939
-0.842952001,46.69899896
-0.840113634,46.01592706
-0.837274049,45.40674655
-0.834435073,44.76062034
-0.831122604,44.02681869
-0.827809372,43.33919915
-0.824496293,42.64234318
-0.820709569,41.86704819
-0.816921473,41.174881
-0.813133834,40.45500455
-0.80934528,39.79054663
-0.805556726,39.12608871
-0.801768401,38.44777616
-0.797504174,37.82772364
-0.792766835,37.09690461
-0.788028947,36.39933671
-0.783290694,35.72393622
-0.778551891,35.08178685
-0.773812357,34.48397231
-0.768598887,33.82526795
-0.762910568,33.1610923
-0.757221182,32.56157161
-0.751532252,31.93434165
-0.745842714,31.34405739
-0.74015287,30.77224597
-0.734461959,30.26508951
-0.728771352,29.7394602
-0.723079679,29.27848586
-0.717387853,28.82674794
-0.711696027,28.37501001
-0.706003592,27.96021779
-0.700311308,27.53618913
-0.69461811,27.16757902
-0.688925217,26.78049606
-0.683231867,26.42112236
-0.677538364,26.07098509
-0.671844861,25.72084783
-0.666150596,25.41689267
-0.660456636,25.09446467
-0.654762065,24.80898236
-0.6490678,24.50502721
-0.643373687,24.19183563
-0.637678965,23.91558974
-0.631983937,23.6578167
-0.626289062,23.39080724
-0.62059373,23.15150705
-0.614898398,22.91220685
-0.609202913,22.68214308
-0.603507428,22.45207931
-0.59781179,22.23125196
-0.592116153,22.01042462
-0.586420363,21.79883369
-0.580724269,21.60571561
-0.575028326,21.40336111
-0.569332079,21.21947945
-0.563635984,21.02636137
-0.557939585,20.85171614
-0.552243338,20.66783449
-0.54654709,20.48395283
-0.540850538,20.31854402
-0.535153529,20.18084448
-0.529457282,19.99696282
-0.523760272,19.85926328
-0.518063873,19.68461805
-0.512366863,19.54691851
-0.506670159,19.39074612
-0.500973149,19.25304658
-0.495276292,19.10611061
-0.489579435,18.95917465
-0.483881816,18.8584208
-0.478185264,18.69301199
-0.472487797,18.58302172
