Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
0.17129,-0.00211,0.17128,-7.04E-04,0.08124,-2.86E-04
0.17072,-0.00231,0.17076,-6.88E-04,0.08079,-0.00106
0.16971,-0.00233,0.16974,-7.49E-04,0.07978,-0.00106
0.16871,-0.00232,0.16874,-7.06E-04,0.07878,-0.00103
0.16769,-0.00233,0.16775,-7.36E-04,0.07777,-0.00105
0.16669,-0.00232,0.16674,-7.10E-04,0.07676,-0.00104
0.16568,-0.00232,0.16574,-7.29E-04,0.07576,-0.00104
0.1647,-0.00232,0.16476,-7.16E-04,0.07478,-0.00103
0.1637,-0.00231,0.16375,-7.23E-04,0.07376,-0.00104
0.16269,-0.00231,0.16274,-7.16E-04,0.07277,-0.00104
0.16169,-0.00231,0.16177,-7.33E-04,0.07177,-0.00104
0.1607,-0.00232,0.16074,-7.14E-04,0.07077,-0.00104
0.1597,-0.0023,0.15974,-7.20E-04,0.06978,-0.00104
0.15867,-0.00229,0.15874,-7.14E-04,0.06875,-0.00104
0.15768,-0.0023,0.15774,-7.19E-04,0.06775,-0.00104
0.15669,-0.00229,0.15674,-7.18E-04,0.06678,-0.00104
0.15569,-0.00228,0.15574,-7.22E-04,0.06576,-0.00104
0.15467,-0.0023,0.15471,-7.14E-04,0.06476,-0.00104
0.15367,-0.00228,0.15371,-7.25E-04,0.06375,-0.00104
0.15267,-0.00228,0.15273,-7.06E-04,0.06276,-0.00103
0.15169,-0.00228,0.15176,-7.21E-04,0.06178,-0.00104
0.15068,-0.00228,0.15076,-7.10E-04,0.06077,-0.00104
0.14969,-0.00228,0.14976,-7.25E-04,0.05978,-0.00104
0.14871,-0.00228,0.14874,-7.03E-04,0.05878,-0.00103
0.14768,-0.00225,0.14773,-7.31E-04,0.05777,-0.00103
0.1467,-0.00226,0.14678,-6.99E-04,0.05679,-0.00104
0.14572,-0.00226,0.14575,-7.27E-04,0.05581,-0.00104
0.14471,-0.00226,0.14476,-7.07E-04,0.05478,-0.00104
0.14369,-0.00226,0.14375,-7.19E-04,0.05378,-0.00104
0.14268,-0.00226,0.14277,-7.10E-04,0.05279,-0.00104
0.14169,-0.00226,0.14176,-7.13E-04,0.05176,-0.00104
0.14071,-0.00225,0.14077,-7.15E-04,0.05078,-0.00103
0.13972,-0.00225,0.13975,-7.08E-04,0.04979,-0.00103
0.13871,-0.00225,0.13876,-7.15E-04,0.0488,-0.00104
0.13772,-0.00224,0.13775,-7.08E-04,0.04778,-0.00104
