Ar,sat,pCO2(atm),0.1,pCO2(atm),0.2,pCO2(atm),0.3,pCO2(atm),0.5,pCO2(atm),0.6,pCO2(atm),1
pH,9.3,pH,7.76,pH,7.41,pH,7.29,pH,7.08,pH,7,pH,6.81
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-0.471,-0.00204,-0.38102,-0.00131,-0.36093,-0.00172,-0.35103,-0.00172,-0.34099,-0.00219,-0.33103,-0.00161,-0.31098,-0.00139
-0.47303,-0.00213,-0.38307,-0.00136,-0.36295,-0.00173,-0.35308,-0.00179,-0.34306,-0.00215,-0.33308,-0.00165,-0.3115,-0.00139
-0.47701,-0.00217,-0.3871,-0.00136,-0.36698,-0.00174,-0.35706,-0.00179,-0.34707,-0.00216,-0.33707,-0.00165,-0.31251,-0.00139
-0.481,-0.00221,-0.39109,-0.00137,-0.37097,-0.00174,-0.36104,-0.0018,-0.35108,-0.00218,-0.34109,-0.00165,-0.31352,-0.00139
-0.48503,-0.00226,-0.39507,-0.00137,-0.37497,-0.00175,-0.36504,-0.0018,-0.35508,-0.00219,-0.34508,-0.00165,-0.3145,-0.00139
-0.48902,-0.00234,-0.39905,-0.00138,-0.37897,-0.00176,-0.36906,-0.0018,-0.35905,-0.0022,-0.3491,-0.00166,-0.3155,-0.00138
-0.49303,-0.00238,-0.40305,-0.00138,-0.38297,-0.00177,-0.37306,-0.00181,-0.36305,-0.00221,-0.35309,-0.00167,-0.31648,-0.00143
-0.49702,-0.00245,-0.40708,-0.00139,-0.38699,-0.00177,-0.37706,-0.00182,-0.36706,-0.00222,-0.35707,-0.00168,-0.31755,-0.00151
-0.50102,-0.00251,-0.41107,-0.00139,-0.39099,-0.00178,-0.38106,-0.00184,-0.37107,-0.00224,-0.36106,-0.00169,-0.31849,-0.00127
-0.50504,-0.00258,-0.41507,-0.0014,-0.39498,-0.00179,-0.38506,-0.00184,-0.37506,-0.00225,-0.36507,-0.0017,-0.31951,-0.00144
-0.50905,-0.00266,-0.41909,-0.00141,-0.39895,-0.0018,-0.38907,-0.00185,-0.37906,-0.00226,-0.36908,-0.00171,-0.32054,-0.00139
-0.51302,-0.00274,-0.42308,-0.00142,-0.40295,-0.00181,-0.39307,-0.00186,-0.38306,-0.00228,-0.37307,-0.00171,-0.3215,-0.00135
-0.517,-0.0028,-0.4271,-0.00142,-0.40698,-0.00181,-0.39704,-0.00187,-0.38708,-0.00229,-0.37707,-0.00172,-0.32252,-0.00141
-0.521,-0.00288,-0.43109,-0.00144,-0.41097,-0.00182,-0.40103,-0.00188,-0.39108,-0.0023,-0.38107,-0.00174,-0.32352,-0.00136
-0.52503,-0.00296,-0.43507,-0.00145,-0.41498,-0.00184,-0.40505,-0.00189,-0.39507,-0.00232,-0.38508,-0.00175,-0.3245,-0.00137
-0.52902,-0.00304,-0.43905,-0.00146,-0.41899,-0.00185,-0.40906,-0.0019,-0.39905,-0.00235,-0.38909,-0.00176,-0.32552,-0.00138
-0.53302,-0.00314,-0.44306,-0.00148,-0.42299,-0.00186,-0.41306,-0.00191,-0.40304,-0.00237,-0.39308,-0.00178,-0.3265,-0.00137
-0.53702,-0.00325,-0.44707,-0.00149,-0.427,-0.00187,-0.41706,-0.00192,-0.40706,-0.00239,-0.39706,-0.00179,-0.32753,-0.00138
-0.54103,-0.00331,-0.45106,-0.0015,-0.431,-0.00189,-0.42106,-0.00193,-0.41107,-0.00243,-0.40105,-0.00181,-0.3285,-0.00136
-0.54504,-0.00342,-0.45506,-0.00152,-0.43497,-0.0019,-0.42507,-0.00194,-0.41507,-0.00247,-0.40507,-0.00182,-0.32951,-0.00138
-0.54903,-0.00353,-0.45907,-0.00154,-0.43895,-0.00191,-0.42909,-0.00196,-0.41907,-0.0025,-0.40908,-0.00184,-0.3305,-0.00136
-0.55301,-0.00361,-0.46307,-0.00156,-0.44295,-0.00192,-0.43307,-0.00197,-0.42308,-0.00254,-0.41307,-0.00185,-0.3315,-0.00137
-0.557,-0.00372,-0.46709,-0.00159,-0.44697,-0.00194,-0.43704,-0.00198,-0.4271,-0.0026,-0.41709,-0.00188,-0.33252,-0.00137
-0.56101,-0.00381,-0.47108,-0.00161,-0.45096,-0.00195,-0.44104,-0.002,-0.43109,-0.00261,-0.42109,-0.00188,-0.33351,-0.00136
-0.56503,-0.00392,-0.47505,-0.00164,-0.45496,-0.00197,-0.44506,-0.00201,-0.43506,-0.00265,-0.4251,-0.00189,-0.3345,-0.00139
-0.56902,-0.00402,-0.47904,-0.00167,-0.45896,-0.00198,-0.44907,-0.00202,-0.43905,-0.00269,-0.4291,-0.00191,-0.3355,-0.00135
-0.57302,-0.00412,-0.48305,-0.00171,-0.46297,-0.002,-0.45306,-0.00204,-0.44305,-0.00273,-0.4331,-0.00193,-0.33649,-0.00138
-0.57701,-0.00422,-0.48707,-0.00174,-0.46699,-0.00202,-0.45706,-0.00206,-0.44707,-0.00279,-0.43706,-0.00195,-0.33752,-0.00137
-0.58102,-0.00429,-0.49105,-0.00178,-0.47097,-0.00204,-0.46106,-0.00207,-0.45105,-0.00284,-0.44105,-0.00197,-0.3385,-0.00134
-0.58502,-0.00443,-0.49507,-0.00182,-0.47494,-0.00206,-0.46508,-0.00209,-0.45505,-0.00291,-0.44507,-0.002,-0.33951,-0.00139
-0.58902,-0.0045,-0.49905,-0.00187,-0.47894,-0.00208,-0.46908,-0.00211,-0.45906,-0.00297,-0.44907,-0.00202,-0.34051,-0.00136
-0.59301,-0.00461,-0.50306,-0.00193,-0.48294,-0.00213,-0.47306,-0.00213,-0.46306,-0.00303,-0.45307,-0.00205,-0.3415,-0.00135
-0.59701,-0.00472,-0.50708,-0.00198,-0.48697,-0.00213,-0.47705,-0.00215,-0.46708,-0.00308,-0.45707,-0.00212,-0.34251,-0.00138
-0.60102,-0.00481,-0.51107,-0.00204,-0.49095,-0.00215,-0.48104,-0.00217,-0.47107,-0.00315,-0.46106,-0.00215,-0.34349,-0.00134
-0.60502,-0.00481,-0.51504,-0.0021,-0.49496,-0.00219,-0.48506,-0.00222,-0.47505,-0.00321,-0.46509,-0.0022,-0.34449,-0.00137
-0.60902,-0.00491,-0.51903,-0.00216,-0.49895,-0.00222,-0.48905,-0.00222,-0.47903,-0.00328,-0.46909,-0.00224,-0.34553,-0.00136
-0.61303,-0.00501,-0.52305,-0.00225,-0.50296,-0.00225,-0.49306,-0.00225,-0.48306,-0.00336,-0.47307,-0.00228,-0.34649,-0.00137
-0.61702,-0.0051,-0.52705,-0.0023,-0.50697,-0.00228,-0.49706,-0.00228,-0.48707,-0.00344,-0.47706,-0.00233,-0.34753,-0.00137
-0.62104,-0.00515,-0.53105,-0.00238,-0.51097,-0.00231,-0.50105,-0.00231,-0.49106,-0.00352,-0.48105,-0.0024,-0.34849,-0.00134
-0.62507,-0.00522,-0.53505,-0.00246,-0.51494,-0.00235,-0.50507,-0.00235,-0.49507,-0.0036,-0.48509,-0.00246,-0.34952,-0.00137
-0.62905,-0.00534,-0.53904,-0.00255,-0.51893,-0.00239,-0.50907,-0.00238,-0.49905,-0.00367,-0.48907,-0.00252,-0.35049,-0.00136
-0.63304,-0.00542,-0.54307,-0.00265,-0.52296,-0.00244,-0.51305,-0.00242,-0.50307,-0.00374,-0.49307,-0.00258,-0.35153,-0.00136
-0.63703,-0.00542,-0.54707,-0.00276,-0.52696,-0.00248,-0.51702,-0.00246,-0.50708,-0.00381,-0.49708,-0.00264,-0.35253,-0.00135
-0.64105,-0.00548,-0.55105,-0.00284,-0.53095,-0.00254,-0.52103,-0.00251,-0.51108,-0.00389,-0.50108,-0.00271,-0.35351,-0.00136
-0.64505,-0.00553,-0.55504,-0.00296,-0.53496,-0.0026,-0.52506,-0.00255,-0.51505,-0.00396,-0.50509,-0.00279,-0.35452,-0.00135
-0.64905,-0.00562,-0.55903,-0.00309,-0.53894,-0.00265,-0.52905,-0.00261,-0.51903,-0.00404,-0.50908,-0.00288,-0.3555,-0.00135
-0.65305,-0.0056,-0.56306,-0.00317,-0.54296,-0.00271,-0.53305,-0.00266,-0.52306,-0.00414,-0.51306,-0.00297,-0.3565,-0.00135
-0.65704,-0.00564,-0.56706,-0.00327,-0.54697,-0.00277,-0.53705,-0.00272,-0.52706,-0.00419,-0.51704,-0.00306,-0.35751,-0.00135
-0.66107,-0.00573,-0.57105,-0.00336,-0.55095,-0.00284,-0.54106,-0.00277,-0.53106,-0.00428,-0.52106,-0.00315,-0.35851,-0.00135
-0.66507,-0.00581,-0.57506,-0.00351,-0.55493,-0.00291,-0.54508,-0.00283,-0.53506,-0.00436,-0.52508,-0.00323,-0.35951,-0.00135
-0.66905,-0.00587,-0.57905,-0.0036,-0.55893,-0.00299,-0.54907,-0.00291,-0.53905,-0.00443,-0.52907,-0.00333,-0.3605,-0.00135
-0.67303,-0.00589,-0.58306,-0.00374,-0.56296,-0.00306,-0.55305,-0.00298,-0.54307,-0.00453,-0.53308,-0.00342,-0.36149,-0.00135
-0.67703,-0.00593,-0.58707,-0.00382,-0.56695,-0.00315,-0.55703,-0.00306,-0.54706,-0.00461,-0.53708,-0.0035,-0.36251,-0.00135
-0.68105,-0.00603,-0.59107,-0.00395,-0.57095,-0.00325,-0.56105,-0.00315,-0.55106,-0.0047,-0.54108,-0.00361,-0.3635,-0.00135
-0.68504,-0.00604,-0.59507,-0.00405,-0.57495,-0.00333,-0.56508,-0.00323,-0.55504,-0.00479,-0.54509,-0.00367,-0.36451,-0.00135
-0.68905,-0.00597,-0.59906,-0.00418,-0.57894,-0.00345,-0.56905,-0.00332,-0.55903,-0.00487,-0.54908,-0.00377,-0.3655,-0.00134
-0.69305,-0.00607,-0.60308,-0.00429,-0.58297,-0.00353,-0.57306,-0.00341,-0.56306,-0.00496,-0.55307,-0.00386,-0.36652,-0.00136
-0.69705,-0.00608,-0.60707,-0.00438,-0.58697,-0.00364,-0.57706,-0.00351,-0.56705,-0.00505,-0.55707,-0.00397,-0.36753,-0.00134
-0.70107,-0.00634,-0.61108,-0.00451,-0.59095,-0.00379,-0.58107,-0.00365,-0.57105,-0.00516,-0.56107,-0.00407,-0.36852,-0.00134
-0.70505,-0.00633,-0.61508,-0.00463,-0.59494,-0.00385,-0.58507,-0.00373,-0.57506,-0.00526,-0.56509,-0.00417,-0.36951,-0.00135
-0.70904,-0.0064,-0.61909,-0.00474,-0.59895,-0.00393,-0.58907,-0.00385,-0.57905,-0.00535,-0.56907,-0.00428,-0.37051,-0.00133
-0.71303,-0.00647,-0.62312,-0.00487,-0.60298,-0.00405,-0.59306,-0.00397,-0.58307,-0.00545,-0.57307,-0.00438,-0.37149,-0.00136
-0.71705,-0.00655,-0.62712,-0.00502,-0.60696,-0.0042,-0.59705,-0.00408,-0.58707,-0.00551,-0.57707,-0.0045,-0.37252,-0.00134
-0.72105,-0.00659,-0.6311,-0.00514,-0.61098,-0.0043,-0.60107,-0.00417,-0.59106,-0.00558,-0.58108,-0.00464,-0.37352,-0.00134
-0.72505,-0.00663,-0.63508,-0.00526,-0.61497,-0.00443,-0.60506,-0.00429,-0.59505,-0.00567,-0.5851,-0.00479,-0.37451,-0.00134
-0.72906,-0.00664,-0.6391,-0.00541,-0.61897,-0.0046,-0.60906,-0.00441,-0.59905,-0.00581,-0.58909,-0.00494,-0.37554,-0.00135
-0.73305,-0.00669,-0.64311,-0.00554,-0.62299,-0.00474,-0.61306,-0.00455,-0.60307,-0.00591,-0.59309,-0.00506,-0.37649,-0.00133
-0.73706,-0.00675,-0.6471,-0.00567,-0.62701,-0.00489,-0.61706,-0.00468,-0.60706,-0.00603,-0.59707,-0.00519,-0.3775,-0.00136
-0.74107,-0.00679,-0.6511,-0.00577,-0.63101,-0.00498,-0.62109,-0.00483,-0.61107,-0.00616,-0.60109,-0.00533,-0.37853,-0.00134
-0.74507,-0.00679,-0.65509,-0.00594,-0.63503,-0.00514,-0.6251,-0.00496,-0.61507,-0.00628,-0.60509,-0.00539,-0.37951,-0.00132
-0.74903,-0.0069,-0.65911,-0.00607,-0.63906,-0.00534,-0.62909,-0.00511,-0.61906,-0.00644,-0.60909,-0.00551,-0.38049,-0.00136
-0.75302,-0.0069,-0.66311,-0.0062,-0.64309,-0.00548,-0.63307,-0.00529,-0.62309,-0.0066,-0.61311,-0.00565,-0.38152,-0.00134
-0.75703,-0.00693,-0.6671,-0.00634,-0.64711,-0.00563,-0.63707,-0.00544,-0.6271,-0.00674,-0.61709,-0.00579,-0.38251,-0.00133
-0.76104,-0.00699,-0.67107,-0.00648,-0.65113,-0.00577,-0.64109,-0.00563,-0.63107,-0.00688,-0.62111,-0.00593,-0.38349,-0.00135
-0.76504,-0.00702,-0.67507,-0.00669,-0.65513,-0.00597,-0.64508,-0.00582,-0.63506,-0.00708,-0.62512,-0.00607,-0.3845,-0.00133
-0.76904,-0.00712,-0.67909,-0.00683,-0.65916,-0.00611,-0.64909,-0.00603,-0.63908,-0.00726,-0.62912,-0.00621,-0.3855,-0.00134
-0.77302,-0.0071,-0.68309,-0.00703,-0.66319,-0.00628,-0.65308,-0.00623,-0.64309,-0.0074,-0.6331,-0.00636,-0.38651,-0.00133
-0.77705,-0.00717,-0.68709,-0.00714,-0.66721,-0.00649,-0.65708,-0.0064,-0.64709,-0.00761,-0.63709,-0.00653,-0.38751,-0.00134
-0.78105,-0.00725,-0.69109,-0.00727,-0.67119,-0.00667,-0.6611,-0.00661,-0.65108,-0.00781,-0.64111,-0.00669,-0.38851,-0.00133
-0.78504,-0.00726,-0.69508,-0.00744,-0.67521,-0.00688,-0.6651,-0.0068,-0.65507,-0.00803,-0.64511,-0.00685,-0.38949,-0.00133
-0.78902,-0.00731,-0.69909,-0.00761,-0.67925,-0.00708,-0.66907,-0.00705,-0.65909,-0.00827,-0.64912,-0.00704,-0.3905,-0.00133
-0.79302,-0.0074,-0.70309,-0.00778,-0.68325,-0.00733,-0.67306,-0.0072,-0.66311,-0.00847,-0.65312,-0.00717,-0.39151,-0.00134
-0.79704,-0.00753,-0.70708,-0.00794,-0.68727,-0.00749,-0.67706,-0.00746,-0.66709,-0.00867,-0.65711,-0.00729,-0.3925,-0.00132
-0.80104,-0.00761,-0.71107,-0.00809,-0.69131,-0.00774,-0.68108,-0.0077,-0.67106,-0.00889,-0.66113,-0.00747,-0.3935,-0.00135
-0.80505,-0.00772,-0.71506,-0.00831,-0.69517,-0.008,-0.68507,-0.00797,-0.67505,-0.00909,-0.66512,-0.00769,-0.39452,-0.00131
-0.80907,-0.0077,-0.71909,-0.00858,-0.69906,-0.00817,-0.68908,-0.00822,-0.67905,-0.00934,-0.66911,-0.00795,-0.3955,-0.00134
-0.81309,-0.00775,-0.72309,-0.00879,-0.70307,-0.00839,-0.69308,-0.0085,-0.68307,-0.00959,-0.6731,-0.00821,-0.3965,-0.00135
-0.81715,-0.00792,-0.7271,-0.00905,-0.70708,-0.00872,-0.69708,-0.00887,-0.68706,-0.00982,-0.6771,-0.00849,-0.39752,-0.00132
-0.82116,-0.00798,-0.7311,-0.00935,-0.71108,-0.00901,-0.7011,-0.00916,-0.69108,-0.01015,-0.68111,-0.00881,-0.39852,-0.00134
-0.82516,-0.00812,-0.73509,-0.00959,-0.71509,-0.00929,-0.70508,-0.00952,-0.69507,-0.01048,-0.6851,-0.00905,-0.39952,-0.00133
-0.82917,-0.00826,-0.73912,-0.00987,-0.71912,-0.00964,-0.70906,-0.00989,-0.69909,-0.01087,-0.6891,-0.00943,-0.4005,-0.00133
-0.83318,-0.00837,-0.74311,-0.0103,-0.72313,-0.00999,-0.71307,-0.0103,-0.70309,-0.01131,-0.6931,-0.00988,-0.40151,-0.00134
-0.83721,-0.00842,-0.74709,-0.01064,-0.72717,-0.01041,-0.71708,-0.01079,-0.70707,-0.01186,-0.69709,-0.01036,-0.40252,-0.00132
-0.84122,-0.0086,-0.75107,-0.01106,-0.73118,-0.01079,-0.72109,-0.01127,-0.71105,-0.0124,-0.70112,-0.01092,-0.40349,-0.00133
-0.84524,-0.00879,-0.75507,-0.01149,-0.7352,-0.01131,-0.72508,-0.01184,-0.71506,-0.01304,-0.70511,-0.01147,-0.40452,-0.00134
-0.84927,-0.00898,-0.75908,-0.01191,-0.73923,-0.01181,-0.72909,-0.0125,-0.71908,-0.01376,-0.70909,-0.01207,-0.40552,-0.00132
-0.85328,-0.00921,-0.76307,-0.0125,-0.74323,-0.01235,-0.73308,-0.01318,-0.72308,-0.01459,-0.71309,-0.01277,-0.40651,-0.00136
-0.85732,-0.00936,-0.76709,-0.01307,-0.74722,-0.01307,-0.7371,-0.01399,-0.72709,-0.01562,-0.71709,-0.01355,-0.40752,-0.00132
