pH ,8.9,pH,9.3,pH,8.8
0.02 M KHCO3,,0.1 M KHCO3,,0.5 M KHCO3,
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-0.44091,-0.00125,-0.471,-0.00204,-0.32096,-0.00137
-0.44296,-0.00126,-0.47303,-0.00213,-0.32299,-0.00128
-0.44698,-0.00126,-0.47701,-0.00217,-0.327,-0.00128
-0.45098,-0.00126,-0.481,-0.00221,-0.33101,-0.00128
-0.45497,-0.00126,-0.48503,-0.00226,-0.33501,-0.00128
-0.45897,-0.00126,-0.48902,-0.00234,-0.33901,-0.00128
-0.46298,-0.00126,-0.49303,-0.00238,-0.34301,-0.00127
-0.46699,-0.00127,-0.49702,-0.00245,-0.34702,-0.00127
-0.47098,-0.00126,-0.50102,-0.00251,-0.35102,-0.00128
-0.47495,-0.00127,-0.50504,-0.00258,-0.35502,-0.00128
-0.47894,-0.00127,-0.50905,-0.00266,-0.35899,-0.00128
-0.48295,-0.00128,-0.51302,-0.00274,-0.36298,-0.00128
-0.48697,-0.00128,-0.517,-0.0028,-0.367,-0.00128
-0.49096,-0.00129,-0.521,-0.00288,-0.371,-0.00128
-0.49496,-0.0013,-0.52503,-0.00296,-0.37499,-0.00129
-0.49896,-0.0013,-0.52902,-0.00304,-0.37899,-0.0013
-0.50297,-0.0013,-0.53302,-0.00314,-0.38299,-0.0013
-0.50698,-0.00131,-0.53702,-0.00325,-0.387,-0.0013
-0.51097,-0.00132,-0.54103,-0.00331,-0.39101,-0.00131
-0.51495,-0.00133,-0.54504,-0.00342,-0.39499,-0.00132
-0.51894,-0.00135,-0.54903,-0.00353,-0.39897,-0.00132
-0.52296,-0.00136,-0.55301,-0.00361,-0.40296,-0.00133
-0.52696,-0.00137,-0.557,-0.00372,-0.40699,-0.00134
-0.53095,-0.00138,-0.56101,-0.00381,-0.41099,-0.00135
-0.53496,-0.00141,-0.56503,-0.00392,-0.41499,-0.00136
-0.53896,-0.00144,-0.56902,-0.00402,-0.41897,-0.00138
-0.54297,-0.00143,-0.57302,-0.00412,-0.42299,-0.00139
