Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,5032.208827910908,6.601898333120783e-6,1.7859618208713558e-6,1.2658484725775322e-11,6.597667673083484e-9,3.746957193815623e-9,0.012453221952610425
-1.4932890167170314,4757.862980926943,6.241995032779534e-6,1.8889381405722306e-6,1.4160307457805187e-11,7.954899335813106e-9,3.846694368225403e-9,0.012453219453759162
-1.4865780334340628,4499.225802526667,5.9026987693082754e-6,1.997518168845088e-6,1.5835014643331945e-11,9.59041372365795e-9,3.95141323950505e-9,0.012453216768361081
-1.4731560668681258,4025.3888912669986,5.281089024475915e-6,2.2326388352150193e-6,1.9782142098960645e-11,1.3935332068446954e-8,4.176801433227124e-9,0.012453210569286742
-1.4597341003021886,3603.8771859897715,4.728122091350323e-6,2.493757576423391e-6,2.467992699713635e-11,2.0240874857019173e-8,4.425249567894836e-9,0.012453202683555972
-1.4447654443146336,3188.1765558180296,4.182778855866916e-6,2.8188999430418766e-6,3.153501762798909e-11,3.067769673878395e-8,4.7323828747024075e-9,0.01245319071595242
-1.4322915643250045,2880.485825940244,3.779131482568521e-6,3.1200001638517586e-6,3.8631444335375604e-11,4.336660439008245e-8,5.014994240553433e-9,0.012453176847136326
-1.4218966643336468,2648.074308010221,3.4742418211164485e-6,3.393821105293876e-6,4.5709581762643006e-11,5.7852143646571467e-8,5.270739063559333e-9,0.012453161369047281
-1.4132342476741822,2469.560234054279,3.2400595813555166e-6,3.6391384296597065e-6,5.2556198129945925e-11,7.354340931569038e-8,5.4989820362329644e-9,0.012453144787036383
-1.4060155671246282,2330.5334566844476,3.057680184306013e-6,3.8562235246397265e-6,5.901311225828811e-11,8.981361216361746e-8,5.700344380400338e-9,0.012453127688493671
-1.4,2221.011785712716,2.9140079481050846e-6,4.046375813530362e-6,6.497613559597947e-11,1.060805297252559e-7,5.876296939066627e-9,0.01245311064179699
-1.3939844328753717,2116.92885164432,2.7774719442649917e-6,4.2453201357602185e-6,7.152192208122335e-11,1.252835553305901e-7,6.059993558228143e-9,0.012453090549175998
-1.3879688657507434,2018.0021786671473,2.647701796811168e-6,4.453431843126346e-6,7.870533509137557e-11,1.479507591657498e-7,6.251760197636954e-9,0.012453066851016518
-1.3759377315014871,1834.5630452447356,2.407076498637667e-6,4.898731676223512e-6,9.522966084756978e-11,2.0627999296211663e-7,6.660868745391409e-9,0.012453005881194615
-1.3639065972522306,1668.7243578530426,2.189549662727462e-6,5.3855765611941185e-6,1.1509486200529158e-10,2.8751083724492035e-7,7.106480447269237e-9,0.012452920908383283
-1.3518754630029741,1518.7217456743672,1.992809185102224e-6,5.917523892997448e-6,1.3894819173282142e-10,4.0059656500293884e-7,7.59166429931521e-9,0.012452802451316736
-1.3374203780638525,1357.2216602796618,1.7810139734823958e-6,6.621720374550947e-6,1.7397313643014097e-10,5.964724537943258e-7,8.23159290634095e-9,0.012452596915794738
-1.3253744739479179,1236.599985163498,1.6228551624813474e-6,7.26770301399929e-6,2.0955410699130425e-10,8.308011113165422e-7,8.816556486684911e-9,0.012452350629330066
-1.3153362205179724,1144.8041045872976,1.5025172593786987e-6,7.850568483159492e-6,2.444896509453857e-10,1.0947244540607575e-6,9.34284943555571e-9,0.012452072901768394
-1.3069710093263511,1073.8557345526763,1.409530077333628e-6,8.369373563586954e-6,2.778417584731338e-10,1.377412642880488e-6,9.810179091602777e-9,0.012451775168020282
-1.3,1018.3143504517406,1.336753251710445e-6,8.826002129442232e-6,3.0895252930090045e-10,1.6677852587425432e-6,1.0220669761820794e-8,0.01245146914994252
-1.293028990673649,965.8284055032101,1.2679984927681736e-6,9.305818342673875e-6,3.434115329440476e-10,2.019128974815364e-6,1.065119120154475e-8,0.012451098696429814
-1.2860579813472979,916.2212627829063,1.203036109979871e-6,9.809905562224976e-6,3.815621411977633e-10,2.444191123802053e-6,1.1102605866220427e-8,0.012450650335440468
