Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,5120.768328852087,8.613513846237845e-7,8.042087583963149e-7,4.7917682664790674e-11,4.6632694529180955e-8,1.1933617664424237e-5,0.021459748855626168
-1.4932890167170314,4841.410107405611,8.141530396167858e-7,8.503637975718228e-7,5.3487484773085995e-11,5.623008021514499e-8,1.1332745385805739e-5,0.02145973088663442
-1.4865780334340628,4578.058030218474,7.696752330962259e-7,8.990302995126836e-7,5.970443954410088e-11,6.779590488392096e-8,1.0764318299073455e-5,0.021459695961721002
-1.4731560668681258,4095.6114726450737,6.882386781111983e-7,1.004413413323635e-6,7.437492577213534e-11,9.85241187380145e-8,9.71760029154356e-6,0.021459577867594108
-1.4597341003021886,3666.4744558610228,6.158534784983848e-7,1.121450334614994e-6,9.2601445741659e-11,1.431223518580662e-7,8.780098235328838e-6,0.02145939816807208
-1.4447654443146336,3243.2881772905694,5.44525929809286e-7,1.2671876037199602e-6,1.1813709055837936e-10,2.169469117852037e-7,7.8489193310062e-6,0.021459125616304062
-1.4322915643250045,2930.081327648157,4.917732167646311e-7,1.4021549779502945e-6,1.4459074321641866e-10,3.0670803550520655e-7,7.154969015474927e-6,0.021458836940949556
-1.4218966643336468,2693.518533877222,4.51952903848487e-7,1.524901915359078e-6,1.7098859577784037e-10,4.0918397317115066e-7,6.627862654636021e-6,0.02145854836929381
-1.4132342476741822,2511.825567033122,4.2138359609536506e-7,1.634879045612008e-6,1.9653116585953683e-10,5.201940395777642e-7,6.2211374203318e-6,0.0214582693995298
-1.4060155671246282,2370.3292966814147,3.9758688337392293e-7,1.732206771342099e-6,2.206253244397758e-10,6.353032412403785e-7,5.9031892111040635e-6,0.021458005898073035
-1.4,2258.8662833145545,3.7884749064898207e-7,1.8174659861879367e-6,2.4288016139017766e-10,7.503916817156905e-7,5.651946062513169e-6,0.021457761491672635
