Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,5016.88215444771,8.423003434548779e-7,7.561975837084994e-7,4.2579504052633064e-11,4.364715560330499e-8,1.1553459419204864e-5,0.0202880469667009
-1.4932890167170314,4743.397221248707,7.961883738613936e-7,7.995915444485008e-7,4.750737113532579e-11,5.26303777811912e-8,1.0972115510588402e-5,0.02028841862757206
-1.4865780334340628,4485.5701860575655,7.527309564733321e-7,8.453461662555813e-7,5.3008506740381e-11,6.34561060706593e-8,1.0422125982751296e-5,0.020288768234804376
-1.4731560668681258,4013.2135207797683,6.731541363962199e-7,9.444219407986333e-7,6.599174125491909e-11,9.221813641927814e-8,9.409257128739981e-6,0.020289403874489124
-1.4597341003021886,3593.013886462135,6.024125176478694e-7,1.054451075917327e-6,8.212413273768287e-11,1.339628547073192e-7,8.501943831600024e-6,0.02028995753664498
-1.4447654443146336,3178.602398389956,5.326955329496261e-7,1.1914579472929637e-6,1.04727619641715e-10,2.0306409011487297e-7,7.6006067538277e-6,0.020290479196733706
-1.4322915643250045,2871.8624172840964,4.8112795688018e-7,1.318336197710614e-6,1.281444690276766e-10,2.870823350486101e-7,6.928784176548434e-6,0.02029083388776541
-1.4218966643336468,2640.1668980671393,4.421986804564573e-7,1.4337233070613996e-6,1.5151201052586085e-10,3.830018719771573e-7,6.418409269315908e-6,0.020291069222523685
-1.4132342476741822,2462.201420557247,4.1231121952273595e-7,1.5371038304248766e-6,1.7412223624450144e-10,4.869094189641849e-7,6.024541727349811e-6,0.02029121884617173
-1.4060155671246282,2323.601014496511,3.8904391550109724e-7,1.628591795864526e-6,1.9545001276355694e-10,5.946536904905403e-7,5.716608159832027e-6,0.020291307336729923
-1.4,2214.4146558438533,3.70720536893479e-7,1.7087339431455874e-6,2.1514932448381662e-10,7.023783730238421e-7,5.473253089526303e-6,0.02029135294518713
-1.3939844328753717,2110.6498914532967,3.5331232844981664e-7,1.7925871781022226e-6,2.3677630070651046e-10,8.295488858561258e-7,5.241322747441654e-6,0.02029136996584264
-1.3879688657507434,2012.0251604780533,3.367716147493743e-7,1.8803114860285168e-6,2.605122492966706e-10,9.796625805756888e-7,5.020261660581376e-6,0.020291354952134903
-1.3759377315014871,1829.144636393355,3.061148895515105e-7,2.068046290388519e-6,3.1511931476868917e-10,1.365953470712672e-6,4.608666769480923e-6,0.020291211419120873
-1.3639065972522306,1663.8094092307074,2.78418682058998e-7,2.2733549464220705e-6,3.8077327425505265e-10,1.9039152053319705e-6,4.2345695434936426e-6,0.020290878466212973
-1.3518754630029741,1514.26077730262,2.533866760076946e-7,2.497775664877495e-6,4.5961105411987753e-10,2.652830380850906e-6,3.894459880789555e-6,0.020290293906788583
-1.3374203780638525,1353.2478015060685,2.2646333528636186e-7,2.795060877664266e-6,5.753688422985709e-10,3.949973470467019e-6,3.526336413917445e-6,0.020289133051776494
-1.3253744739479179,1232.9886695399887,2.0638025789102596e-7,3.068027146916828e-6,6.929510727039449e-10,5.501641352752956e-6,3.2500228728675423e-6,0.020287634038509982
-1.3153362205179724,1141.467869800989,1.9111708105283014e-7,3.3145937570124943e-6,8.083802199541747e-10,7.249097779566298e-6,3.0389413589477004e-6,0.02028587848584638
-1.3069710093263511,1070.7315634588679,1.7933673181705652e-7,3.5343277136166423e-6,9.185537178872492e-10,9.120569989687845e-6,2.8753231610564423e-6,0.020283956365677445
-1.3,1015.355825820263,1.7012761712166963e-7,3.72797446452349e-6,1.0212984637403736e-9,1.1042659781102747e-5,2.7469502425927607e-6,0.020281955702763192
-1.293028990673649,963.0260901124456,1.614384935002135e-7,3.931744797915009e-6,1.1350690125809183e-9,1.3367985886364299e-5,2.625413492835841e-6,0.020279512888983397
-1.2860579813472979,913.5662696157132,1.5324100331343133e-7,4.146192292372903e-6,1.2609840525074512e-9,1.6180679004924306e-5,2.510346860923575e-6,0.02027653713553314
-1.2790869720209468,866.810882312483,1.4550878240867618e-7,4.371916733006829e-6,1.4002652309377583e-9,1.9582290771528335e-5,2.4014040163127345e-6,0.020272918929637698
-1.2721159626945957,822.6043888354449,1.3821737523351402e-7,4.609572093842355e-6,1.554244303114232e-9,2.3695358200510695e-5,2.2982568221294266e-6,0.020268526271159507
-1.2628212835927943,767.3758940958578,1.2914236842862278e-7,4.946256911458886e-6,1.784934946138966e-9,3.054587978944137e-5,2.1692065884167966e-6,0.02026118537885389
-1.2512715905475413,704.2176390441571,1.1882891173491169e-7,5.3988893104340015e-6,2.1173387696275302e-9,4.186096965946263e-5,2.0213884019209747e-6,0.020249028268635283
-1.2416468463431638,655.8366165368449,1.1099482675933726e-7,5.8080239738075965e-6,2.4385395836738283e-9,5.4409919462389364e-5,1.9079844951379757e-6,0.0202355295738618
-1.2336262261728492,618.2392559423417,1.0496260018638414e-7,6.1734702532886585e-6,2.740921091882244e-9,6.767531290587473e-5,1.819743514523636e-6,0.02022126010291892
-1.2269423760309204,588.6731279601217,1.0026431913597392e-7,6.496618563316137e-6,3.0195432064773613e-9,8.114910383406539e-5,1.750265629496495e-6,0.02020677540785376
