Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,5106.737900212506,8.478613801268301e-7,8.284780207237047e-7,4.637943061138002e-11,4.2571895136994234e-8,1.1734038952530442e-5,0.02106542134856195
-1.4932890167170314,4828.254111750708,8.014350951279661e-7,8.760464420572697e-7,5.174360860398768e-11,5.1334335300874705e-8,1.1143295242477633e-5,0.02106580461008749
-1.4865780334340628,4565.719449420696,7.576816556612836e-7,9.262037608780859e-7,5.7732313089562194e-11,6.189411443236475e-8,1.0584424219054713e-5,0.02106616524441174
-1.4731560668681258,4084.751796369693,6.775633817159945e-7,1.034816732132227e-6,7.186789748240285e-11,8.995005107559397e-8,9.555229258543353e-6,0.021066821392899907
-1.4597341003021886,3656.9084432770364,6.063412397757016e-7,1.1554428529291096e-6,8.943454861345955e-11,1.3067088676317015e-7,8.633326290250825e-6,0.02106739379604264
-1.4447654443146336,3234.975701545261,5.361516396085844e-7,1.3056519430082386e-6,1.1405082661509597e-10,1.9807893903341357e-7,7.7175303399038e-6,0.02106793471903893
-1.4322915643250045,2922.681018789821,4.842352176105947e-7,1.4447624468831086e-6,1.395558386242548e-10,2.800404751776441e-7,7.034954165681045e-6,0.021068304531121435
-1.4218966643336468,2686.797584929187,4.450430680348242e-7,1.5712783637545468e-6,1.650094658320325e-10,3.7361390534900754e-7,6.516423659461207e-6,0.021068552108076018
-1.4132342476741822,2505.6203821777717,4.1495409298330225e-7,1.6846328288968112e-6,1.8963997977930079e-10,4.7498175579703873e-7,6.116270448027755e-6,0.02106871188272393
-1.4060155671246282,2364.521928215214,3.915301009933814e-7,1.7849495608899767e-6,2.1287484848614135e-10,5.800941332321486e-7,5.8034275494399244e-6,0.0210688089334774
-1.4,2253.369805214436,3.730834459708208e-7,1.87282709048671e-6,2.343366981062947e-10,6.851887410046237e-7,5.556195720873235e-6,0.021068861838180904
-1.3939844328753717,2147.7387366790663,3.5555821202393034e-7,1.9647752478061e-6,2.5789973707849257e-10,8.09255885109224e-7,5.320573031155657e-6,0.02106888638889777
-1.3879688657507434,2047.3419118369732,3.38906384126776e-7,2.060969473117176e-6,2.8376169473640836e-10,9.55708091497257e-7,5.095994749129237e-6,0.021068879231877936
-1.3759377315014871,1861.1802515439235,3.080438900919825e-7,2.2668339540510055e-6,3.4326388682017723e-10,1.3325839897193415e-6,4.677856305950791e-6,0.021068752835900623
-1.3639065972522306,1692.8846115605418,2.8016188917267715e-7,2.491973216390085e-6,4.148096074369678e-10,1.8574475926091178e-6,4.297816756223782e-6,0.021068439842769873
-1.3518754630029741,1540.6636212600147,2.5496189228791246e-7,2.7380722921844685e-6,5.007299946660443e-10,2.588148224100221e-6,3.9523078857722475e-6,0.02106787951494451
-1.3374203780638525,1376.7798134173493,2.2785747486374822e-7,3.064071483515802e-6,6.269001167419095e-10,3.853783985699548e-6,3.578342514300036e-6,0.0210667562567236
-1.3253744739479179,1254.3813102405875,2.0763868460983303e-7,3.363393245458048e-6,7.550723110131747e-10,5.367814479197439e-6,3.2976442037438693e-6,0.02106529893415399
-1.3153362205179724,1161.235459255115,1.9227166084022278e-7,3.633752298120769e-6,8.80909213743414e-10,7.072938603276519e-6,3.083212459039208e-6,0.021063588289274585
-1.3069710093263511,1089.2451412358994,1.8041048604202e-7,3.87467325384479e-6,1.0010264942288787e-9,8.89912755731065e-6,2.9169966875055187e-6,0.02106171295177627
-1.3,1032.8890060901717,1.7113759012861753e-7,4.086975218764937e-6,1.113052736738687e-9,1.0774759477344764e-5,2.78658525563521e-6,0.021059759470445225
-1.293028990673649,979.6339223706817,1.623876261408414e-7,4.310355594501233e-6,1.2371096420792861e-9,1.3043942122255752e-5,2.663118188712967e-6,0.02105737296090458
-1.2860579813472979,929.3005678442976,1.5413195171629757e-7,4.545413528802999e-6,1.3744195495694446e-9,1.578880549908458e-5,2.546223826961853e-6,0.02105446452806785
-1.2790869720209468,881.7204232572261,1.4634391918139804e-7,4.7927965904487926e-6,1.5263177355664215e-9,1.9108493753710966e-5,2.435550654662093e-6,0.02105092692467181
-1.2721159626945957,836.7350977982895,1.3899878823829746e-7,5.053208927929468e-6,1.6942603950235845e-9,2.312264942647237e-5,2.330765768052961e-6,0.02104663085604191
-1.2628212835927943,780.5349960359096,1.2985489789318324e-7,5.422036558933069e-6,1.9459009003758944e-9,2.980875640788005e-5,2.19966858614352e-6,0.021039449277038096
-1.2512715905475413,716.2677224986655,1.1945923902996475e-7,5.9176633952152366e-6,2.308554978126466e-9,4.085310479370967e-5,2.0495119450914174e-6,0.021027552130490974
-1.2416468463431638,667.0388245553062,1.1155856722987572e-7,6.365398556705421e-6,2.6590600086493584e-9,5.310290056607901e-5,1.9343231781075286e-6,0.021014338108816928
-1.2336262261728492,628.7836703309451,1.0547150011505674e-7,6.765072445970048e-6,2.9890979296450833e-9,6.605325402096964e-5,1.8447033786689803e-6,0.021000366021476508
-1.2269423760309204,598.7009954219272,1.0072754355919498e-7,7.118260458213352e-6,3.2932657885808466e-9,7.920825603804838e-5,1.774149586748492e-6,0.020986179998117218
-1.2213725009126464,574.811322603672,9.699411398369532e-8,7.427691099970475e-6,3.5686878718355434e-9,9.213436550276721e-5,1.7180568775338074e-6,0.020972252317414133
-1.2167309383140847,555.6846619742662,9.403135881084356e-8,7.696787548123287e-6,3.8144880581112664e-9,0.00010448920707928544,1.6730954699662983e-6,0.020958953306233825
-1.21286296948195,540.2676720663474,9.166329424833191e-8,7.92932250802383e-6,4.031249836564479e-9,0.0001160295179188676,1.6368117285293417e-6,0.020946543961921853
-1.2096396621218377,527.7710444758374,8.975884706715745e-8,8.129165935991826e-6,4.220535952888775e-9,0.00012660471032913286,1.6073666390788794e-6,0.02093518402153411
-1.2069535726550775,517.5943584859608,8.821909565529192e-8,8.300107570004933e-6,4.384498187454494e-9,0.00013614246967158844,1.583360765104609e-6,0.02092494837586237
-1.2047151647661107,509.27483180188324,8.69685006580986e-8,8.4457387542204e-6,4.52558157161226e-9,0.00014463140696009924,1.5637147749688244e-6,0.020915846362612376
-1.2028498248586383,502.451658894383,8.594876685906667e-8,8.569380242059658e-6,4.646313419231986e-9,0.00015210406325611843,1.5475863703707983e-6,0.020907840413830515
-1.2012953749357447,496.84073088828,8.511447780941541e-8,8.674044623964836e-6,4.749161913556601e-9,0.00015862206546403515,1.5343114893630355e-6,0.02090086218460696
-1.2,492.2164042287984,8.442994698431285e-8,8.762423879623933e-6,4.8364482164688715e-9,0.00016426415087103229,1.5233619762523883e-6,0.020894825460836295
-1.1987046250642552,487.6383179412203,8.375511815555406e-8,8.851879188264153e-6,4.925189842605373e-9,0.00017010456397458749,1.5125134764441679e-6,0.02088858021494421
-1.1974092501285103,483.1059815555014,8.308996126205037e-8,8.942432319251592e-6,5.015405195018604e-9,0.00017615013457250887,1.501764475188431e-6,0.020882119549375112
-1.1948185002570209,474.17662375164747,8.17885535954346e-8,9.126922602843514e-6,5.2003304305037456e-9,0.00018888520537394695,1.4805588895429224e-6,0.0208685233165136
-1.189637000514042,456.84592254697145,7.930071459763675e-8,9.510114488198663e-6,5.588667698110205e-9,0.00021714372050206317,1.4392745697275421e-6,0.020838418436815817
-1.1792740010280842,424.1949173837799,7.478159175963877e-8,1.0339434305838118e-5,6.443228915587147e-9,0.0002867375871790868,1.3608657780581244e-6,0.02076465783300067
-1.1689110015421262,394.0422047363444,7.087013337308599e-8,1.126649457204408e-5,7.40849480934892e-9,0.0003781402345251263,1.2873237848061452e-6,0.02066859623526153
-1.1585480020561683,366.1853520858635,6.757355600634838e-8,1.2311930329391052e-5,8.490982166176094e-9,0.0004978792052276719,1.2178015303064608e-6,0.020544111551947686
