Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,3.0098697492335442,6.601898284598622e-6,1.7859618077450216e-6,1.2658484632738896e-11,6.597667624592417e-9,3.746957166276506e-9,0.012453221861082624
-1.4932890167170314,3.0097659466338484,6.241994987252263e-6,1.8889381267948727e-6,1.416030735452408e-11,7.954899277792416e-9,3.846694340168748e-9,0.012453219362929053
-1.4865780334340628,3.0096565029030926,5.902698726585421e-6,1.9975181543873494e-6,1.583501452872047e-11,9.590413654243965e-9,3.95141321090531e-9,0.012453216678226556
-1.4731560668681258,3.0094195386024403,5.281088986839437e-6,2.232638819303782e-6,1.978214195798023e-11,1.3935331969134709e-8,4.176801403460519e-9,0.01245321048053706
-1.4597341003021886,3.0091564152994335,4.728122058177194e-6,2.4937575589268588e-6,2.4679926823978724e-11,2.024087471500652e-8,4.425249536846701e-9,0.012453202596182657
-1.4447654443146336,3.008828840425494,4.182778827032155e-6,2.8188999236092675e-6,3.15350174105966e-11,3.067769652730157e-8,4.732382842078849e-9,0.012453190630104043
-1.4322915643250045,3.008525550843125,3.779131456899524e-6,3.12000014265978e-6,3.8631444072979224e-11,4.3366604095523446e-8,5.014994206490086e-9,0.012453176762550608
-1.4218966643336468,3.0082497920710862,3.4742417978102976e-6,3.393821082527209e-6,4.5709581456010804e-11,5.785214325848369e-8,5.270739028201795e-9,0.012453161285508118
-1.4132342476741822,3.008002781921202,3.240059559846179e-6,3.6391384055010593e-6,5.255619778104833e-11,7.354340882746789e-8,5.4989819997276295e-9,0.012453144704365407
-1.4060155671246282,3.007784233133054,3.057680164184354e-6,3.856223499263097e-6,5.901311186994085e-11,8.981361157258152e-8,5.700344342888112e-9,0.012453127606543444
-1.4,3.007592825358138,2.9140079290689606e-6,4.0463757870969025e-6,6.497613517151469e-11,1.0608052903227149e-7,5.8762969006789775e-9,0.012453110560445476
-1.3939844328753717,3.0073925942424036,2.777471926253925e-6,4.245320108230599e-6,7.152192161742527e-11,1.252835545181641e-7,6.059993518930915e-9,0.012453090468421468
-1.3879688657507434,3.0071831658696855,2.6477017797681465e-6,4.453431814460001e-6,7.870533458475631e-11,1.4795075821340388e-7,6.251760157394928e-9,0.012453066770857227
-1.3759377315014871,3.0067351506429363,2.4070764833725587e-6,4.898731645156918e-6,9.522966024364584e-11,2.0627999165393782e-7,6.6608687031497586e-9,0.012453005802220607
-1.3639065972522306,3.006245497864073,2.1895496490489445e-6,5.385576527549436e-6,1.1509486128627292e-10,2.875108354487875e-7,7.106480402873754e-9,0.01245292083058761
-1.3518754630029741,3.005710677884759,1.992809172840122e-6,5.917523856585892e-6,1.3894819087784896e-10,4.005965625379984e-7,7.591664252602375e-9,0.012452802374692472
-1.3374203780638525,3.005002999636692,1.7810139627233168e-6,6.621720334549232e-6,1.7397313537917184e-10,5.964724501910445e-7,8.23159285661402e-9,0.012452596840568785
-1.3253744739479179,3.0043541540241248,1.6228551528283922e-6,7.26770297077004e-6,2.0955410574484897e-10,8.308011063748283e-7,8.816556434242878e-9,0.012452350555261853
-1.3153362205179724,3.0037689862076333,1.5025172505571244e-6,7.850568437067259e-6,2.444896495099388e-10,1.0947244476334148e-6,9.342849380702002e-9,0.012452072828659825
-1.3069710093263511,3.0032483635295013,1.4095300691479302e-6,8.369373514982696e-6,2.77841756859597e-10,1.3774126348813088e-6,9.810179034631194e-9,0.012451775095707905
-1.3,3.0027903216900986,1.336753244018175e-6,8.82600207865351e-6,3.0895252752305083e-10,1.6677852491453685e-6,1.0220669703006537e-8,0.012451469078291255
-1.293028990673649,3.0023092147640487,1.2679984855384426e-6,9.30581828961501e-6,3.4341153098602245e-10,2.0191289633029223e-6,1.065119114081499e-8,0.012451098625437543
-1.2860579813472979,3.001803993497661,1.2030361031837642e-6,9.809905506807549e-6,3.8156213904226934e-10,2.4441911099945006e-6,1.1102605803500367e-8,0.01245065026510513
-1.2790869720209468,3.0012735674806903,1.1416506681054897e-6,1.033939470763342e-5,4.237805951021345e-10,2.9583710274676197e-6,1.1575795714847487e-8,0.012450107731125046
-1.2721159626945957,3.0007168039037726,1.0836401873271915e-6,1.0895467050544898e-5,4.704787534973866e-10,3.5802684220335796e-6,1.207165890089849e-8,0.012449451389501367
-1.2628212835927943,2.999931443080957,1.0112173252473705e-6,1.1680389666392723e-5,5.404956597102077e-10,4.616500021804351e-6,1.2769651700801322e-8,0.012448357600250282
-1.2512715905475413,2.9988829805849337,9.284934612799803e-7,1.2729320352733635e-5,6.415136528006019e-10,6.329241538304332e-6,1.369866205363177e-8,0.012446549727870754
-1.2416468463431638,2.9979438648213543,8.652257717224391e-7,1.3669972546823481e-5,7.392951799376816e-10,8.230483876384472e-6,1.4527798061220502e-8,0.012444543358778648
-1.2336262261728492,2.9971130751301165,8.161454235427388e-7,1.450308760381538e-5,8.315200548826246e-10,1.0242257835295265e-5,1.5258668555289397e-8,0.01244242121554453
-1.2269423760309204,2.9963855986156025,7.776192934743307e-7,1.523341142589703e-5,9.166637693589971e-10,1.2287725847502001e-5,1.589639440763532e-8,0.0124402646374469
-1.2213725009126464,2.995753944603378,7.470795947653936e-7,1.586820052236833e-5,9.93895738412919e-10,1.4299475121792342e-5,1.644822945904219e-8,0.012438144810352105
-1.2167309383140847,2.995209306205947,7.226718168662208e-7,1.6416070915602885e-5,1.06293868433221e-9,1.6224050716732703e-5,1.6922501995076898e-8,0.012436118018696181
-1.21286296948195,2.9947424010423376,7.030309295659307e-7,1.6886159877749447e-5,1.1239232449898359e-9,1.8023274896882398e-5,1.7327854874061482e-8,0.012434224314999668
-1.2096396621218377,2.9943440455365202,6.871352990651406e-7,1.7287548614648508e-5,1.1772573488357992e-9,1.9673328584595506e-5,1.7672735824648183e-8,0.012432488552428485
-1.2069535726550775,2.9940055214408,6.742090203948542e-7,1.762888964763633e-5,1.2235189856380839e-9,2.116257585963481e-5,1.7965082238127784e-8,0.012430922731015013
-1.2047151647661107,2.993718788146692,6.636551886667311e-7,1.7918187216301517e-5,1.2633740061079167e-9,2.2488906667025267e-5,1.8212148471389037e-8,0.012429528834236673
-1.2028498248586383,2.993476585471803,6.550094011398677e-7,1.8162687286526637e-5,1.2975167568805945e-9,2.3657112751398784e-5,1.842043220854628e-8,0.012428301613816195
-1.2012953749357447,2.9932724620466096,6.479067681038378e-7,1.8368842765201302e-5,1.3266297079281816e-9,2.4676582348645992e-5,1.859566610334778e-8,0.012427231025694365
-1.2,2.9931007557023976,6.42058118186275e-7,1.8542327835160474e-5,1.3513578916952005e-9,2.555943127252055e-5,1.8742849817760603e-8,0.012426304197638589
-1.1987046250642552,2.992927579808313,6.362727051808301e-7,1.871736314092714e-5,1.3765179275448915e-9,2.647368488028097e-5,1.8891083376030073e-8,0.012425344684073313
-1.1974092501285103,2.992752923198262,6.305499846144435e-7,1.8893962868283766e-5,1.4021163961942698e-9,2.7420451252803274e-5,1.9040365830426093e-8,0.012424351353199765
-1.1948185002570209,2.9923991228126283,6.19290489374369e-7,1.9251913264618825e-5,1.454655251125107e-9,2.941614891310721e-5,1.9342071612268804e-8,0.012422258521746164
-1.189637000514042,2.9916732542668134,5.975008803980977e-7,1.998723250750558e-5,1.5652901087086513e-9,3.385090249641845e-5,1.9957981369791748e-8,0.012417612899546203
-1.1792740010280842,2.990145832485923,5.567316878055408e-7,2.1539040798244613e-5,1.810345379217192e-9,4.4810094366635274e-5,2.1238845878020122e-8,0.012406162247349079
-1.1689110015421262,2.988512346480985,5.195258669230881e-7,2.3206298746935296e-5,2.0901625654376128e-9,5.928410066312472e-5,2.2581849728555188e-8,0.012391104015149501
-1.1585480020561683,2.9867663433517166,4.856961457716258e-7,2.4998688323976823e-5,2.4084317003018806e-9,7.838253904826536e-5,2.39802645880087e-8,0.012371347170655448
-1.1447306694082244,2.9842515587277525,4.455886680904401e-7,2.7602599732862372e-5,2.898666924640267e-9,0.00011360684893902895,2.591130482812384e-8,0.012335239517129034
-1.1270350199720038,2.980693908364152,4.0222690351052106e-7,3.1342020091271555e-5,3.6461930032998864e-9,0.0001822752530475688,2.842924285433114e-8,0.012266045427100756
-1.11228864544182,2.977414558368121,3.7282102085053434e-7,3.486068011719846e-5,4.375432956375706e-9,0.0002695186503179465,3.046787381676859e-8,0.012180301887104315
-1.1,2.9744449642189394,3.5303390384302564e-7,3.811814145804441e-5,5.052464062518325e-9,0.0003724076210869718,3.202961077711824e-8,0.01208209220314438
-1.0877113545581802,2.9712445115940493,3.376873256223002e-7,4.171478600311483e-5,5.780520110417498e-9,0.0005130614544637636,3.33660611487185e-8,0.01195251603180937
-1.0754227091163604,2.967797727105946,3.2703329198218066e-7,4.569602351540036e-5,6.538589482613694e-9,0.0007042925821551306,3.4366928341080365e-8,0.011784142874640729
-1.0631340636745406,2.9640882603800627,3.214465526994553e-7,5.010841110891045e-5,7.294727461798307e-9,0.0009625923657881301,3.491733936573184e-8,0.011569171686855338
-1.0508454182327207,2.960098822647558,3.214566558652433e-7,5.4994054365548314e-5,8.006002954364083e-9,0.001308805816581268,3.49139660210961e-8,0.01129998537309501
-1.038104160388061,2.9556472497944237,3.2817223640447424e-7,6.059102173087561e-5,8.640793728494855e-9,0.0017881993386285018,3.424817981172992e-8,0.010956316722322923
-1.0274864455175112,2.9516771001277804,3.398115540761119e-7,6.567543571419451e-5,9.045708920741478e-9,0.0023058720345588758,3.315669425311613e-8,0.010615195045853884
-1.018638349792053,2.948177569105888,3.5442885497423173e-7,7.019549885734846e-5,9.270275198320355e-9,0.0028369093984181868,3.188559220726618e-8,0.010290715760434214
-1.0112649366875046,2.9451224425245104,3.7059056586753593e-7,7.41456331305404e-5,9.365702198444497e-9,0.0033596608637570377,3.0594382208952465e-8,0.009991455941357186
-1.0051204257670476,2.9424763786505213,3.8724834931998943e-7,7.755306857743253e-5,9.375521455894338e-9,0.003857546102793102,2.9373735881476573e-8,0.009721661436032359
-1.0,2.9401995884253163,4.0365309044454637e-7,8.04642205180043e-5,9.33289100047222e-9,0.004319402922777227,2.8267733802118145e-8,0.009482538776628031
-0.9948795742329525,2.937855778001157,4.226522636670646e-7,8.343234536351103e-5,9.243009770461486e-9,0.004826734171404103,2.709145762266239e-8,0.009230405610866495
-0.989759148465905,2.935443222753352,4.4458462552067414e-7,8.644897662800234e-5,9.105698140607329e-9,0.005381879041141835,2.5855416777709255e-8,0.008965331525953532
-0.9846387226988574,2.932960170666451,4.6985521227857674e-7,8.950506364128139e-5,8.921595582583096e-9,0.005986783715696231,2.45705798832574e-8,0.00868748781247712
-0.9769580840482862,2.929099524097221,5.151088116481996e-7,9.414265393790922e-5,8.561184929334497e-9,0.0069903483277249405,2.257643088211574e-8,0.008247473936396453
-0.9654371260724294,2.922990400528368,6.038841042254514e-7,0.00010115809542383082,7.84963320729414e-9,0.008713822091667054,1.95100027530859e-8,0.007538904728705903
-0.9481556891086441,2.9130703804522327,8.060443238289783e-7,0.00011164598166198325,6.494902441321887e-9,0.011749615516286895,1.4985096142245607e-8,0.006389727717389701
-0.9291050868239058,2.9010112110519506,1.1941018397174055e-6,0.00012303992775227051,4.835713647208097e-9,0.015521795012640019,1.0492778455972262e-8,0.0050725780323234194
-0.9132295849199572,2.8900021776418128,1.7612591122459785e-6,0.0001325466975743296,3.5344335841686697e-9,0.01872868157980905,7.403328131159391e-9,0.004015672055751658
-0.9,2.8801248369572052,2.5303584043042045e-6,0.00014071769135596098,2.613328555926715e-9,0.021251600168527906,5.367135479296377e-9,0.0032142664393755883
-0.8867704150800428,2.869578752111445,3.7307039858267093e-6,0.00014936430635699687,1.8824058292511585e-9,0.023517250866176377,3.815258470456732e-9,0.0025134237377362092
-0.8735408301600855,2.8583349458674516,5.5662272377301794e-6,0.00015871993654033255,1.3413080299884818e-9,0.025460489608173806,2.6891430573680983e-9,0.0019248834448899563
-0.8603112452401283,2.846362672027226,8.255937660590826e-6,0.00016898611652327346,9.631940439579387e-10,0.02706216805021648,1.902101560803752e-9,0.0014476629796595297
-0.8451979635867095,2.831752469229443,1.2554359150623889e-5,0.00018202558461992093,6.825433700908011e-10,0.028496008800895867,1.3038947165208695e-9,0.00102590599479485
-0.8326035622088606,2.8187818563493736,1.7067283883715686e-5,0.00019407117189077977,5.354286149873723e-10,0.029408512873504683,9.740617865601398e-10,0.0007599324465661903
-0.8221082277273197,2.8073971233138093,2.124593414061739e-5,0.00020497751540340267,4.5437348193392573e-10,0.030004867414748712,7.792739968499911e-10,0.0005870471526693202
-0.8133621156593691,2.797496101330218,2.479957982587529e-5,0.0002146901115088365,4.077582295408083e-10,0.030406697835297283,6.571672484730554e-10,0.000470947485910527
-0.8060736889360769,2.788949882303965,2.7665184960090775e-5,0.00022322748124861647,3.800875510800313e-10,0.030685685444233893,5.767724211376638e-10,0.00039051831540069554
-0.8,2.781618260490406,2.9906305319493474e-5,0.00023065555045955307,3.6332308904743856e-10,0.030884754784527853,5.21690134982269e-10,0.00033321545169035297
-0.7939263110639232,2.774092225320197,3.195918180763506e-5,0.0002383732026460377,3.5137441311860393e-10,0.031057327640072952,4.755831209562506e-10,0.0002835972642493344
-0.7878526221278462,2.7663683139106308,3.3784168831200885e-5,0.000246384840195092,3.4357390810862276e-10,0.031206682492460877,4.3703785605517127e-10,0.00024069768179782507
-0.7817789331917693,2.758443084596418,3.535413662695026e-5,0.000254695147098907,3.3939549241277997e-10,0.03133575430172872,4.048927380689015e-10,0.00020365639097650072
-0.7757052442556923,2.7503131221521153,3.665437570709275e-5,0.0002633091653603721,3.384291904558696e-10,0.03144714730888018,3.7819244143837845e-10,0.00017171324546568067
-0.7676069923409231,2.7391488549681733,3.796379970214604e-5,0.00027527646130112184,3.416053179403286e-10,0.03157209106405578,3.497235782750569e-10,0.0001359127658879263
-0.7568093231212308,2.7236739702100103,3.898736033059226e-5,0.0002921127201849561,3.529737225649597e-10,0.0317039927293732,3.221495809860888e-10,9.815476423211591e-5
-0.744471785716187,2.705146279055173,3.9259131525963086e-5,0.00031262638240625134,3.751333469452861e-10,0.03181633278968465,3.021882794950596e-10,6.603261309758639e-5
-0.7341905045453171,2.6889989597503408,3.887926232913917e-5,0.00033080564263209575,4.008138963383678e-10,0.031885539920698876,2.9310511727901213e-10,4.626750596362734e-5
-0.7256227702362589,2.6750399400171463,3.8226759810926005e-5,0.00034674025057130205,4.272824227310134e-10,0.03192968820296294,2.899246374097622e-10,3.367433262816123e-5
-0.718482991645377,2.6630517026389824,3.749732894020763e-5,0.00036058442239521966,4.529790274117487e-10,0.03195868441572365,2.8994829432224985e-10,2.5414005349084017e-5
-0.7125331761529754,2.652810841697063,3.6786570835107e-5,0.00037252602668824594,4.770172880243428e-10,0.03197823359406985,2.916436634259084e-10,1.9852801058660176e-5
-0.7075749965759741,2.64410067219902,3.613701134923681e-5,0.0003827657856869993,4.989356302343797e-10,0.031991739716224495,2.9412440771180317e-10,1.6016542225062014e-5
-0.7034431802618064,2.6367187369911647,3.556367957098998e-5,0.0003915035564395402,5.185498633649907e-10,0.03200128810556851,2.9688021244900667e-10,1.330878771936862e-5
-0.7,2.6304807333752334,3.506786820258403e-5,0.0003989297098532778,5.358547292024986e-10,0.032008184808670785,2.996247320083552e-10,1.1356222411874756e-5
-0.6965568197381935,2.624163680092722,3.455882041638419e-5,0.00040648947920008733,5.540504262791188e-10,0.032014213002297565,3.0275279498760703e-10,9.652618649023413e-6
-0.693113639476387,2.6177671060800396,3.403930596885891e-5,0.000414184859504921,5.731542713674556e-10,0.03201945813919441,3.0624247132195214e-10,8.17351799867129e-6
-0.6862272789527742,2.6047335584206817,3.297896145103294e-5,0.0004299906179545658,6.141564264109983e-10,0.03202792024892937,3.1422126557788153e-10,5.796966627521525e-6
-0.6793409184291613,2.59137651447115,3.1904883095404364e-5,0.00044636373373691484,6.590048315613856e-10,0.03203416663350845,3.233973510333204e-10,4.056189738781855e-6
-0.6690113776437421,2.5707269845253298,3.0298972495694898e-5,0.00047202571576267883,7.338304078926466e-10,0.03204048338775845,3.3908710795401587e-10,2.3219846896807377e-6
-0.6586818368583227,2.5493312216354926,2.8729462258614395e-5,0.0004990666019368508,8.182597868177223e-10,0.03204432478760763,3.567288583815413e-10,1.3003945700920819e-6
-0.644909115811097,2.5196260349300434,2.6728337990680388e-5,0.0005373837942381277,9.470590163580015e-10,0.03204721081715318,3.827918678198116e-10,5.851874797460494e-7
-0.6271428721935202,2.479290574059833,2.4331372445254174e-5,0.0005908958088131881,1.1439724525029655e-9,0.032049090373991236,4.201436320217306e-10,2.0301256276769745e-7
-0.6123376691788728,2.4439192993704375,2.2497096550403413e-5,0.0006392817326433683,1.338577830481536e-9,0.03205000589410216,4.542909779803031e-10,8.277812189977065e-8
-0.6,2.4132110807985363,2.1077144320809e-5,0.0006824418017270205,1.5252379861720655e-9,0.03205060314641773,4.848632376070498e-10,3.895933002085066e-8
-0.5876623308211272,2.3813773462912673,1.9749935397321385e-5,0.0007283607937855774,1.7372848883413127e-9,0.03205114988630919,5.174388361894485e-10,1.8274416731516555e-8
-0.5753246616422544,2.3484162015117627,1.8509407037183152e-5,0.000777219697524574,1.978100281406806e-9,0.03205169050722863,5.521246182421876e-10,8.554015269569225e-9
-0.5629869924633816,2.3143289265259592,1.7349596098020424e-5,0.000829213636937551,2.251548991075792e-9,0.03205224728985717,5.890482451094165e-10,3.99902705065141e-9
-0.5506493232845088,2.2791201440691555,1.6264839197345128e-5,0.0008845531613458981,2.5620424294034173e-9,0.03205283199479324,6.283538126071524e-10,1.868238159732777e-9
-0.5343449211541751,2.2308852001337227,1.493750771030754e-5,0.0009632058797615945,3.0378356949166784e-9,0.03205365886120365,6.842222221388801e-10,6.830071261012244e-10
-0.520757919378897,2.189224695459845,1.391637501877329e-5,0.0010339312282763315,3.5002484754577797e-9,0.0320544018532605,7.34461389145865e-10,2.9526095316345115e-10
-0.5094354178994986,2.153507600325539,1.3119850686847895e-5,0.0010967481804440582,3.9384044759135595e-9,0.03205506225555457,7.790834187757656e-10,1.467977877863826e-10
-0.5,2.1230612540568585,1.2491422181959727e-5,0.001151966196842225,4.344882176964491e-9,0.03205564330316195,8.18307729877999e-10,8.200845156607676e-11
-0.49056458210050136,2.092006403891237,1.1893298176205983e-5,0.0012099457440560442,4.793160986263286e-9,0.032056253955542284,8.594937986869875e-10,4.581969854640027e-11
-0.4811291642010027,2.0603553996725585,1.1323873841038154e-5,0.0012708391737493681,5.287649911051053e-9,0.032056895860779776,9.027498140598864e-10,2.560416390354098e-11
-0.47169374630150407,2.028122028780898,1.078163846452889e-5,0.0013348090676874836,5.833250784745295e-9,0.0320575707573182,9.48191246581977e-10,1.4310079842066866e-11
-0.4622583284020054,1.9953215329157343,1.0265169644209778e-5,0.0014020290681356965,6.4354180773161445e-9,0.03205828049134813,9.959414323108926e-10,7.999329971872954e-12
-0.44967777120267394,1.9507344356939664,9.614321862556252e-6,0.0014970341103480935,7.336898616184397e-9,0.03205928441634284,1.0634289282535396e-9,3.684716400416118e-12
-0.4336861190718579,1.892715029438039,8.845061288885633e-6,0.0016273720715358627,8.669701915779652e-9,0.03206066301069809,1.1560154237244475e-9,1.376310785051721e-12
-0.42035974229617784,1.8432844119614458,8.249948951680654e-6,0.001744898422004529,9.966757578088624e-9,0.032061907140485776,1.2395011058537306e-9,6.060834446136757e-13
-0.4092544283164445,1.8013910015852104,7.783637954418196e-6,0.0018495616757947652,1.1197890439630617e-8,0.032063015778845315,1.3138493970662091e-9,3.0610950534064933e-13
-0.4,1.7660239495093957,7.4143881611547184e-6,0.0019417915347774584,1.2342142217298781e-8,0.03206399316080823,1.3793655379058293e-9,1.7329410678633654e-13
-0.39074557168355556,1.7302689540359868,7.061807510421276e-6,0.0020388718306336667,1.3606651177041849e-8,0.03206502232839437,1.448327221621124e-9,9.813059880308157e-14
-0.3814911433671111,1.6941522190904763,6.72508796756267e-6,0.002141101216541696,1.5004831166383764e-8,0.03206610645082664,1.5209465985258973e-9,5.558314585187828e-14
-0.37223671505066663,1.6577012243154956,6.4034660978674896e-6,0.0022488008652200935,1.6551724263493493e-8,0.03206724893735693,1.5974518158993176e-9,3.149228750405288e-14
-0.36298228673422217,1.6209446923059911,6.096220434272471e-6,0.0023623164683780206,1.8264218145307368e-8,0.03206845345858625,1.6780884382870393e-9,1.7848106928174733e-14
-0.3506430489789629,1.5715125977896658,5.707749226281307e-6,0.0025233654646681686,2.0838290636779886e-8,0.03207016286579737,1.7924907472612568e-9,8.374931997772468e-15
-0.3341907319719506,1.5049697965217645,5.2250625871140946e-6,0.0027568979943419386,2.487193638297058e-8,0.03207264248912253,1.958382253817995e-9,3.056440028361817e-15
-0.3155412418054321,1.4288814733881856,4.722871382828079e-6,0.0030506372402477,3.045138796888393e-8,0.032075762502807824,2.167042032872333e-9,9.762198074089415e-16
-0.3,1.3651366944234107,4.337879254875369e-6,0.0033219821372945375,3.610617727904169e-8,0.032078645495064555,2.3597938256889035e-9,3.775489403698516e-16
-0.2844587581945679,1.3012684495587576,3.980921484227647e-6,0.003620570889460178,4.2884275493007606e-8,0.03208181866399816,2.5718984862960485e-9,1.4617180658639118e-16
-0.2689175163891358,1.2374550348302777,3.649936778470031e-6,0.003949754040418084,5.103130888418387e-8,0.032085317639066455,2.8057360974094344e-9,5.665575343149035e-17
-0.2533762745837037,1.1738793818572573,3.3430426336271385e-6,0.004313384002012041,6.085279463253517e-8,0.03208918339199304,3.0640432473992125e-9,2.1985717731562472e-17
-0.23619404610370373,1.1040921440038627,3.029715871684879e-6,0.004760876502702039,7.412312547343853e-8,0.03209394138543021,3.3819227532257313e-9,7.731480008383829e-18
-0.2218755223703704,1.0465157417829256,2.7879666376546847e-6,0.005175120352373275,8.757117874642999e-8,0.03209834638664959,3.67618384144987e-9,3.240151140777112e-18
-0.20994341925925927,0.9990520661321051,2.5990793980163713e-6,0.0055526091751829775,1.0079991982951511e-7,0.032102360885512556,3.944335732855824e-9,1.5711066984463246e-18
-0.2,0.9599236225554073,2.449935135522419e-6,0.005891958960504546,1.1348450748529401e-7,0.03210597001352263,4.185395285573626e-9,8.600408028649857e-19
-0.19005658074074075,0.9212333819297422,2.3079511068113386e-6,0.006255937789987869,1.2792329299576076e-7,0.032109841282020705,4.443950256368884e-9,4.710802121998263e-19
-0.1801131614814815,0.8830296979318848,2.1728171700087096e-6,0.006646733628204291,1.443860116169654e-7,0.03211399796986086,4.721554881563518e-9,2.581908138642517e-19
-0.17016974222222223,0.845360192320711,2.044239592534532e-6,0.007066762510010277,1.6318834853658665e-7,0.03211846578316895,5.019925408837884e-9,1.4160041337570174e-19
-0.15525461333333335,0.789959386539888,1.8630614685023799e-6,0.0077575360162750375,1.966058379110545e-7,0.03212581383388916,5.5106213209943276e-9,5.758213201495572e-20
-0.13746773333333334,0.7258121485063613,1.664251429376537e-6,0.008689606037565656,2.466124296788809e-7,0.03213572919604101,6.172723942394338e-9,1.9730858324001228e-20
-0.12264533333333334,0.6741191417647582,1.5119802397115812e-6,0.009570312445299314,2.9904766633671113e-7,0.03214509858575448,6.798340052691796e-9,8.09623352134156e-21
