Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,3.0098882694629627,5.062856317590882e-10,4.726983047559698e-10,2.81650841612929e-14,2.7409793066794623e-11,7.0143489245603816e-9,1.2613624010725317e-5
-1.4932890167170314,3.0097854620744044,5.0613889924219e-10,5.286502359077321e-10,3.325185235324519e-14,3.495685641337101e-11,7.045288779691321e-9,1.3340986326240615e-5
-1.4865780334340628,3.009677063656048,5.05994873857745e-10,5.910346382931334e-10,3.925050340302138e-14,4.4569941794557507e-11,7.076607958389817e-9,1.4107893413037799e-5
-1.4731560668681258,3.0094423496677596,5.057156027667689e-10,7.380397976760046e-10,5.465046010028526e-14,7.239521067226256e-11,7.14046194319011e-9,1.5768429908958624e-5
-1.4597341003021886,3.009181706210412,5.054487747053413e-10,9.204067482189764e-10,7.600068672208925e-14,1.174646566192871e-10,7.206080747745795e-9,1.7612349184765585e-5
-1.4447654443146336,3.0088571939307487,5.051665691197426e-10,1.175592894954483e-9,1.0959791895321988e-13,2.0126558003590197e-10,7.28158464580507e-9,1.990801956427427e-5
-1.4322915643250045,3.008556718100108,5.049442147281559e-10,1.4397084268359999e-9,1.4846326884312325e-13,3.1492249447394134e-10,7.3465981630561945e-9,2.2033561810083963e-5
-1.4218966643336468,3.008283501263556,5.047681858860126e-10,1.7031021748406551e-9,1.909703479345531e-13,4.5700127175302805e-10,7.402395647852359e-9,2.396619745084519e-5
-1.4132342476741822,3.0080387558662967,5.04628269087307e-10,1.957850734103056e-9,2.3535605792059304e-13,6.229587962466692e-10,7.4501281902436214e-9,2.5697368015823807e-5
-1.4060155671246282,3.0078222019341823,5.045166748283385e-10,2.198078550722047e-9,2.7996183909466377e-13,8.061661291698539e-10,7.490834120067667e-9,2.7229071774888285e-5
-1.4,3.0076325347714774,5.044273966144023e-10,2.419917403379194e-9,3.23389782229939e-13,9.991306047732584e-10,7.525446277167255e-9,2.857055420342213e-5
-1.3939844328753717,3.007434118323821,5.043417536449565e-10,2.6634247286756103e-9,3.734084735196444e-13,1.2380059247478198e-9,7.560725797769614e-9,2.9973865753221604e-5
-1.3879688657507434,3.007226581522662,5.042600514405992e-10,2.9306419497502927e-9,4.3099312550536247e-13,1.5336477534551771e-9,7.59671274244645e-9,3.144161856622457e-5
-1.3759377315014871,3.0067825920066014,5.041100820659386e-10,3.5453133837863636e-9,5.734823705161929e-13,2.352000511557207e-9,7.67098445656878e-9,3.4581381025201584e-5
-1.3639065972522306,3.0062973090839487,5.039817163018931e-10,4.284266465720088e-9,7.618367403224251e-13,3.603750712595259e-9,7.74864625147673e-9,3.8012710791652575e-5
-1.3518754630029741,3.0057672293568345,5.038812340527335e-10,5.171658731236128e-9,1.0103782981460078e-12,5.516635188363179e-9,7.83014216285334e-9,4.176013293582235e-5
-1.3374203780638525,3.00506577570525,5.038105645745706e-10,6.47499656550141e-9,1.4152847310450148e-12,9.190065273576543e-9,7.933854326916025e-9,4.671775885141868e-5
-1.3253744739479179,3.004422593566035,5.03809491309576e-10,7.79965088152344e-9,1.8706428983157062e-12,1.4046668510035309e-8,8.025813676859697e-9,5.126184307495566e-5
-1.3153362205179724,3.00384250042196,5.038638086565704e-10,9.101101800175484e-9,2.357049135000879e-12,1.9989530985162234e-8,8.106813305297008e-9,5.535844361093249e-5
-1.3069710093263511,3.003326368022558,5.03959377092392e-10,1.0344507541483822e-8,2.8550211050691626e-12,2.6808388161157695e-8,8.177685877218703e-9,5.9001645312816014e-5
-1.3,3.002872258476683,5.040829365991609e-10,1.1505327470670179e-8,3.3472616572040934e-12,3.422449135806615e-8,8.239303741859089e-9,6.220547552947348e-5
-1.293028990673649,3.0023952642366236,5.042554093249114e-10,1.2792331195789576e-8,3.921981409445569e-12,4.36775540818049e-8,8.303430795955955e-9,6.556892161457886e-5
-1.2860579813472979,3.0018943430642926,5.044871098846177e-10,1.421894279788994e-8,4.592540194850203e-12,5.5722713324003814e-8,8.370249764138925e-9,6.909874873902232e-5
-1.2790869720209468,3.001368411705325,5.04790537087193e-10,1.5800046074029946e-8,5.374367648674945e-12,7.106505060138739e-8,8.43995188146818e-9,7.280184942901895e-5
-1.2721159626945957,3.0008163446235696,5.051808207774012e-10,1.755216819331208e-8,6.285261842424714e-12,9.059964734602891e-8,8.512735374308688e-9,7.668520943332962e-5
-1.2628212835927943,3.0000375724920754,5.058684686394996e-10,2.0186437963196478e-8,7.736429159596562e-12,1.2517237218699163e-7,8.614924345424654e-9,8.215558328276245e-5
-1.2512715905475413,2.9989978418273426,5.070671048937916e-10,2.4004689254286612e-8,9.997979593274032e-12,1.8687135992372396e-7,8.750767946267696e-9,8.944206469764819e-5
-1.2416468463431638,2.998066486098238,5.084502861704934e-10,2.7723625894276468e-8,1.2361485043162303e-11,2.607408991077853e-7,8.872068652858605e-9,9.594881827439292e-5
-1.2336262261728492,2.9972425134089913,5.099497843219756e-10,3.125504478927008e-8,1.4736393849022957e-11,3.4395191421469566e-7,8.979126878452896e-9,0.00010168600250290704
-1.2269423760309204,2.9965209689783,5.114988190162455e-10,3.453831608273102e-8,1.70467289773429e-11,4.3305392435993773e-7,9.07264877490458e-9,0.00010669245658403256
-1.2213725009126464,2.9958944371324923,5.130388680564295e-10,3.753748122780914e-8,1.9235025796092677e-11,5.245275654822339e-7,9.153631653117112e-9,0.00011102447368427427
-1.2167309383140847,2.995354193602379,5.145233568429756e-10,4.023690876439875e-8,2.1262565285391018e-11,6.152031967226987e-7,9.2232442090569e-9,0.0001147471990523378
-1.21286296948195,2.9948910397663973,5.159186795017577e-10,4.263657454792992e-8,2.3107299363614137e-11,7.025073406889418e-7,9.28272331026336e-9,0.0001179284684280191
