Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,3.0116710662501744,2.078639630596354e-20,2.9462164621438997e-15,8.349559167125157e-14,3.8465601621454305e-12,9.893798299531415e-11,2.476821918877022e-10
-1.4932890167170314,3.0116710628092416,2.6372492294805202e-20,3.2440674586906948e-15,8.45186803443881e-14,5.497766748815771e-12,1.1175814372561549e-10,2.778310796079411e-10
-1.4865780334340628,3.011671058932119,3.3970867246381e-20,3.65043972433486e-15,8.595952475982633e-14,7.709509512054905e-12,1.2536792795846307e-10,3.113472322812606e-10
-1.4731560668681258,3.0116710496455563,6.294265373005336e-20,4.710718994189923e-15,8.877833793306569e-14,1.321495526741017e-11,1.5696118758494745e-10,3.907755572991959e-10
-1.4597341003021886,3.0116710378723193,2.291826632140923e-19,5.543379646698497e-15,8.713339054359485e-14,1.0606560467246211e-11,1.988288909115575e-10,4.98120693631284e-10
-1.4447654443146336,3.0116710210052164,2.4376979910035498e-18,6.848450876210624e-15,8.364063132189741e-14,3.3638711192757613e-12,2.5743989533279745e-10,6.52529543379466e-10
-1.4322915643250045,3.011671003141611,1.674316155265659e-17,9.223283614536486e-15,8.186787297579609e-14,2.211429083270117e-12,3.153028164383226e-10,8.082858344362069e-10
-1.4218966643336468,3.0116709849753502,7.000313657667216e-17,1.2297635536833427e-14,7.971779927947536e-14,2.8430620271840648e-12,3.7188172908342873e-10,9.630064805173217e-10
-1.4132342476741822,3.011670967112358,2.0393165507470721e-16,1.5734200471157432e-14,7.693719389339513e-14,4.345053079843461e-12,4.2564243483940757e-10,1.1126747963904348e-9
-1.4060155671246282,3.0116709500309593,4.622724857121502e-16,1.9256161517571594e-14,7.37427554679514e-14,6.5346542450782574e-12,4.752713216420643e-10,1.2534886257490577e-9
-1.4,3.0116709340707595,8.727697166558078e-16,2.263837413627873e-14,7.043818058477234e-14,9.288105706969032e-12,5.2013679842602e-10,1.3831643597691856e-9
-1.3939844328753717,3.011670916361395,1.5860623785572702e-15,2.6390616915616355e-14,6.656285468818807e-14,1.3203840235326408e-11,5.68263198438481e-10,1.5249559490289409e-9
-1.3879688657507434,3.0116708967150916,2.7840483995400975e-15,3.044936774507663e-14,6.216939537196001e-14,1.86837341002288e-11,6.196792771593195e-10,1.6797240578584025e-9
