Voltage,K⁺,H⁺,HCO₃⁻,CO₃²⁻,CO₂,OH⁻,CO
-1.5,3.009883606569651,4.997248965099757e-10,4.883004496619621e-10,2.7335784723437315e-14,2.5091643976501918e-11,6.915978883623813e-9,1.2415845030911128e-5
-1.4932890167170314,3.009780572865237,4.995892353424457e-10,5.460995840742152e-10,3.225532549482052e-14,3.200019749033047e-11,6.946377046909347e-9,1.3131754874481203e-5
-1.4865780334340628,3.009671937841258,4.994553962684249e-10,6.105433105819719e-10,3.805650446489155e-14,4.079991803882285e-11,6.977135784008416e-9,1.3886583938502264e-5
-1.4731560668681258,3.009436718011502,4.991941301129692e-10,7.624001715010306e-10,5.294860013821383e-14,6.62706083474852e-11,7.039805406349254e-9,1.5520959165237172e-5
-1.4597341003021886,3.0091755220982193,4.989425480766687e-10,9.50784085559948e-10,7.359338049939188e-14,1.0752569827704908e-10,7.104141257534268e-9,1.7335814311130336e-5
-1.4447654443146336,3.0088503338287733,4.986745461638402e-10,1.214386643679574e-9,1.0607865387377095e-13,1.8423318652762903e-10,7.178073618439001e-9,1.9595282394913587e-5
-1.4322915643250045,3.008549242296675,4.984620243090874e-10,1.4872094959814177e-9,1.4365598224774054e-13,2.8826805046174967e-10,7.2416407704715e-9,2.1687290274265546e-5
-1.4218966643336468,3.008275473140886,4.982928946974684e-10,1.7592833154509205e-9,1.8475300546753514e-13,4.18317164713181e-10,7.296119952359115e-9,2.3589424419921914e-5
-1.4132342476741822,3.0080302384680544,4.981578487101001e-10,2.0224238779671847e-9,2.276652910616907e-13,5.702218477790033e-10,7.342663152478588e-9,2.52932658432966e-5
-1.4060155671246282,3.0078132555865067,4.980496960829323e-10,2.270562554626277e-9,2.707895339929821e-13,7.379144183875852e-10,7.3823068006889485e-9,2.6800784561709013e-5
-1.4,3.0076232155813725,4.979628425189438e-10,2.4997043197627817e-9,3.12774446456251e-13,9.145367794188443e-10,7.415979038035422e-9,2.8121082409000838e-5
