BoundaryLayerThickness,Voltage,Value
1.0e8,-0.0020000000000000018,1.612722790472041e-15
1.0e8,-0.0044000000000000705,-2.1877003834666902e-16
1.0e8,-0.007280000000000064,3.9547367941157215e-15
1.0e8,-0.010735999999999968,3.87159973524651e-15
1.0e8,-0.014883199999999874,4.7190058091809716e-15
1.0e8,-0.019859840000000184,-1.2948258127303515e-15
1.0e8,-0.025831808000000178,6.168231654391527e-16
1.0e8,-0.03299816960000013,-2.7486172362627164e-15
1.0e8,-0.041597803519999865,-1.2655388432306091e-15
1.0e8,-0.05191736422399984,-4.200437294160601e-15
1.0e8,-0.06430083706880008,-5.285159297068171e-15
1.0e8,-0.07916100448255992,2.4595534225199614e-16
1.0e8,-0.09699320537907208,2.845985471769156e-16
1.0e8,-0.1169932053790721,-3.561215586064884e-15
1.0e8,-0.136993205379072,-4.807153896040727e-15
1.0e8,-0.1569932053790719,9.79629635995265e-16
1.0e8,-0.17699320537907182,1.6816853041364651e-15
1.0e8,-0.19699320537907217,4.488168101345673e-15
1.0e8,-0.21699320537907196,5.875118121190619e-15
1.0e8,-0.23699320537907198,5.713547150238906e-15
1.0e8,-0.256993205379072,4.157126885895462e-15
1.0e8,-0.2769932053790718,-1.2732709137988568e-14
1.0e8,-0.29699320537907203,-3.672889445858255e-14
1.0e8,-0.31699320537907205,-1.3066069455647272e-13
1.0e8,-0.33699320537907207,-4.574912739725234e-13
1.0e8,-0.3569932053790723,-1.5632725499375684e-12
1.0e8,-0.3769932053790721,-5.3348691631449264e-12
1.0e8,-0.3969932053790721,-1.823471496374981e-11
1.0e8,-0.4169932053790717,-6.237771331503598e-11
1.0e8,-0.43699320537907194,-2.1359843809275562e-10
1.0e8,-0.4569932053790724,-7.321929098131598e-10
1.0e8,-0.47699320537907264,-2.5121876463012332e-9
1.0e8,-0.4969932053790722,-8.626148658489273e-9
1.0e8,-0.5169932053790725,-2.9637304530192637e-8
1.0e8,-0.536993205379072,-1.0185433990945947e-7
1.0e8,-0.5569932053790723,-3.499378916432776e-7
1.0e8,-0.5769932053790725,-1.2005769727665486e-6
1.0e8,-0.5969932053790721,-4.1040327360382945e-6
1.0e8,-0.6169932053790725,-1.3915953092756283e-5
1.0e8,-0.6369932053790721,-4.639495784430698e-5
1.0e8,-0.6569932053790724,-0.00014960106597855944
1.0e8,-0.6769932053790726,-0.00045396833381882546
1.0e8,-0.6969932053790728,-0.0012508732647971126
1.0e8,-0.7169932053790724,-0.003041800918943547
1.0e8,-0.736993205379072,-0.006521657480567722
1.0e8,-0.7569932053790722,-0.012657555159220511
1.0e8,-0.7769932053790727,-0.023013296427082344
1.0e8,-0.7969932053790729,-0.04027242549302573
1.0e8,-0.8169932053790725,-0.06898091375605125
1.0e8,-0.8369932053790721,-0.11670139347452586
1.0e8,-0.8569932053790723,-0.1959069290538369
1.0e8,-0.8769932053790725,-0.327094763010616
1.0e8,-0.8969932053790721,-0.5434344127535776
1.0e8,-0.9169932053790717,-0.8963769630392172
1.0e8,-0.9369932053790719,-1.4599255393017507
1.0e8,-0.9569932053790724,-2.3274775150766565
1.0e8,-0.976993205379072,-3.5895869530501727
1.0e8,-0.9969932053790715,-5.280436121746075
1.0e8,-1.0169932053790718,-7.2979390675024
1.0e8,-1.036993205379072,-9.341553759765203
1.0e8,-1.0569932053790716,-10.951567019022711
1.0e8,-1.0769932053790712,-11.719576414000862
1.0e8,-1.0969932053790714,-11.584349206987255
1.0e8,-1.1169932053790717,-10.895079843785451
1.0e8,-1.1369932053790712,-10.098687302112392
1.0e8,-1.1569932053790708,-9.441637788144886
1.0e8,-1.1769932053790713,-8.970285477166945
1.0e8,-1.1969932053790715,-8.650295639006004
1.0e8,-1.183006794620929,-8.234471058189154
1.0e8,-1.1630067946209295,-7.898587952623302
1.0e8,-1.143006794620929,-7.556083366159169
1.0e8,-1.1230067946209288,-7.1303285734753405
1.0e8,-1.1030067946209292,-6.572613226163728
1.0e8,-1.0830067946209296,-5.862062947707955
1.0e8,-1.0630067946209294,-5.017318584407491
1.0e8,-1.0430067946209292,-4.097151561351118
1.0e8,-1.0230067946209296,-3.182954648073629
1.0e8,-1.00300679462093,-2.3515332450108724
1.0e8,-0.9830067946209297,-1.653736827389545
1.0e8,-0.9630067946209294,-1.1080462288917872
1.0e8,-0.9430067946209297,-0.7070060466281228
1.0e8,-0.9230067946209302,-0.42858375489963135
1.0e8,-0.9030067946209299,-0.24592172021926398
1.0e8,-0.8830067946209297,-0.13315477589194155
1.0e8,-0.8630067946209301,-0.06804728005477623
1.0e8,-0.8430067946209305,-0.03301769957127605
1.0e8,-0.8230067946209303,-0.015403820503296485
1.0e8,-0.8030067946209299,-0.00704049076900626
1.0e8,-0.7830067946209304,-0.0032331597799797815
1.0e8,-0.7630067946209308,-0.001547173567563391
1.0e8,-0.7430067946209304,-0.0008238346172753813
1.0e8,-0.7230067946209302,-0.0005700925198674618
1.0e8,-0.7030067946209306,-0.0006234504150222042
1.0e8,-0.6830067946209311,-0.00042195789842055896
1.0e8,-0.6630067946209308,-0.00016009526492655185
1.0e8,-0.6430067946209305,-5.251210008853396e-5
1.0e8,-0.6230067946209309,-1.6414711408271115e-5
1.0e8,-0.6030067946209313,-5.002926616278861e-6
1.0e8,-0.5830067946209311,-1.4990161483731196e-6
1.0e8,-0.5630067946209307,-4.403429372847537e-7
1.0e8,-0.5430067946209312,-1.23018451096748e-7
1.0e8,-0.5230067946209316,-2.780467335588098e-8
1.0e8,-0.5030067946209313,1.4298297953798606e-9
1.0e8,-0.4830067946209311,1.126642914157214e-8
