BoundaryLayerThickness,Voltage,Value
1.0e8,-0.0020000000000000018,1.612722790472041e-15
1.0e8,-0.0044000000000000705,-6.835728180393427e-17
1.0e8,-0.007280000000000064,-1.5179189820326737e-15
1.0e8,-0.010735999999999968,-3.8919845580554632e-16
1.0e8,-0.014883199999999874,-5.121072678186265e-15
1.0e8,-0.019859840000000184,3.101790888185447e-15
1.0e8,-0.025831808000000178,3.976847051173355e-15
1.0e8,-0.03299816960000013,-3.1014341555064554e-15
1.0e8,-0.041597803519999865,2.21940296856856e-15
1.0e8,-0.05191736422399984,3.639128509750967e-16
1.0e8,-0.06430083706880008,-5.1476836943902636e-15
1.0e8,-0.07916100448255992,9.709660040379818e-16
1.0e8,-0.09699320537907208,3.235065974382437e-15
1.0e8,-0.1169932053790721,5.759198925624203e-15
1.0e8,-0.136993205379072,-1.5084280373616881e-15
1.0e8,-0.1569932053790719,1.3286562143529519e-15
1.0e8,-0.17699320537907182,-5.0832134540382604e-15
1.0e8,-0.19699320537907217,1.8936089063654234e-15
1.0e8,-0.21699320537907196,-6.17075127693858e-16
1.0e8,-0.23699320537907198,-4.115204269959253e-16
1.0e8,-0.256993205379072,-6.483030969488967e-16
1.0e8,-0.2769932053790718,-3.338284079779952e-15
1.0e8,-0.29699320537907203,-4.1347892407481275e-14
1.0e8,-0.31699320537907205,-1.408797826231045e-13
1.0e8,-0.33699320537907207,-4.607729422687999e-13
1.0e8,-0.3569932053790723,-1.5653545402565751e-12
1.0e8,-0.3769932053790721,-5.340006669888301e-12
1.0e8,-0.3969932053790721,-1.8242275963227743e-11
1.0e8,-0.4169932053790717,-6.239874604568553e-11
1.0e8,-0.43699320537907194,-2.136765542024009e-10
1.0e8,-0.4569932053790724,-7.324548945018184e-10
1.0e8,-0.47699320537907264,-2.5131248425661167e-9
1.0e8,-0.4969932053790722,-8.629486344073877e-9
1.0e8,-0.5169932053790725,-2.96491118023645e-8
1.0e8,-0.536993205379072,-1.0189607518397358e-7
1.0e8,-0.5569932053790723,-3.500850951909148e-7
1.0e8,-0.5769932053790725,-1.201094311574796e-6
1.0e8,-0.5969932053790721,-4.105837957097701e-6
1.0e8,-0.6169932053790725,-1.3922163945525261e-5
1.0e8,-0.6369932053790721,-4.641573818433027e-5
1.0e8,-0.6569932053790724,-0.00014966698882520728
1.0e8,-0.6769932053790726,-0.0004541588132144025
1.0e8,-0.6969932053790728,-0.0012513519751680062
1.0e8,-0.7169932053790724,-0.0030428255165245274
1.0e8,-0.736993205379072,-0.006523581865047642
1.0e8,-0.7569932053790722,-0.01266091935210975
1.0e8,-0.7769932053790727,-0.023019027060634925
1.0e8,-0.7969932053790729,-0.04028213070401403
1.0e8,-0.8169932053790725,-0.06899733174049867
1.0e8,-0.8369932053790721,-0.1167291243171438
1.0e8,-0.8569932053790723,-0.19595366301406786
1.0e8,-0.8769932053790725,-0.3271732814379876
1.0e8,-0.8969932053790721,-0.5435654143367659
1.0e8,-0.9169932053790717,-0.8965921702433021
1.0e8,-0.9369932053790719,-1.460269257752572
1.0e8,-0.9569932053790724,-2.3280020856667263
1.0e8,-0.976993205379072,-3.590334690005214
1.0e8,-0.9969932053790715,-5.281402909804406
1.0e8,-1.0169932053790718,-7.2990296864734425
1.0e8,-1.036993205379072,-9.342563663249615
1.0e8,-1.0569932053790716,-10.952240775229862
1.0e8,-1.0769932053790712,-11.719758703695927
1.0e8,-1.0969932053790714,-11.584117370625847
1.0e8,-1.1169932053790717,-10.894673451877779
1.0e8,-1.1369932053790712,-10.098302376524382
1.0e8,-1.1569932053790708,-9.441344780395495
1.0e8,-1.1769932053790713,-8.970081080683444
1.0e8,-1.1969932053790715,-8.650157440734814
1.0e8,-1.183006794620929,-8.234440845600423
1.0e8,-1.1630067946209295,-7.898642800466708
1.0e8,-1.143006794620929,-7.5562191517883655
1.0e8,-1.1230067946209288,-7.1305519003739395
1.0e8,-1.1030067946209292,-6.572926930341201
1.0e8,-1.0830067946209296,-5.86245539830067
1.0e8,-1.0630067946209294,-5.017759383490604
1.0e8,-1.0430067946209292,-4.097597708683166
1.0e8,-1.0230067946209296,-3.183364032844219
1.0e8,-1.00300679462093,-2.3518768796197995
1.0e8,-0.9830067946209297,-1.6540034511526909
1.0e8,-0.9630067946209294,-1.1082393220091509
1.0e8,-0.9430067946209297,-0.7071374610689992
1.0e8,-0.9230067946209302,-0.4286679658381914
1.0e8,-0.9030067946209299,-0.24597235139300688
1.0e8,-0.8830067946209297,-0.13318312931473383
1.0e8,-0.8630067946209301,-0.06806196206713518
1.0e8,-0.8430067946209305,-0.033024709210171276
1.0e8,-0.8230067946209303,-0.015406913970182463
1.0e8,-0.8030067946209299,-0.007041756460234173
1.0e8,-0.7830067946209304,-0.0032336332636458453
1.0e8,-0.7630067946209308,-0.0015473186204834882
1.0e8,-0.7430067946209304,-0.0008238351249626028
1.0e8,-0.7230067946209302,-0.0005699803371145099
1.0e8,-0.7030067946209306,-0.000622519788656394
1.0e8,-0.6830067946209311,-0.0004218532094959977
1.0e8,-0.6630067946209308,-0.00016012387936493062
1.0e8,-0.6430067946209305,-5.252352459984496e-5
1.0e8,-0.6230067946209309,-1.6418063955518694e-5
1.0e8,-0.6030067946209313,-5.003848824941898e-6
1.0e8,-0.5830067946209311,-1.49926188706384e-6
1.0e8,-0.5630067946209307,-4.4040667619975697e-7
1.0e8,-0.5430067946209312,-1.2303427607738073e-7
1.0e8,-0.5230067946209316,-2.7808044007620207e-8
1.0e8,-0.5030067946209313,1.429712895437307e-9
1.0e8,-0.4830067946209311,1.1267255079534087e-8
1.0e8,-0.4630067946209315,1.554888320958261e-8
1.0e8,-0.44300679462093195,1.8394586113094308e-8
1.0e8,-0.4230067946209316,2.105127105360431e-8
1.0e8,-0.40300679462093136,2.3923494895046918e-8
1.0e8,-0.3830067946209318,2.71744767064118e-8
1.0e8,-0.3630067946209322,3.0904579523698587e-8
1.0e8,-0.34300679462093187,3.520552126504176e-8
1.0e8,-0.3230067946209316,4.0178516867776675e-8
1.0e8,-0.30300679462093205,4.5942056780052685e-8
1.0e8,-0.2830067946209325,5.263751712995098e-8
1.0e8,-0.26300679462093224,6.043468488135164e-8
1.0e8,-0.2430067946209319,6.953848602488734e-8
1.0e8,-0.2230067946209323,8.019704362237907e-8
1.0e8,-0.20300679462093274,9.271196644735198e-8
1.0e8,-0.1830067946209324,1.0745108520447757e-7
1.0e8,-0.16300679462093215,1.248646019015884e-7
