BoundaryLayerThickness,Voltage,Value
1000.0,-0.0020000000000000018,-2.1190088608111042e-14
1000.0,-0.0044000000000000705,3.867145165885983e-15
1000.0,-0.007280000000000064,5.760291308190891e-15
1000.0,-0.010735999999999968,-4.534732629565291e-15
1000.0,-0.014883199999999874,-9.750546178967591e-15
1000.0,-0.019859840000000184,-1.888726585553133e-14
1000.0,-0.025831808000000178,3.3846393741015464e-15
1000.0,-0.03299816960000013,-1.1480236541300728e-14
1000.0,-0.041597803519999865,-5.200241394474516e-15
1000.0,-0.05191736422399984,-6.941312481532691e-16
1000.0,-0.06430083706880008,-1.9028647143116556e-15
1000.0,-0.07916100448255992,2.22683842889712e-14
1000.0,-0.09699320537907208,1.3663459378231122e-14
1000.0,-0.1169932053790721,2.543192966592177e-15
1000.0,-0.136993205379072,2.1794820746774944e-15
1000.0,-0.1569932053790719,-1.864670883437418e-15
1000.0,-0.17699320537907182,-5.867550187152137e-15
1000.0,-0.19699320537907217,1.4206399775744222e-14
1000.0,-0.21699320537907196,5.766829585960267e-15
1000.0,-0.23699320537907198,-1.6095558357294917e-14
1000.0,-0.256993205379072,4.386903913809548e-16
1000.0,-0.2769932053790718,3.954032602396917e-16
1000.0,-0.29699320537907203,-3.364840585962805e-14
1000.0,-0.31699320537907205,-1.3738685352831995e-13
1000.0,-0.33699320537907207,-4.421601095009554e-13
1000.0,-0.3569932053790723,-1.5658497221012036e-12
1000.0,-0.3769932053790721,-5.336766633771485e-12
1000.0,-0.3969932053790721,-1.821875967087144e-11
1000.0,-0.4169932053790717,-6.234043172245902e-11
1000.0,-0.43699320537907194,-2.1350537650456044e-10
1000.0,-0.4569932053790724,-7.317947048515379e-10
1000.0,-0.47699320537907264,-2.5107392443028354e-9
1000.0,-0.4969932053790722,-8.621184481196051e-9
1000.0,-0.5169932053790725,-2.962007457849584e-8
1000.0,-0.536993205379072,-1.0179447007879548e-7
1000.0,-0.5569932053790723,-3.4972993281024336e-7
1000.0,-0.5769932053790725,-1.1998562018723575e-6
1000.0,-0.5969932053790721,-4.101545053597755e-6
1000.0,-0.6169932053790725,-1.3907428584898888e-5
1000.0,-0.6369932053790721,-4.636599036661166e-5
1000.0,-0.6569932053790724,-0.00014950258682596302
1000.0,-0.6769932053790726,-0.00045362401019850634
1000.0,-0.6969932053790728,-0.0012496149870632025
1000.0,-0.7169932053790724,-0.003037251334694895
1000.0,-0.736993205379072,-0.006506492142462042
1000.0,-0.7569932053790722,-0.012611134295681932
1000.0,-0.7769932053790727,-0.02287841508204911
1000.0,-0.7969932053790729,-0.03989061932382855
1000.0,-0.8169932053790725,-0.067916378364462
1000.0,-0.8369932053790721,-0.11377169861745894
1000.0,-0.8569932053790723,-0.18796139772639978
1000.0,-0.8769932053790725,-0.3059546439816918
1000.0,-0.8969932053790721,-0.4888123228393202
1000.0,-0.9169932053790717,-0.7615464852528604
1000.0,-0.9369932053790719,-1.1480315512415162
1000.0,-0.9569932053790724,-1.663691966916538
1000.0,-0.976993205379072,-2.3097925558969776
1000.0,-0.9969932053790715,-3.0725739513646877
1000.0,-1.0169932053790718,-3.926627824858686
1000.0,-1.036993205379072,-4.8392333055115815
1000.0,-1.0569932053790716,-5.7729831869301815
1000.0,-1.0769932053790712,-6.685773643498698
1000.0,-1.0969932053790714,-7.528114784759499
1000.0,-1.1169932053790717,-8.2376725923544
1000.0,-1.1369932053790712,-8.731035462171105
1000.0,-1.1569932053790708,-8.896296302485228
1000.0,-1.1769932053790713,-8.609767127514791
1000.0,-1.1969932053790715,-7.846254386068073
1000.0,-1.183006794620929,-6.32204206050176
1000.0,-1.1630067946209295,-5.246924767760746
1000.0,-1.143006794620929,-4.4431242932608
1000.0,-1.1230067946209288,-3.7669415741117405
1000.0,-1.1030067946209292,-3.162450600192078
1000.0,-1.0830067946209296,-2.606889268852877
1000.0,-1.0630067946209294,-2.0947554948787768
1000.0,-1.0430067946209292,-1.6302450999216884
