BoundaryLayerThickness,Voltage,Value
80.0,-0.0012000000000000899,-4.0622703926916356e-19
80.0,-0.0025199999999998557,-1.6033023944663666e-19
80.0,-0.003972000000000309,-2.82703343030829e-19
80.0,-0.005569200000000052,-2.6888527083619436e-20
80.0,-0.0073261199999997695,2.6771592381406544e-19
80.0,-0.009258731999999936,-2.1499142810467495e-19
80.0,-0.011384605199999953,2.4286395059954224e-19
80.0,-0.013723065720000038,2.565297957812982e-19
80.0,-0.016295372292000065,1.3084977346013438e-19
80.0,-0.01912490952120005,-6.111132729141204e-19
80.0,-0.022237400473320124,3.598501664335938e-19
80.0,-0.025661140520652048,-8.879803540527907e-20
80.0,-0.02942725457271711,2.242348349990844e-19
80.0,-0.0335699800299889,-2.9908065576598017e-19
80.0,-0.038126978032988035,-1.3222852396117924e-19
80.0,-0.04313967583628653,2.423437604511332e-19
80.0,-0.04865364341991518,5.2762308899389536e-20
80.0,-0.05471900776190708,-2.36096637851215e-19
80.0,-0.06139090853809748,2.250026680520445e-19
80.0,-0.06872999939190727,-4.140726977313209e-20
80.0,-0.07680299933109824,-2.35786916770812e-19
80.0,-0.08568329926420759,-6.611790020619741e-20
80.0,-0.09545162919062877,-1.8577623291081509e-19
80.0,-0.10619679210969157,-5.143470210786153e-19
80.0,-0.11801647132066084,-8.437276265095276e-19
80.0,-0.13001647132066052,-2.1361880778543875e-18
80.0,-0.14201647132066064,-3.792722188437056e-18
80.0,-0.15401647132066076,-8.223307178386392e-18
80.0,-0.16601647132066044,-1.6423467485940867e-17
80.0,-0.17801647132066056,-3.495683523327937e-17
80.0,-0.19001647132066068,-7.140907857098496e-17
80.0,-0.2020164713206607,-1.4793059632525044e-16
80.0,-0.21401647132066093,-3.061423256952567e-16
80.0,-0.22601647132066072,-6.343141910031538e-16
80.0,-0.23801647132066073,-1.3156224800065245e-15
80.0,-0.25001647132066074,-2.7300108609880185e-15
80.0,-0.2620164713206605,-5.670224019920843e-15
80.0,-0.27401647132066076,-1.1784310804768749e-14
80.0,-0.28601647132066077,-2.4508631834850743e-14
80.0,-0.2980164713206608,-5.100590108719577e-14
80.0,-0.310016471320661,-1.0621668626870261e-13
80.0,-0.3220164713206608,-2.2132304772394386e-13
80.0,-0.3340164713206608,-4.614381809844116e-13
80.0,-0.3460164713206608,-9.625893628669799e-13
80.0,-0.3580164713206606,-2.0090905613761376e-12
80.0,-0.37001647132066084,-4.195453255574249e-12
80.0,-0.38201647132066086,-8.765354468010405e-12
80.0,-0.39401647132066087,-1.8321532700996168e-11
80.0,-0.4060164713206611,-3.8313026999858336e-11
80.0,-0.4180164713206609,-8.015197489543853e-11
80.0,-0.43001647132066134,-1.6774741011330382e-10
80.0,-0.44201647132066113,-3.5120594180767825e-10
80.0,-0.4540164713206607,-7.355675496614375e-10
80.0,-0.46601647132066115,-1.5410881577187146e-9
80.0,-0.47801647132066094,-3.229720458603579e-9
80.0,-0.49001647132066073,-6.770507099118685e-9
80.0,-0.5020164713206612,-1.4196433872795277e-8
80.0,-0.514016471320661,-2.9772608269944773e-8
80.0,-0.5260164713206608,-6.244584497249869e-8
80.0,-0.5380164713206612,-1.309772331473229e-7
80.0,-0.5500164713206608,-2.74681934187293e-7
80.0,-0.5620164713206606,-5.758529564929252e-7
80.0,-0.574016471320661,-1.2064168212873559e-6
80.0,-0.5860164713206615,-2.5244731620104846e-6
80.0,-0.5980164713206613,-5.272336035575203e-6
80.0,-0.6100164713206611,-1.0977363521493528e-5
80.0,-0.6220164713206615,-2.2746433900049586e-5
80.0,-0.6340164713206613,-4.6790417155164644e-5
80.0,-0.6460164713206609,-9.520601754848585e-5
80.0,-0.6580164713206613,-0.00019067055651412923
80.0,-0.6700164713206611,-0.00037344808158617826
80.0,-0.6820164713206609,-0.0007099356431926162
80.0,-0.6940164713206614,-0.0012998149675758092
80.0,-0.7060164713206611,-0.002277591709389129
80.0,-0.7180164713206609,-0.0038077176735200873
80.0,-0.7300164713206614,-0.006080781323298701
80.0,-0.742016471320661,-0.009322833991224315
80.0,-0.7540164713206607,-0.013823570882310905
80.0,-0.7660164713206612,-0.01997936920179519
80.0,-0.7780164713206617,-0.028345719048687858
80.0,-0.7900164713206614,-0.03969959513398413
80.0,-0.8020164713206612,-0.05511832345604059
80.0,-0.814016471320661,-0.07608452311882423
80.0,-0.8260164713206606,-0.10462821585243705
80.0,-0.838016471320661,-0.1435188732562749
80.0,-0.8500164713206608,-0.1965223950415357
80.0,-0.8620164713206606,-0.26874013816497716
80.0,-0.8740164713206611,-0.3670476474380525
80.0,-0.8860164713206609,-0.5006469058579118
80.0,-0.8980164713206606,-0.6817328037871175
80.0,-0.9100164713206602,-0.9262438524503053
80.0,-0.92201647132066,-1.2546063129885578
80.0,-0.9340164713206605,-1.692273418062288
80.0,-0.9460164713206602,-2.2696920926986546
80.0,-0.95801647132066,-3.0210997629843197
80.0,-0.9700164713206605,-3.9813114190835246
80.0,-0.9820164713206603,-5.179540276086963
80.0,-0.9940164713206598,-6.629566013271097
80.0,-1.0060164713206596,-8.316579558033109
80.0,-1.0180164713206594,-10.183093417445843
80.0,-1.0300164713206599,-12.11934139853038
80.0,-1.0420164713206597,-13.96662209417637
80.0,-1.0540164713206595,-15.542380947433637
80.0,-1.06601647132066,-16.688873639571806
80.0,-1.0780164713206595,-17.33019477811723
80.0,-1.0900164713206593,-17.50438749493436
80.0,-1.102016471320659,-17.34258363384611
80.0,-1.1140164713206588,-17.005790150325918
80.0,-1.1260164713206593,-16.624519178190212
80.0,-1.138016471320659,-16.274799309931737
80.0,-1.1500164713206587,-15.986566743023463
80.0,-1.162016471320659,-15.762788000315695
80.0,-1.174016471320659,-15.594884791058792
80.0,-1.1860164713206587,-15.47134714773032
80.0,-1.1980164713206585,-15.38145397627306
80.0,-1.1899835286793419,-15.114021148497361
80.0,-1.1779835286793414,-14.905779115747457
80.0,-1.1659835286793416,-14.719476732243331
80.0,-1.1539835286793418,-14.510449225239785
80.0,-1.1419835286793414,-14.254320506540223
80.0,-1.1299835286793416,-13.930381797314851
80.0,-1.117983528679342,-13.519339357960426
80.0,-1.1059835286793422,-13.0039453639264
80.0,-1.0939835286793425,-12.371166312987938
80.0,-1.081983528679342,-11.6152321067653
80.0,-1.0699835286793422,-10.740677902542824
80.0,-1.0579835286793424,-9.764236709821844
80.0,-1.045983528679342,-8.714552700969426
80.0,-1.0339835286793422,-7.629296089928966
80.0,-1.0219835286793426,-6.550169694603733
80.0,-1.0099835286793428,-5.517076738053497
80.0,-0.997983528679343,-4.562986359232155
80.0,-0.9859835286793426,-3.7106857856766666
80.0,-0.9739835286793429,-2.9718647115058765
80.0,-0.9619835286793431,-2.34821871738194
80.0,-0.9499835286793427,-1.8337953301121233
80.0,-0.937983528679343,-1.4177327141511193
80.0,-0.9259835286793432,-1.086750131500744
80.0,-0.9139835286793434,-0.8270570066554402
80.0,-0.9019835286793436,-0.6256098894654802
80.0,-0.8899835286793432,-0.4708048566991724
80.0,-0.8779835286793435,-0.35275408027739635
80.0,-0.8659835286793438,-0.2632940597450657
80.0,-0.8539835286793434,-0.19584338580499833
80.0,-0.8419835286793436,-0.14519225896184093
80.0,-0.8299835286793438,-0.10727518282695281
80.0,-0.817983528679344,-0.07895557413820492
80.0,-0.8059835286793443,-0.05783602521571764
80.0,-0.7939835286793439,-0.042098856927464505
80.0,-0.7819835286793434,-0.03037653503985982
80.0,-0.7699835286793437,-0.02164891932769279
80.0,-0.7579835286793439,-0.01516296684988992
80.0,-0.7459835286793435,-0.010369605074264003
80.0,-0.733983528679343,-0.006871903805487883
80.0,-0.7219835286793432,-0.004379504256505305
80.0,-0.7099835286793434,-0.0026682765505846866
80.0,-0.6979835286793431,-0.0015502725120806271
80.0,-0.6859835286793426,-0.0008604572319796698
80.0,-0.6739835286793429,-0.00045874605392846993
80.0,-0.6619835286793431,-0.00023670424348195383
80.0,-0.6499835286793426,-0.00011912995752463951
80.0,-0.6379835286793422,-5.888524729360541e-5
80.0,-0.6259835286793425,-2.874311910305582e-5
80.0,-0.6139835286793427,-1.3910870627176771e-5
80.0,-0.6019835286793422,-6.694154055884782e-6
80.0,-0.5899835286793418,-3.209066130846393e-6
80.0,-0.577983528679342,-1.53429498380116e-6
80.0,-0.5659835286793423,-7.320206618975456e-7
80.0,-0.5539835286793419,-3.4847135908827047e-7
80.0,-0.5419835286793414,-1.6532981592730393e-7
80.0,-0.5299835286793416,-7.794266101254018e-8
80.0,-0.5179835286793419,-3.6258954847200745e-8
80.0,-0.5059835286793415,-1.637611463909518e-8
80.0,-0.49398352867934103,-6.8890081938345926e-9
80.0,-0.48198352867934124,-2.358331406176445e-9
