BoundaryLayerThickness,Voltage,Value
80.0,-0.0012000000000000899,4.624874640337003e-19
80.0,-0.0025199999999998557,5.489911339008718e-19
80.0,-0.003972000000000309,5.966472007710637e-19
80.0,-0.005569200000000052,-2.7266573736482886e-19
80.0,-0.0073261199999997695,-4.197361515184596e-20
80.0,-0.009258731999999936,-8.89889889702341e-20
80.0,-0.011384605199999953,3.325990954961025e-19
80.0,-0.013723065720000038,-1.284257713978593e-19
80.0,-0.016295372292000065,1.3894277037281697e-19
80.0,-0.01912490952120005,-9.307185141541185e-19
80.0,-0.022237400473320124,6.045310377680509e-19
80.0,-0.025661140520652048,-2.960310006807736e-20
80.0,-0.02942725457271711,-3.6543860274878595e-20
80.0,-0.0335699800299889,2.503521800354604e-19
80.0,-0.038126978032988035,-4.0287643137949597e-19
80.0,-0.04313967583628653,1.631965218721295e-19
80.0,-0.04865364341991518,-9.319779186770666e-20
80.0,-0.05471900776190708,-1.2747413944954947e-19
80.0,-0.06139090853809748,1.3105223538726303e-19
80.0,-0.06872999939190727,-3.4757561525874393e-19
80.0,-0.07680299933109824,-3.050941403465321e-19
80.0,-0.08568329926420759,-9.00204792095001e-20
80.0,-0.09545162919062877,-2.8752677771550056e-19
80.0,-0.10619679210969157,-4.697823651632625e-19
80.0,-0.11801647132066084,-7.851811021336826e-19
80.0,-0.13001647132066052,-1.741842661394431e-18
80.0,-0.14201647132066064,-3.57999700954121e-18
80.0,-0.15401647132066076,-7.621845372097405e-18
80.0,-0.16601647132066044,-1.5282170125270335e-17
80.0,-0.17801647132066056,-3.157335851743635e-17
80.0,-0.19001647132066068,-6.477940484477872e-17
80.0,-0.2020164713206607,-1.3403721056190643e-16
80.0,-0.21401647132066093,-2.7737449988215723e-16
80.0,-0.22601647132066072,-5.746585434505085e-16
80.0,-0.23801647132066073,-1.1911675143520875e-15
80.0,-0.25001647132066074,-2.4715713429953544e-15
80.0,-0.2620164713206605,-5.132095992510041e-15
80.0,-0.27401647132066076,-1.0664460364929569e-14
80.0,-0.28601647132066077,-2.2175177319671787e-14
80.0,-0.2980164713206608,-4.614135048213938e-14
80.0,-0.310016471320661,-9.607081231293417e-14
80.0,-0.3220164713206608,-2.0015087760781874e-13
80.0,-0.3340164713206608,-4.1723431502280903e-13
80.0,-0.3460164713206608,-8.702552383692647e-13
80.0,-0.3580164713206606,-1.8161303681691527e-12
80.0,-0.37001647132066084,-3.792027937278559e-12
80.0,-0.38201647132066086,-7.92154630615107e-12
80.0,-0.39401647132066087,-1.655589933222699e-11
80.0,-0.4060164713206611,-3.461708638726979e-11
80.0,-0.4180164713206609,-7.24125435206942e-11
80.0,-0.43001647132066134,-1.515351176946103e-10
80.0,-0.44201647132066113,-3.1723384473210434e-10
80.0,-0.4540164713206607,-6.643587784063831e-10
80.0,-0.46601647132066115,-1.3917855597199153e-9
80.0,-0.47801647132066094,-2.9165998425651546e-9
80.0,-0.49001647132066073,-6.113679875184051e-9
80.0,-0.5020164713206612,-1.2818380953704496e-8
80.0,-0.514016471320661,-2.6881071982526793e-8
80.0,-0.5260164713206608,-5.63784729548951e-8
80.0,-0.5380164713206612,-1.1824732942493367e-7
80.0,-0.5500164713206608,-2.479815454934053e-7
80.0,-0.5620164713206606,-5.198835842813312e-7
80.0,-0.574016471320661,-1.0892162027330577e-6
80.0,-0.5860164713206615,-2.2794759574874584e-6
80.0,-0.5980164713206613,-4.7616000849986605e-6
80.0,-0.6100164713206611,-9.917229872913897e-6
80.0,-0.6220164713206615,-2.056044564905799e-5
80.0,-0.6340164713206613,-4.232780400134989e-5
80.0,-0.6460164713206609,-8.622952882553873e-5
80.0,-0.6580164713206613,-0.0001729939814123013
80.0,-0.6700164713206611,-0.0003396446430172759
80.0,-0.6820164713206609,-0.0006477200062746013
80.0,-0.6940164713206614,-0.001190506833244693
80.0,-0.7060164713206611,-0.002095183801408791
80.0,-0.7180164713206609,-0.003518518484383509
80.0,-0.7300164713206614,-0.005642576150608223
80.0,-0.742016471320661,-0.008682140623139658
80.0,-0.7540164713206607,-0.012910328566386273
80.0,-0.7660164713206612,-0.01869919143906216
80.0,-0.7780164713206617,-0.02656973716787674
80.0,-0.7900164713206614,-0.037251257344653635
80.0,-0.8020164713206612,-0.05175589338182118
80.0,-0.814016471320661,-0.07147756515691749
80.0,-0.8260164713206606,-0.09832592720985117
80.0,-0.838016471320661,-0.1349076357990182
80.0,-0.8500164713206608,-0.18476940665683148
80.0,-0.8620164713206606,-0.25271960279507494
80.0,-0.8740164713206611,-0.34524609660482225
80.0,-0.8860164713206609,-0.47104544322253433
80.0,-0.8980164713206606,-0.6416675688454845
80.0,-0.9100164713206602,-0.8722537047524391
80.0,-0.92201647132066,-1.1822914771599908
80.0,-0.9340164713206605,-1.596214086609865
80.0,-0.9460164713206602,-2.1435144561046293
80.0,-0.95801647132066,-2.8578267783737736
80.0,-0.9700164713206605,-3.7741834157264638
80.0,-0.9820164713206603,-4.923501986686691
80.0,-0.9940164713206598,-6.323530990845504
80.0,-1.0060164713206596,-7.966321231646248
80.0,-1.0180164713206594,-9.804112061098692
80.0,-1.0300164713206599,-11.738349931574215
80.0,-1.0420164713206597,-13.619661542527593
80.0,-1.0540164713206595,-15.267777046515665
80.0,-1.06601647132066,-16.515452514616367
80.0,-1.0780164713206595,-17.26559774078947
80.0,-1.0900164713206593,-17.531540344051063
80.0,-1.102016471320659,-17.42844048453267
80.0,-1.1140164713206588,-17.116395415431665
80.0,-1.1260164713206593,-16.735753480643396
80.0,-1.138016471320659,-16.37441141449133
80.0,-1.1500164713206587,-16.070821996742783
80.0,-1.162016471320659,-15.832369580111042
80.0,-1.174016471320659,-15.652122991597166
