BoundaryLayerThickness,Voltage,Value
80.0,-0.0012000000000000899,-3.410127433887128e-19
80.0,-0.0025199999999998557,-4.315448271430956e-19
80.0,-0.003972000000000309,-3.6022269637951057e-19
80.0,-0.005569200000000052,6.421586934838207e-19
80.0,-0.0073261199999997695,-6.08718072202682e-20
80.0,-0.009258731999999936,1.73136793586095e-19
80.0,-0.011384605199999953,2.034422690915946e-20
80.0,-0.013723065720000038,-3.7687146032402696e-21
80.0,-0.016295372292000065,-4.712662131939987e-19
80.0,-0.01912490952120005,2.7746466350042697e-19
80.0,-0.022237400473320124,-3.600875187920743e-20
80.0,-0.025661140520652048,2.7278082098656517e-19
80.0,-0.02942725457271711,-2.486125297322827e-19
80.0,-0.0335699800299889,1.4029789524146306e-19
80.0,-0.038126978032988035,-1.2589731115934686e-19
80.0,-0.04313967583628653,-4.575551261440153e-20
80.0,-0.04865364341991518,2.678648322780634e-19
80.0,-0.05471900776190708,-2.8658567987648195e-19
80.0,-0.06139090853809748,2.6698633018674047e-19
80.0,-0.06872999939190727,-7.803878236202625e-20
80.0,-0.07680299933109824,9.933174890625083e-20
80.0,-0.08568329926420759,-6.12655728344815e-20
80.0,-0.09545162919062877,7.071518644053639e-20
80.0,-0.10619679210969157,-1.5206406908410329e-19
80.0,-0.11801647132066084,-7.363091676662261e-19
80.0,-0.13001647132066052,-1.4342934494522956e-18
80.0,-0.14201647132066064,-2.995695617409725e-18
80.0,-0.15401647132066076,-6.5644318315683515e-18
80.0,-0.16601647132066044,-1.3163454565006606e-17
80.0,-0.17801647132066056,-2.6867300449996076e-17
80.0,-0.19001647132066068,-5.594621846742621e-17
80.0,-0.2020164713206607,-1.162517414129035e-16
80.0,-0.21401647132066093,-2.402664312827078e-16
80.0,-0.22601647132066072,-4.975986455538862e-16
80.0,-0.23801647132066073,-1.031578299350509e-15
80.0,-0.25001647132066074,-2.140255398286895e-15
80.0,-0.2620164713206605,-4.444477747433742e-15
80.0,-0.27401647132066076,-9.235814326432482e-15
80.0,-0.28601647132066077,-1.920528024109679e-14
80.0,-0.2980164713206608,-3.9962612735830763e-14
80.0,-0.310016471320661,-8.320676175304189e-14
80.0,-0.3220164713206608,-1.7335433485782755e-13
80.0,-0.3340164713206608,-3.6137905632790945e-13
80.0,-0.3460164713206608,-7.537662523654989e-13
80.0,-0.3580164713206606,-1.5730547702904221e-12
80.0,-0.37001647132066084,-3.284542336461851e-12
80.0,-0.38201647132066086,-6.861511328911693e-12
80.0,-0.39401647132066087,-1.4340652613756502e-11
80.0,-0.4060164713206611,-2.998560340823333e-11
80.0,-0.4180164713206609,-6.272520489262242e-11
80.0,-0.43001647132066134,-1.312645622822189e-10
80.0,-0.44201647132066113,-2.748018248142047e-10
80.0,-0.4540164713206607,-5.755045350303389e-10
80.0,-0.46601647132066115,-1.205659361814167e-9
80.0,-0.47801647132066094,-2.5265964430247933e-9
80.0,-0.49001647132066073,-5.29626107459324e-9
80.0,-0.5020164713206612,-1.1104757663522829e-8
80.0,-0.514016471320661,-2.3288111622796878e-8
80.0,-0.5260164713206608,-4.8844637030866647e-8
80.0,-0.5380164713206612,-1.0245126450592895e-7
80.0,-0.5500164713206608,-2.1487109390357728e-7
80.0,-0.5620164713206606,-4.5051929890748705e-7
80.0,-0.574016471320661,-9.440498646600014e-7
80.0,-0.5860164713206615,-1.97618614867544e-6
80.0,-0.5980164713206613,-4.129683181556033e-6
80.0,-0.6100164713206611,-8.606267091378647e-6
80.0,-0.6220164713206615,-1.7858785858517116e-5
80.0,-0.6340164713206613,-3.681606383803362e-5
80.0,-0.6460164713206609,-7.515201870550884e-5
80.0,-0.6580164713206613,-0.00015120646231111566
80.0,-0.6700164713206611,-0.0002980594601388047
80.0,-0.6820164713206609,-0.0005714224548254715
80.0,-0.6940164713206614,-0.0010571377710764294
80.0,-0.7060164713206611,-0.0018743358499220854
80.0,-0.7180164713206609,-0.0031720830909688653
80.0,-0.7300164713206614,-0.0051244648106298085
80.0,-0.742016471320661,-0.007935311640708565
80.0,-0.7540164713206607,-0.01186036883627644
80.0,-0.7660164713206612,-0.01724507135054934
80.0,-0.7780164713206617,-0.0245722097401411
80.0,-0.7900164713206614,-0.0345183022273506
80.0,-0.8020164713206612,-0.048023702349075645
80.0,-0.814016471320661,-0.0663850463601419
80.0,-0.8260164713206606,-0.09138029932196713
80.0,-0.838016471320661,-0.12543819878607984
80.0,-0.8500164713206608,-0.17186602162581233
80.0,-0.8620164713206606,-0.23515196134605063
80.0,-0.8740164713206611,-0.3213598754504273
80.0,-0.8860164713206609,-0.4386326101475369
80.0,-0.8980164713206606,-0.5978116603522796
80.0,-0.9100164713206602,-0.8131588815720447
80.0,-0.92201647132066,-1.1031196622469783
80.0,-0.9340164713206605,-1.4909814149490268
80.0,-0.9460164713206602,-2.0051399698629515
80.0,-0.95801647132066,-2.678481723908885
80.0,-0.9700164713206605,-3.546145653568262
80.0,-0.9820164713206603,-4.640741627900737
80.0,-0.9940164713206598,-5.984175493356824
80.0,-1.0060164713206596,-7.575883897736986
80.0,-1.0180164713206594,-9.378844133773306
80.0,-1.0300164713206599,-11.307310614743821
80.0,-1.0420164713206597,-13.223345778858167
80.0,-1.0540164713206595,-14.951124348694542
80.0,-1.06601647132066,-16.315040657548654
80.0,-1.0780164713206595,-17.19547011734378
80.0,-1.0900164713206593,-17.576597851092092
80.0,-1.102016471320659,-17.551900887832442
80.0,-1.1140164713206588,-17.276895409504125
80.0,-1.1260164713206593,-16.901775310369075
80.0,-1.138016471320659,-16.52869474342762
80.0,-1.1500164713206587,-16.207233419933342
80.0,-1.162016471320659,-15.950935165158516
80.0,-1.174016471320659,-15.755370031636193
80.0,-1.1860164713206587,-15.609839958470497
80.0,-1.1980164713206585,-15.503075405359452
80.0,-1.1899835286793419,-15.190714345105864
80.0,-1.1779835286793414,-14.948019536155147
80.0,-1.1659835286793416,-14.73210808222285
80.0,-1.1539835286793418,-14.491853905473477
80.0,-1.1419835286793414,-14.200053305745588
80.0,-1.1299835286793416,-13.83441630530999
80.0,-1.117983528679342,-13.375151667972794
80.0,-1.1059835286793422,-12.805823605013956
80.0,-1.0939835286793425,-12.11576511296137
80.0,-1.081983528679342,-11.303132035660056
80.0,-1.0699835286793422,-10.377515017772092
80.0,-1.0579835286793424,-9.360939396323738
80.0,-1.045983528679342,-8.286430391262845
80.0,-1.0339835286793422,-7.194103275703097
80.0,-1.0219835286793426,-6.1256371626726995
80.0,-1.0099835286793428,-5.118574655081472
80.0,-0.997983528679343,-4.201887203440247
80.0,-0.9859835286793426,-3.393700490348794
80.0,-0.9739835286793429,-2.701290042539899
80.0,-0.9619835286793431,-2.1228023011549366
80.0,-0.9499835286793427,-1.6498568485490255
80.0,-0.937983528679343,-1.2702452203412642
80.0,-0.9259835286793432,-0.9702096240501858
80.0,-0.9139835286793434,-0.7360851015480249
80.0,-0.9019835286793436,-0.5553111575467773
80.0,-0.8899835286793432,-0.4169350008503061
80.0,-0.8779835286793435,-0.31176032885774574
80.0,-0.8659835286793438,-0.2322795036182213
80.0,-0.8539835286793434,-0.17249287293648483
80.0,-0.8419835286793436,-0.12768436291320112
80.0,-0.8299835286793438,-0.09419467597242777
80.0,-0.817983528679344,-0.06921390357834649
80.0,-0.8059835286793443,-0.05060291634653627
80.0,-0.7939835286793439,-0.03674562110965428
80.0,-0.7819835286793434,-0.026430293678147518
80.0,-0.7699835286793437,-0.01875628883002848
80.0,-0.7579835286793439,-0.013061438085343822
80.0,-0.7459835286793435,-0.008864732247630437
80.0,-0.733983528679343,-0.005818594746453753
80.0,-0.7219835286793432,-0.0036665313363258966
80.0,-0.7099835286793434,-0.0022065921407757225
80.0,-0.6979835286793431,-0.0012664781794762233
80.0,-0.6859835286793426,-0.0006952075663246313
80.0,-0.6739835286793429,-0.00036724318322855804
80.0,-0.6619835286793431,-0.00018813905611164987
80.0,-0.6499835286793426,-9.419144906123314e-5
80.0,-0.6379835286793422,-4.638627151126948e-5
80.0,-0.6259835286793425,-2.258488353074116e-5
80.0,-0.6139835286793427,-1.091193177688774e-5
80.0,-0.6019835286793422,-5.245097832964174e-6
80.0,-0.5899835286793418,-2.512506694240509e-6
80.0,-0.577983528679342,-1.200604595959423e-6
80.0,-0.5659835286793423,-5.725406108288339e-7
80.0,-0.5539835286793419,-2.723917370399174e-7
80.0,-0.5419835286793414,-1.2910591414845152e-7
80.0,-0.5299835286793416,-6.074462573712339e-8
80.0,-0.5179835286793419,-2.8137747382395253e-8
80.0,-0.5059835286793415,-1.2584079296751539e-8
80.0,-0.49398352867934103,-5.161759849588098e-9
80.0,-0.48198352867934124,-1.6161654724404323e-9
80.0,-0.46998352867934146,8.125545197786623e-11
80.0,-0.457983528679341,8.976658551712989e-10
80.0,-0.44598352867934055,1.2942286280075259e-9
80.0,-0.43398352867934087,1.490880371707231e-9
80.0,-0.4219835286793411,1.5925477767227765e-9
80.0,-0.4099835286793406,1.6493162699720371e-9
80.0,-0.39798352867934017,1.6851163400190846e-9
80.0,-0.3859835286793405,1.7114026350710548e-9
80.0,-0.3739835286793407,1.7336783714902884e-9
80.0,-0.36198352867934025,1.754608137737264e-9
80.0,-0.3499835286793398,1.7755035564214025e-9
80.0,-0.33798352867934,1.7970327145548206e-9
80.0,-0.32598352867934033,1.8195591851787693e-9
80.0,-0.3139835286793399,1.8433042581740184e-9
80.0,-0.3019835286793394,1.8684247773954236e-9
80.0,-0.28998352867933963,1.895050687263682e-9
80.0,-0.27798352867933995,1.9233033643934187e-9
80.0,-0.2659835286793395,1.9533047910590587e-9
80.0,-0.25398352867933904,1.9851823874669638e-9
80.0,-0.24198352867933925,2.0190718061090803e-9
80.0,-0.22998352867933947,2.055118790863141e-9
80.0,-0.217983528679339,2.093480630276111e-9
80.0,-0.20598352867933856,2.1343274626180997e-9
80.0,-0.19398352867933877,2.1778435512821034e-9
80.0,-0.1819835286793392,2.2242285890485004e-9
80.0,-0.16998352867933875,2.273699053730603e-9
80.0,-0.1579835286793383,2.3264896284227458e-9
80.0,-0.1459835286793385,2.3828546630337734e-9
80.0,-0.13398352867933871,2.4430696796194892e-9
80.0,-0.12198352867933826,2.5074328754368117e-9
80.0,-0.1099835286793378,2.5762665931573585e-9
80.0,-0.09798352867933802,2.6499186927260006e-9
80.0,-0.08598352867933823,2.7287637498594624e-9
80.0,-0.07398352867933777,2.813203971322698e-9
80.0,-0.06198352867933732,2.9036696919971463e-9
80.0,-0.04998352867933775,3.0006192783751836e-9
80.0,-0.03798352867933796,3.104538202366425e-9
