BoundaryLayerThickness,Voltage,Current
1000,-0.0012,8.46E-15
1000,-0.00252,-1.08E-14
1000,-0.003972,-1.22E-15
1000,-0.0055692,-2.76E-15
1000,-0.00732612,-9.42E-16
1000,-0.009258732,-7.66E-15
1000,-0.011384605,-5.63E-15
1000,-0.013723066,-1.56E-14
1000,-0.016295372,2.76E-15
1000,-0.01912491,1.26E-14
1000,-0.0222374,8.12E-15
1000,-0.025661141,-1.83E-14
1000,-0.029427255,-2.11E-14
1000,-0.03356998,6.88E-16
1000,-0.038126978,-9.13E-15
1000,-0.043139676,-2.70E-14
1000,-0.048653643,-1.23E-15
1000,-0.054719008,2.18E-16
1000,-0.061390909,2.40E-15
1000,-0.068729999,1.89E-15
1000,-0.076802999,1.77E-14
1000,-0.085683299,-2.10E-14
1000,-0.095451629,-1.15E-14
1000,-0.106196792,8.67E-15
1000,-0.118016471,3.62E-15
1000,-0.130016471,6.30E-15
1000,-0.142016471,-5.29E-15
1000,-0.154016471,7.94E-15
1000,-0.166016471,1.47E-14
1000,-0.178016471,1.19E-14
1000,-0.190016471,3.27E-15
1000,-0.202016471,2.57E-14
1000,-0.214016471,1.63E-14
1000,-0.226016471,8.58E-15
1000,-0.238016471,-1.76E-16
1000,-0.250016471,-1.40E-14
1000,-0.262016471,1.00E-15
1000,-0.274016471,1.32E-14
1000,-0.286016471,-2.04E-14
1000,-0.298016471,-4.64E-14
1000,-0.310016471,-8.96E-14
1000,-0.322016471,-1.92E-13
1000,-0.334016471,-3.81E-13
1000,-0.346016471,-7.92E-13
1000,-0.358016471,-1.66E-12
1000,-0.370016471,-3.49E-12
1000,-0.382016471,-7.27E-12
1000,-0.394016471,-1.52E-11
1000,-0.406016471,-3.17E-11
1000,-0.418016471,-6.64E-11
1000,-0.430016471,-1.39E-10
1000,-0.442016471,-2.91E-10
1000,-0.454016471,-6.09E-10
1000,-0.466016471,-1.28E-09
1000,-0.478016471,-2.67E-09
1000,-0.490016471,-5.61E-09
1000,-0.502016471,-1.18E-08
1000,-0.514016471,-2.46E-08
1000,-0.526016471,-5.17E-08
1000,-0.538016471,-1.08E-07
1000,-0.550016471,-2.27E-07
1000,-0.562016471,-4.77E-07
1000,-0.574016471,-9.99E-07
1000,-0.586016471,-2.09E-06
1000,-0.598016471,-4.37E-06
1000,-0.610016471,-9.10E-06
1000,-0.622016471,-1.89E-05
1000,-0.634016471,-3.88E-05
1000,-0.646016471,-7.91E-05
1000,-0.658016471,-0.000158519
1000,-0.670016471,-0.000310808
1000,-0.682016471,-0.000591302
1000,-0.694016471,-0.00108279
1000,-0.706016471,-0.001896366
1000,-0.718016471,-0.00316753
1000,-0.730016471,-0.005054271
1000,-0.742016471,-0.007746114
1000,-0.754016471,-0.011486866
1000,-0.766016471,-0.016607085
1000,-0.778016471,-0.023562236
1000,-0.790016471,-0.032976458
1000,-0.802016471,-0.045694702
1000,-0.814016471,-0.062846445
1000,-0.826016471,-0.085923267
1000,-0.838016471,-0.116870992
1000,-0.850016471,-0.158193837
1000,-0.862016471,-0.213059739
1000,-0.874016471,-0.28537966
1000,-0.886016471,-0.37981382
1000,-0.898016471,-0.50164835
1000,-0.910016471,-0.656498449
1000,-0.922016471,-0.849832173
1000,-0.934016471,-1.086368776
1000,-0.946016471,-1.369467798
1000,-0.958016471,-1.700653902
1000,-0.970016471,-2.079389989
1000,-0.982016471,-2.50312735
1000,-0.994016471,-2.967572112
1000,-1.006016471,-3.46705659
1000,-1.018016471,-3.994904824
1000,-1.030016471,-4.543714788
1000,-1.042016471,-5.105519034
1000,-1.054016471,-5.671813483
1000,-1.066016471,-6.2334564
1000,-1.078016471,-6.780439192
1000,-1.090016471,-7.301522621
1000,-1.102016471,-7.783721656
1000,-1.114016471,-8.211617562
1000,-1.126016471,-8.566496981
1000,-1.138016471,-8.825421666
1000,-1.150016471,-8.960674067
1000,-1.162016471,-8.94095853
1000,-1.174016471,-8.737716988
1000,-1.186016471,-8.341686725
1000,-1.198016471,-7.78777397
1000,-1.189983529,-6.755330803
1000,-1.177983529,-5.95447056
1000,-1.165983529,-5.339342091
1000,-1.153983529,-4.824562293
1000,-1.141983529,-4.372213882
1000,-1.129983529,-3.961689046
1000,-1.117983529,-3.580738876
1000,-1.105983529,-3.221955216
1000,-1.093983529,-2.881101394
1000,-1.081983529,-2.556179263
1000,-1.069983529,-2.246815123
1000,-1.057983529,-1.953788066
1000,-1.045983529,-1.678621461
1000,-1.033983529,-1.423203775
1000,-1.021983529,-1.189431429
1000,-1.009983529,-0.978885708
1000,-0.997983529,-0.79257014
1000,-0.985983529,-0.630740476
1000,-0.973983529,-0.492852075
1000,-0.961983529,-0.377628381
1000,-0.949983529,-0.283226158
1000,-0.937983529,-0.207449666
1000,-0.925983529,-0.14795735
1000,-0.913983529,-0.102414979
1000,-0.901983529,-0.06857603
1000,-0.889983529,-0.044305302
1000,-0.877983529,-0.027588819
1000,-0.865983529,-0.016571351
1000,-0.853983529,-0.009627514
1000,-0.841983529,-0.005432466
1000,-0.829983529,-0.002991363
1000,-0.817983529,-0.00161476
1000,-0.805983529,-0.000857621
1000,-0.793983529,-0.000449055
1000,-0.781983529,-0.000231608
1000,-0.769983529,-0.00011692
1000,-0.757983529,-5.67E-05
1000,-0.745983529,-2.50E-05
1000,-0.733983529,-8.03E-06
1000,-0.721983529,1.29E-06
1000,-0.709983529,6.76E-06
1000,-0.697983529,1.03E-05
1000,-0.685983529,1.30E-05
1000,-0.673983529,1.53E-05
1000,-0.661983529,1.76E-05
1000,-0.649983529,1.99E-05
1000,-0.637983529,2.25E-05
1000,-0.625983529,2.52E-05
1000,-0.613983529,2.83E-05
1000,-0.601983529,3.16E-05
1000,-0.589983529,3.53E-05
1000,-0.577983529,3.94E-05
1000,-0.565983529,4.39E-05
1000,-0.553983529,4.89E-05
1000,-0.541983529,5.42E-05
1000,-0.529983529,6.00E-05
1000,-0.517983529,6.62E-05
1000,-0.505983529,7.29E-05
1000,-0.493983529,7.99E-05
1000,-0.481983529,8.72E-05
1000,-0.469983529,9.47E-05
1000,-0.457983529,0.000102367
1000,-0.445983529,0.000109876
1000,-0.433983529,0.000117037
1000,-0.421983529,0.000123545
1000,-0.409983529,0.000129036
1000,-0.397983529,0.000133092
1000,-0.385983529,0.000135277
1000,-0.373983529,0.000135209
1000,-0.361983529,0.000132703
1000,-0.349983529,0.000128007
1000,-0.337983529,0.000122106
1000,-0.325983529,0.000116893
1000,-0.313983529,0.000114835
1000,-0.301983529,0.000118062
1000,-0.289983529,0.000127674
1000,-0.277983529,0.000143919
1000,-0.265983529,0.000166807
1000,-0.253983529,0.000196567
1000,-0.241983529,0.000233818
1000,-0.229983529,0.000279616
1000,-0.217983529,0.000335456
1000,-0.205983529,0.0004033
1000,-0.193983529,0.000485619
1000,-0.181983529,0.000585475
1000,-0.169983529,0.000706625
1000,-0.157983529,0.000853649
1000,-0.145983529,0.001032114
1000,-0.133983529,0.00124876
1000,-0.121983529,0.001511719
1000,-0.109983529,0.001830749
1000,-0.097983529,0.002217499
1000,-0.085983529,0.002685759
1000,-0.073983529,0.0032517
1000,-0.061983529,0.003934056
1000,-0.049983529,0.004754193
1000,-0.037983529,0.005736008
1000,-0.025983529,0.006905585
1000,-0.013983529,0.008290522
1000,-0.001983529,0.009918881
1000,0.010016471,0.01181775
1000,0.022016471,0.014011486
1000,0.034016471,0.016519797
1000,0.046016471,0.019355943
1000,0.058016471,0.022525347
1000,0.070016471,0.026024939
1000,0.082016471,0.02984339
1000,0.094016471,0.033962276
1000,0.106016471,0.038358033
1000,0.118016471,0.043004437
1000,0.130016471,0.047875394
1000,0.142016471,0.0529478
1000,0.154016471,0.058204386
1000,0.166016471,0.06363647
1000,0.178016471,0.069246591
1000,0.190016471,0.075050963
1000,0.202016471,0.081081613
1000,0.214016471,0.087387986
1000,0.226016471,0.094037721
1000,0.238016471,0.101116295
1000,0.250016471,0.108725331
1000,0.262016471,0.116979595
1000,0.274016471,0.126003002
1000,0.286016471,0.135924267
1000,0.298016471,0.146872891
1000,0.310016471,0.158976061
1000,0.322016471,0.17235672
1000,0.334016471,0.187132698
1000,0.346016471,0.203416593
1000,0.358016471,0.22131602
1000,0.370016471,0.240933912
1000,0.382016471,0.262368664
1000,0.394016471,0.28571401
1000,0.406016471,0.31105861
1000,0.418016471,0.338485359
1000,0.430016471,0.368070439
1000,0.442016471,0.399882181
1000,0.454016471,0.433979741
1000,0.466016471,0.470411642
1000,0.478016471,0.509214185
1000,0.490016471,0.550409724
1000,0.502016471,0.594004792
1000,0.514016471,0.639988017
1000,0.526016471,0.688327756
1000,0.538016471,0.738969307
1000,0.550016471,0.791831535
1000,0.562016471,0.846802625
1000,0.574016471,0.90373463
1000,0.586016471,0.962436284
1000,0.598016471,1.022663388
1000,0.610016471,1.08410579
1000,0.622016471,1.146369586
1000,0.634016471,1.208952649
1000,0.646016471,1.271210904
1000,0.658016471,1.332311956
1000,0.670016471,1.391172037
1000,0.682016471,1.44637259
1000,0.694016471,1.49605644
1000,0.706016471,1.537815929
1000,0.718016471,1.568617974
1000,0.730016471,1.584880305
1000,0.742016471,1.582917706
1000,0.754016471,1.560032324
1000,0.766016471,1.51619553
1000,0.778016471,1.455331296
1000,0.790016471,1.384646034
1000,0.797983529,1.302143632
1000,0.785983529,1.188430583
1000,0.773983529,1.107861324
1000,0.761983529,1.042416659
1000,0.749983529,0.985975983
1000,0.737983529,0.935571404
1000,0.725983529,0.889479464
1000,0.713983529,0.846596051
1000,0.701983529,0.806171273
1000,0.689983529,0.76767517
1000,0.677983529,0.730730132
1000,0.665983529,0.695068224
1000,0.653983529,0.660503632
1000,0.641983529,0.626913449
1000,0.629983529,0.594223351
1000,0.617983529,0.56239632
1000,0.605983529,0.531423419
1000,0.593983529,0.501316106
1000,0.581983529,0.472099778
1000,0.569983529,0.443808383
1000,0.557983529,0.416479983
1000,0.545983529,0.390153192
1000,0.533983529,0.364864373
1000,0.521983529,0.340645528
1000,0.509983529,0.317522781
1000,0.497983529,0.295515363
1000,0.485983529,0.274635008
1000,0.473983529,0.254885675
1000,0.461983529,0.236263526
1000,0.449983529,0.218757076
1000,0.437983529,0.202347462
1000,0.425983529,0.187008778
1000,0.413983529,0.172708433
1000,0.401983529,0.159407512
1000,0.389983529,0.147061129
1000,0.377983529,0.135618802
1000,0.365983529,0.125024897
1000,0.353983529,0.115219209
1000,0.341983529,0.106137809
1000,0.329983529,0.097714222
1000,0.317983529,0.089881042
1000,0.305983529,0.082571948
1000,0.293983529,0.075724043
1000,0.281983529,0.069280303
1000,0.269983529,0.063191865
1000,0.257983529,0.057419869
1000,0.245983529,0.051936598
1000,0.233983529,0.046725762
1000,0.221983529,0.041781844
1000,0.209983529,0.037108553
1000,0.197983529,0.032716507
1000,0.185983529,0.028620363
1000,0.173983529,0.024835679
1000,0.161983529,0.021375856
1000,0.149983529,0.018249526
1000,0.137983529,0.015458697
1000,0.125983529,0.01299785
1000,0.113983529,0.010854039
1000,0.101983529,0.009007842
1000,0.089983529,0.007434903
1000,0.077983529,0.006107752
1000,0.065983529,0.004997601
1000,0.053983529,0.004075891
1000,0.041983529,0.003315486
1000,0.031487647,0.002763074
1000,0.020991764,0.002299901
1000,0.010495882,0.001912638
1000,0,0.001589565
