BoundaryLayerThickness,Voltage,Value
1.0e9,-0.0020000000000000018,-1.8905841968420835e-8
1.0e9,-0.0044000000000000705,-3.794683507689346e-8
1.0e9,-0.007280000000000064,-5.717948487069941e-8
1.0e9,-0.010735999999999968,-7.667149409948431e-8
1.0e9,-0.014883199999999874,-9.650406693978987e-8
1.0e9,-0.019859840000000184,-1.167746955348717e-7
1.0e9,-0.025831808000000178,-1.376005399364679e-7
1.0e9,-0.03299816960000013,-1.591225345656194e-7
1.0e9,-0.041597803519999865,-1.8151038555862186e-7
1.0e9,-0.05191736422399984,-2.0496866124013262e-7
1.0e9,-0.06430083706880008,-2.2974422254795846e-7
1.0e9,-0.07916100448255992,-2.561352902305273e-7
1.0e9,-0.09699320537907208,-2.845024972953979e-7
1.0e9,-0.1169932053790721,-3.15109322951234e-7
1.0e9,-0.136993205379072,-3.479511825229476e-7
1.0e9,-0.1569932053790719,-3.830226191828568e-7
1.0e9,-0.17699320537907182,-4.203172878757876e-7
1.0e9,-0.19699320537907217,-4.598279608166695e-7
1.0e9,-0.21699320537907196,-5.015465480706296e-7
1.0e9,-0.23699320537907198,-5.454641283952957e-7
1.0e9,-0.256993205379072,-5.915709866706033e-7
1.0e9,-0.2769932053790718,-6.398566551743787e-7
1.0e9,-0.29699320537907203,-6.903099567018122e-7
1.0e9,-0.31699320537907205,-7.429190481014824e-7
1.0e9,-0.33699320537907207,-7.976714632391466e-7
1.0e9,-0.3569932053790723,-8.545541547302784e-7
1.0e9,-0.3769932053790721,-9.135535340267789e-7
1.0e9,-0.3969932053790721,-9.746555096218802e-7
1.0e9,-0.4169932053790717,-1.0378455232656078e-6
1.0e9,-0.43699320537907194,-1.1031085841735419e-6
1.0e9,-0.4569932053790724,-1.1704293012735319e-6
1.0e9,-0.47699320537907264,-1.2397919135755936e-6
1.0e9,-0.4969932053790722,-1.311180318774556e-6
1.0e9,-0.5169932053790725,-1.384578100205584e-6
1.0e9,-0.536993205379072,-1.4599685522669696e-6
1.0e9,-0.5569932053790723,-1.5373347043853748e-6
