BoundaryLayerThickness,Voltage,Value
1.0e8,-0.0020000000000000018,-1.8906667312613154e-9
1.0e8,-0.0044000000000000705,-3.79484637880823e-9
1.0e8,-0.007280000000000064,-5.718189196240354e-9
1.0e8,-0.010735999999999968,-7.667465490623568e-9
1.0e8,-0.014883199999999874,-9.650795711222876e-9
1.0e8,-0.019859840000000184,-1.1677929101894114e-8
1.0e8,-0.025831808000000178,-1.3760581694449144e-8
1.0e8,-0.03299816960000013,-1.5912846953519165e-8
1.0e8,-0.041597803519999865,-1.8151695509322296e-8
1.0e8,-0.05191736422399984,-2.0497584202263562e-8
1.0e8,-0.06430083706880008,-2.2975199121452887e-8
1.0e8,-0.07916100448255992,-2.5614362318767026e-8
1.0e8,-0.09699320537907208,-2.8451137045715237e-8
1.0e8,-0.1169932053790721,-3.151187108180542e-8
1.0e8,-0.136993205379072,-3.4796105676459735e-8
1.0e8,-0.1569932053790719,-3.830329483701774e-8
1.0e8,-0.17699320537907182,-4.203280375117052e-8
1.0e8,-0.19699320537907217,-4.5983909338283423e-8
1.0e8,-0.21699320537907196,-5.0155802308570714e-8
1.0e8,-0.23699320537907198,-5.454759024818797e-8
1.0e8,-0.256993205379072,-5.9158301362840254e-8
1.0e8,-0.2769932053790718,-6.398688860578945e-8
1.0e8,-0.29699320537907203,-6.903223399011677e-8
1.0e8,-0.31699320537907205,-7.429315294254106e-8
1.0e8,-0.33699320537907207,-7.976839859994113e-8
1.0e8,-0.3569932053790723,-8.545666598269953e-8
1.0e8,-0.3769932053790721,-9.135659600342501e-8
1.0e8,-0.3969932053790721,-9.746677928746621e-8
1.0e8,-0.4169932053790717,-1.0378575979446062e-7
1.0e8,-0.43699320537907194,-1.1031203823920104e-7
1.0e8,-0.4569932053790724,-1.1704407531629742e-7
1.0e8,-0.47699320537907264,-1.2398029473719306e-7
1.0e8,-0.4969932053790722,-1.311190860906105e-7
1.0e8,-0.5169932053790725,-1.3845880753884538e-7
1.0e8,-0.536993205379072,-1.4599778836273853e-7
1.0e8,-0.5569932053790723,-1.5373433136761082e-7
1.0e8,-0.5769932053790725,-1.6166671516024359e-7
1.0e8,-0.5969932053790721,-1.6979319630039342e-7
1.0e8,-0.6169932053790725,-1.781120113105084e-7
1.0e8,-0.6369932053790721,-1.8662137846983227e-7
1.0e8,-0.6569932053790724,-1.9531949917577468e-7
1.0e8,-0.6769932053790726,-2.0420455842247712e-7
1.0e8,-0.6969932053790728,-2.1327472398698715e-7
1.0e8,-0.7169932053790724,-2.2252814492712858e-7
1.0e8,-0.736993205379072,-2.3196295055234833e-7
1.0e8,-0.7569932053790722,-2.4157724819407155e-7
1.0e8,-0.7769932053790727,-2.513691157397493e-7
1.0e8,-0.7969932053790729,-2.6133658606528113e-7
1.0e8,-0.8169932053790725,-2.714776202908017e-7
1.0e8,-0.8369932053790721,-2.8179006344818874e-7
1.0e8,-0.8569932053790723,-2.9227157053981117e-7
1.0e8,-0.8769932053790725,-3.029194838386998e-7
1.0e8,-0.8969932053790721,-3.137306406421926e-7
1.0e8,-0.9169932053790717,-3.2470110480365705e-7
1.0e8,-0.9369932053790719,-3.3582585664252464e-7
1.0e8,-0.9569932053790724,-3.470985798804421e-7
1.0e8,-0.976993205379072,-3.5851187098696634e-7
1.0e8,-0.9969932053790715,-3.700583524012422e-7
1.0e8,-1.0169932053790718,-3.817329766180833e-7
1.0e8,-1.036993205379072,-3.9353596573523803e-7
1.0e8,-1.0569932053790716,-4.054745788984367e-7
1.0e8,-1.0769932053790712,-4.1756127598594784e-7
1.0e8,-1.0969932053790714,-4.2980773849103306e-7
1.0e8,-1.1169932053790717,-4.422189511921017e-7
1.0e8,-1.1369932053790712,-4.5479271617362404e-7
1.0e8,-1.1569932053790708,-4.6752345492615925e-7
1.0e8,-1.1769932053790713,-4.804054321035656e-7
1.0e8,-1.1969932053790715,-4.934338664375243e-7
1.0e8,-1.183006794620929,-5.061955283899424e-7
1.0e8,-1.1630067946209295,-5.186173007373406e-7
1.0e8,-1.143006794620929,-5.307010671056956e-7
1.0e8,-1.1230067946209288,-5.424498742198509e-7
1.0e8,-1.1030067946209292,-5.538674447152282e-7
1.0e8,-1.0830067946209296,-5.649577387795136e-7
1.0e8,-1.0630067946209294,-5.757243694696024e-7
1.0e8,-1.0430067946209292,-5.861700335400711e-7
1.0e8,-1.0230067946209296,-5.962962174203712e-7
1.0e8,-1.00300679462093,-6.061033082766313e-7
1.0e8,-0.9830067946209297,-6.155910128607015e-7
1.0e8,-0.9630067946209294,-6.247588566378737e-7
1.0e8,-0.9430067946209297,-6.336065725597633e-7
1.0e8,-0.9230067946209302,-6.42134309861008e-7
1.0e8,-0.9030067946209299,-6.50342691842618e-7
1.0e8,-0.8830067946209297,-6.582327851279421e-7
1.0e8,-0.8630067946209301,-6.658060302352166e-7
1.0e8,-0.8430067946209305,-6.730641579663351e-7
1.0e8,-0.8230067946209303,-6.800091031061147e-7
1.0e8,-0.8030067946209299,-6.866429267074065e-7
1.0e8,-0.7830067946209304,-6.929677568815751e-7
1.0e8,-0.7630067946209308,-6.989857506780394e-7
1.0e8,-0.7430067946209304,-7.04699071620449e-7
1.0e8,-0.7230067946209302,-7.101098724051326e-7
1.0e8,-0.7030067946209306,-7.152202706815401e-7
1.0e8,-0.6830067946209311,-7.200324029381012e-7
1.0e8,-0.6630067946209308,-7.245484666778293e-7
1.0e8,-0.6430067946209305,-7.287706597632671e-7
1.0e8,-0.6230067946209309,-7.327011747702888e-7
1.0e8,-0.6030067946209313,-7.363422016903503e-7
1.0e8,-0.5830067946209311,-7.396959313296805e-7
1.0e8,-0.5630067946209307,-7.427645586612392e-7
1.0e8,-0.5430067946209312,-7.455502860588395e-7
1.0e8,-0.5230067946209316,-7.480553264217943e-7
1.0e8,-0.5030067946209313,-7.502819062176874e-7
1.0e8,-0.4830067946209311,-7.522322684735193e-7
1.0e8,-0.4630067946209315,-7.539086757453703e-7
1.0e8,-0.44300679462093195,-7.553134130910032e-7
1.0e8,-0.4230067946209316,-7.564487910666993e-7
1.0e8,-0.40300679462093136,-7.573171487729689e-7
1.0e8,-0.3830067946209318,-7.579208569655421e-7
1.0e8,-0.3630067946209322,-7.582623212446747e-7
1.0e8,-0.34300679462093187,-7.583439853399605e-7
1.0e8,-0.3230067946209316,-7.581683344882881e-7
1.0e8,-0.30300679462093205,-7.577378989054223e-7
1.0e8,-0.2830067946209325,-7.570552573316473e-7
1.0e8,-0.26300679462093224,-7.561230406207047e-7
1.0e8,-0.2430067946209319,-7.549439353170345e-7
1.0e8,-0.2230067946209323,-7.535206871361777e-7
1.0e8,-0.20300679462093274,-7.518561042262789e-7
1.0e8,-0.1830067946209324,-7.499530600357473e-7
1.0e8,-0.16300679462093215,-7.478144955475782e-7
1.0e8,-0.14300679462093258,-7.454434205577102e-7
1.0e8,-0.123006794620933,-7.428429135725685e-7
1.0e8,-0.10300679462093276,-7.400161197796313e-7
1.0e8,-0.08300679462093252,-7.369662464065407e-7
1.0e8,-0.06300679462093295,-7.336965546391842e-7
1.0e8,-0.043006794620933375,-7.30210347136541e-7
1.0e8,-0.023006794620933135,-7.265109500894847e-7
1.0e8,-0.0030067946209326735,-7.226016887770416e-7
1.0e8,0.0169932053790669,-7.184858557408701e-7
1.0e8,0.036993205379066474,-7.141666711081489e-7
1.0e8,0.056993205379066714,-7.096472353161559e-7
1.0e8,0.07699320537906695,-7.049304755539777e-7
1.0e8,0.09699320537906653,-7.00019088571659e-7
1.0e8,0.1169932053790661,-6.94915483908543e-7
1.0e8,0.13699320537906634,-6.896217327110868e-7
1.0e8,0.1569932053790668,-6.841395277256532e-7
1.0e8,0.17699320537906638,-6.784701594264497e-7
1.0e8,0.19699320537906595,-6.72614511506519e-7
1.0e8,0.2169932053790662,-6.665730764304291e-7
1.0e8,0.23699320537906643,-6.603459890384835e-7
1.0e8,0.256993205379066,-6.539330739941082e-7
1.0e8,0.2769932053790656,-6.473339016636543e-7
1.0e8,0.2969932053790658,-6.405478469304468e-7
1.0e8,0.31699320537906606,-6.335741462526811e-7
1.0e8,0.33699320537906563,-6.264119495781053e-7
1.0e8,0.3569932053790652,-6.190603651290696e-7
1.0e8,0.37699320537906567,-6.11518496288386e-7
1.0e8,0.3969932053790659,-6.037854707154693e-7
1.0e8,0.4169932053790655,-5.958604623887746e-7
1.0e8,0.43699320537906505,-5.877427075580379e-7
1.0e8,0.4569932053790653,-5.794315156757652e-7
