BoundaryLayerThickness,Voltage,Value
1.0e9,-0.0020000000000000018,-2.1190088608111042e-14
1.0e9,-0.0044000000000000705,3.2001763605505915e-15
1.0e9,-0.007280000000000064,8.542727860813793e-16
1.0e9,-0.010735999999999968,1.501432241886612e-14
1.0e9,-0.014883199999999874,-1.7239361843121733e-14
1.0e9,-0.019859840000000184,1.133896178884666e-14
1.0e9,-0.025831808000000178,-1.507992306370849e-14
1.0e9,-0.03299816960000013,-1.2378722051614891e-14
1.0e9,-0.041597803519999865,7.792688120157019e-15
1.0e9,-0.05191736422399984,1.7618724655579354e-14
1.0e9,-0.06430083706880008,1.4820712482306706e-14
1.0e9,-0.07916100448255992,8.583181645731415e-16
1.0e9,-0.09699320537907208,-3.3412944479350023e-15
1.0e9,-0.1169932053790721,-1.1598222115448393e-14
1.0e9,-0.136993205379072,-1.733142442009502e-15
1.0e9,-0.1569932053790719,-2.5104746554238142e-15
1.0e9,-0.17699320537907182,1.2261462675823254e-14
1.0e9,-0.19699320537907217,4.641939437541395e-15
1.0e9,-0.21699320537907196,-7.38486316139279e-15
1.0e9,-0.23699320537907198,7.567163864299469e-15
1.0e9,-0.256993205379072,1.4475779668923305e-14
1.0e9,-0.2769932053790718,-2.2572322682835397e-14
1.0e9,-0.29699320537907203,-5.4806339820318386e-14
1.0e9,-0.31699320537907205,-1.400902914843088e-13
1.0e9,-0.33699320537907207,-4.66031062080188e-13
1.0e9,-0.3569932053790723,-1.5625555720199342e-12
1.0e9,-0.3769932053790721,-5.345593250407632e-12
1.0e9,-0.3969932053790721,-1.8228755437980043e-11
1.0e9,-0.4169932053790717,-6.238829889153493e-11
1.0e9,-0.43699320537907194,-2.1359825478282026e-10
1.0e9,-0.4569932053790724,-7.322821690471754e-10
1.0e9,-0.47699320537907264,-2.512575604869894e-9
1.0e9,-0.4969932053790722,-8.627792340732186e-9
1.0e9,-0.5169932053790725,-2.964406415993346e-8
1.0e9,-0.536993205379072,-1.0188151618665462e-7
1.0e9,-0.5569932053790723,-3.500450398446537e-7
1.0e9,-0.5769932053790725,-1.2009924767196132e-6
1.0e9,-0.5969932053790721,-4.105612084622818e-6
1.0e9,-0.6169932053790725,-1.392177604010589e-5
1.0e9,-0.6369932053790721,-4.641519433392737e-5
1.0e9,-0.6569932053790724,-0.00014966251879194512
1.0e9,-0.6769932053790726,-0.0004540972606098311
1.0e9,-0.6969932053790728,-0.0012508322718323241
1.0e9,-0.7169932053790724,-0.0030399158697599557
1.0e9,-0.736993205379072,-0.006511605445254772
1.0e9,-0.7569932053790722,-0.01262025542009488
1.0e9,-0.7769932053790727,-0.022894235882984972
1.0e9,-0.7969932053790729,-0.03991781473755426
1.0e9,-0.8169932053790725,-0.0679628412657267
1.0e9,-0.8369932053790721,-0.11385034047550156
1.0e9,-0.8569932053790723,-0.18809260377115214
1.0e9,-0.8769932053790725,-0.30616894686971996
1.0e9,-0.8969932053790721,-0.4891513573134753
1.0e9,-0.9169932053790717,-0.7620590575539767
1.0e9,-0.9369932053790719,-1.148763401505121
1.0e9,-0.9569932053790724,-1.6646727319449561
1.0e9,-0.976993205379072,-2.3110270953919794
1.0e9,-0.9969932053790715,-3.0740420093414964
1.0e9,-1.0169932053790718,-3.928289204429254
1.0e9,-1.036993205379072,-4.8410330624079565
1.0e9,-1.0569932053790716,-5.774853267038235
