BoundaryLayerThickness,Voltage,Value
1.0e8,-0.0020000000000000018,1.612722790472041e-15
1.0e8,-0.0044000000000000705,-4.306931750227985e-15
1.0e8,-0.007280000000000064,-4.437534026160366e-15
1.0e8,-0.010735999999999968,-2.638330890338534e-15
1.0e8,-0.014883199999999874,-7.005353494713822e-16
1.0e8,-0.019859840000000184,-6.088128432698613e-15
1.0e8,-0.025831808000000178,1.3135549435485582e-15
1.0e8,-0.03299816960000013,2.5896255640438712e-15
1.0e8,-0.041597803519999865,3.1712456755735145e-15
1.0e8,-0.05191736422399984,9.383519529376217e-18
1.0e8,-0.06430083706880008,3.080197254932209e-15
1.0e8,-0.07916100448255992,-4.691256721390431e-15
1.0e8,-0.09699320537907208,-4.929743128036583e-15
1.0e8,-0.1169932053790721,-4.0304751335197144e-15
1.0e8,-0.136993205379072,2.0444972022553854e-15
1.0e8,-0.1569932053790719,-4.5040484545052696e-15
1.0e8,-0.17699320537907182,-3.1777087485099368e-15
1.0e8,-0.19699320537907217,-4.498507589984073e-15
1.0e8,-0.21699320537907196,-5.002590583059514e-15
1.0e8,-0.23699320537907198,-1.8614271980966535e-16
1.0e8,-0.256993205379072,-1.0632597777721191e-14
1.0e8,-0.2769932053790718,-8.899536268847137e-15
1.0e8,-0.29699320537907203,-4.642448555598071e-14
1.0e8,-0.31699320537907205,-1.2817531254005597e-13
1.0e8,-0.33699320537907207,-4.526283063914803e-13
1.0e8,-0.3569932053790723,-1.5640123920271368e-12
1.0e8,-0.3769932053790721,-5.336898703803987e-12
1.0e8,-0.3969932053790721,-1.8236950340442625e-11
1.0e8,-0.4169932053790717,-6.236992521194239e-11
1.0e8,-0.43699320537907194,-2.135848457175893e-10
1.0e8,-0.4569932053790724,-7.321690591927552e-10
1.0e8,-0.47699320537907264,-2.512083322908019e-9
1.0e8,-0.4969932053790722,-8.625788030675443e-9
1.0e8,-0.5169932053790725,-2.963600542372602e-8
1.0e8,-0.536993205379072,-1.018496943204907e-7
1.0e8,-0.5569932053790723,-3.499212048008878e-7
1.0e8,-0.5769932053790725,-1.2005173390487526e-6
1.0e8,-0.5969932053790721,-4.103821177852455e-6
1.0e8,-0.6169932053790725,-1.3915213388280947e-5
1.0e8,-0.6369932053790721,-4.639244364866587e-5
1.0e8,-0.6569932053790724,-0.00014959296646333258
1.0e8,-0.6769932053790726,-0.0004539445769700661
1.0e8,-0.6969932053790728,-0.0012508126784045678
1.0e8,-0.7169932053790724,-0.003041669378576099
1.0e8,-0.736993205379072,-0.006521406961394239
1.0e8,-0.7569932053790722,-0.01265711122840247
