BoundaryLayerThickness,Voltage,Value
1.0e8,-0.0020000000000000018,1.5557696227588836e-24
1.0e8,-0.0044000000000000705,1.4298307763178267e-24
1.0e8,-0.007280000000000064,-1.9792961607114363e-24
1.0e8,-0.010735999999999968,-4.939634464438484e-25
1.0e8,-0.014883199999999874,-2.1094301094317066e-24
1.0e8,-0.019859840000000184,-2.697614975700336e-24
1.0e8,-0.025831808000000178,-1.9578440860640232e-24
1.0e8,-0.03299816960000013,-3.891962711806893e-24
1.0e8,-0.041597803519999865,-2.72391689111664e-24
1.0e8,-0.05191736422399984,-2.5461988556231148e-24
1.0e8,-0.06430083706880008,-9.894829524730613e-25
1.0e8,-0.07916100448255992,1.2334172861963172e-24
1.0e8,-0.09699320537907208,-3.868783886104273e-24
1.0e8,-0.1169932053790721,7.103492965511861e-24
1.0e8,-0.136993205379072,-1.8872252578949394e-24
1.0e8,-0.1569932053790719,1.1495756520826023e-24
1.0e8,-0.17699320537907182,6.6065404896618e-24
1.0e8,-0.19699320537907217,-6.6747537290759e-24
1.0e8,-0.21699320537907196,5.286271017649693e-25
1.0e8,-0.23699320537907198,-1.2495251112393481e-24
1.0e8,-0.256993205379072,8.378974100721952e-25
1.0e8,-0.2769932053790718,-7.873550548750628e-24
1.0e8,-0.29699320537907203,-3.751855590006583e-23
1.0e8,-0.31699320537907205,-1.2917688722809585e-22
1.0e8,-0.33699320537907207,-4.390449270621959e-22
1.0e8,-0.3569932053790723,-1.5079552966884646e-21
1.0e8,-0.3769932053790721,-5.149407969469708e-21
1.0e8,-0.3969932053790721,-1.7586453603730548e-20
1.0e8,-0.4169932053790717,-6.017027190856563e-20
1.0e8,-0.43699320537907194,-2.0602325570655702e-19
1.0e8,-0.4569932053790724,-7.062073389554423e-19
1.0e8,-0.47699320537907264,-2.4230210909676466e-18
1.0e8,-0.4969932053790722,-8.319902932906602e-18
1.0e8,-0.5169932053790725,-2.8584787722135565e-17
1.0e8,-0.536993205379072,-9.823608986008108e-17
1.0e8,-0.5569932053790723,-3.375029713901089e-16
1.0e8,-0.5769932053790725,-1.157901934478846e-15
1.0e8,-0.5969932053790721,-3.958110412854775e-15
1.0e8,-0.6169932053790725,-1.342103075226028e-14
1.0e8,-0.6369932053790721,-4.474460539905969e-14
1.0e8,-0.6569932053790724,-1.4427924511170613e-13
1.0e8,-0.6769932053790726,-4.378222283551511e-13
1.0e8,-0.6969932053790728,-1.2064052781178923e-12
1.0e8,-0.7169932053790724,-2.9337380579307517e-12
1.0e8,-0.736993205379072,-6.290114113395968e-12
1.0e8,-0.7569932053790722,-1.220835600300102e-11
1.0e8,-0.7769932053790727,-2.2196760368205878e-11
1.0e8,-0.7969932053790729,-3.8843599643349345e-11
1.0e8,-0.8169932053790725,-6.653345206476363e-11
1.0e8,-0.8369932053790721,-1.1256044078676397e-10
1.0e8,-0.8569932053790723,-1.889547147548788e-10
1.0e8,-0.8769932053790725,-3.154855730093005e-10
1.0e8,-0.8969932053790721,-5.241446443125153e-10
1.0e8,-0.9169932053790717,-8.645566529696883e-10
1.0e8,-0.9369932053790719,-1.4081000185878648e-9
1.0e8,-0.9569932053790724,-2.244865223512443e-9
1.0e8,-0.976993205379072,-3.4622136796628255e-9
1.0e8,-0.9969932053790715,-5.0931558950350566e-9
1.0e8,-1.0169932053790718,-7.03928636294617e-9
1.0e8,-1.036993205379072,-9.01077347639797e-9
1.0e8,-1.0569932053790716,-1.056419353657679e-8
1.0e8,-1.0769932053790712,-1.1305494396642791e-8
1.0e8,-1.0969932053790714,-1.1175409043005989e-8
1.0e8,-1.1169932053790717,-1.0510649423808159e-8
1.0e8,-1.1369932053790712,-9.742377057771736e-9
1.0e8,-1.1569932053790708,-9.10845947759699e-9
1.0e8,-1.1769932053790713,-8.653679630615789e-9
1.0e8,-1.1969932053790715,-8.344934032036945e-9
1.0e8,-1.183006794620929,-7.943693367349065e-9
1.0e8,-1.1630067946209295,-7.619587559413352e-9
1.0e8,-1.143006794620929,-7.289091201211557e-9
1.0e8,-1.1230067946209288,-6.878268830704239e-9
1.0e8,-1.1030067946209292,-6.340132252579337e-9
1.0e8,-1.0830067946209296,-5.654560155372076e-9
1.0e8,-1.0630067946209294,-4.839560311587972e-9
1.0e8,-1.0430067946209292,-3.951851123858806e-9
1.0e8,-1.0230067946209296,-3.069958702631119e-9
1.0e8,-1.00300679462093,-2.267966105138954e-9
1.0e8,-0.9830067946209297,-1.5949064673167812e-9
1.0e8,-0.9630067946209294,-1.068586999458114e-9
1.0e8,-0.9430067946209297,-6.818008760791497e-10
1.0e8,-0.9230067946209302,-4.132864532479917e-10
1.0e8,-0.9030067946209299,-2.3713287139247114e-10
1.0e8,-0.8830067946209297,-1.2838963216815845e-10
1.0e8,-0.8630067946209301,-6.560890220507221e-11
1.0e8,-0.8430067946209305,-3.183319690677385e-11
1.0e8,-0.8230067946209303,-1.4850744904540303e-11
1.0e8,-0.8030067946209299,-6.787596565383155e-12
1.0e8,-0.7830067946209304,-3.1170446327209063e-12
1.0e8,-0.7630067946209308,-1.4916686767393363e-12
1.0e8,-0.7430067946209304,-7.94365659629626e-13
1.0e8,-0.7230067946209302,-5.498548569626779e-13
1.0e8,-0.7030067946209306,-6.009158046395981e-13
