ScanRate,Voltage,Value
0.001,-0.0011999999999997568,-5.927636285402649e-15
0.001,-0.0025199999999999667,3.535239470264456e-14
0.001,-0.0039719999999997535,1.478287707800946e-14
0.001,-0.00556919999999983,-1.0772542690466055e-14
0.001,-0.0073261199999996585,-8.37327538421133e-15
0.001,-0.009258732000000158,-2.147198786816758e-15
0.001,-0.011384605199999842,1.0547285601746803e-14
0.001,-0.013723065719999816,-8.857303384995417e-15
0.001,-0.016295372292000065,1.334584153086705e-14
0.001,-0.019124909521200162,3.8766627479898756e-15
0.001,-0.022237400473320124,8.11182738298701e-15
0.001,-0.02566114052065216,-1.6056191717610712e-15
0.001,-0.02942725457271711,-6.208617016596826e-16
0.001,-0.03356998002998901,-2.6453692396231836e-15
0.001,-0.03812697803298759,-2.9327300241801477e-15
0.001,-0.04313967583628664,-1.5238511654376718e-14
0.001,-0.04865364341991518,-1.6199417930149217e-14
0.001,-0.05471900776190708,-4.738062579586165e-16
0.001,-0.061390908538097366,4.462972262378104e-15
0.001,-0.06872999939190727,1.196837337786447e-14
0.001,-0.07680299933109791,-8.755281061891183e-15
0.001,-0.08568329926420759,-5.135569751134057e-15
0.001,-0.09545162919062833,-1.6326485679257016e-14
0.001,-0.10619679210969157,-9.225762212464187e-15
0.001,-0.1180164713206604,-1.0603286988533858e-14
0.001,-0.1300164713206604,-7.731492797074886e-15
0.001,-0.14201647132066042,2.0997903712217e-14
0.001,-0.15401647132066043,-2.0132250045173338e-15
0.001,-0.16601647132066044,7.26121882114661e-15
0.001,-0.17801647132066045,-2.4175949495068245e-14
0.001,-0.19001647132066046,9.595494807845219e-15
0.001,-0.20201647132066047,-2.3347223452030455e-15
0.001,-0.21401647132066048,-1.0151238581028193e-14
0.001,-0.2260164713206605,3.3505679589390246e-15
0.001,-0.2380164713206605,-8.495618568408631e-15
0.001,-0.2500164713206605,7.7695802548484e-15
0.001,-0.2620164713206605,-9.632319093497673e-15
0.001,-0.27401647132066054,-1.4502514207220163e-14
0.001,-0.2860164713206603,-3.4760483382363496e-14
0.001,-0.29801647132066034,-3.7348147755920654e-14
0.001,-0.31001647132066035,-9.247330186085883e-14
0.001,-0.32201647132066036,-1.966364989285498e-13
0.001,-0.33401647132066037,-4.3425260068548764e-13
0.001,-0.3460164713206604,-9.089395256168228e-13
0.001,-0.3580164713206604,-1.9052992993920965e-12
0.001,-0.3700164713206604,-3.9552095982290635e-12
0.001,-0.3820164713206604,-8.271429302670908e-12
0.001,-0.3940164713206604,-1.730015312272267e-11
0.001,-0.40601647132066043,-3.617022722125812e-11
0.001,-0.41801647132066044,-7.568146461076396e-11
0.001,-0.43001647132066045,-1.5840096860240574e-10
0.001,-0.44201647132066046,-3.3166910752074647e-10
0.001,-0.4540164713206605,-6.946739377517523e-10
0.001,-0.4660164713206605,-1.4553582146167875e-9
0.001,-0.4780164713206605,-3.050109549807583e-9
0.001,-0.4900164713206605,-6.394032614275489e-9
0.001,-0.5020164713206605,-1.3407182021213342e-8
0.001,-0.5140164713206605,-2.8117754450220625e-8
0.001,-0.5260164713206605,-5.8976251335188476e-8
0.001,-0.5380164713206605,-1.2370426116250452e-7
0.001,-0.5500164713206603,-2.594433356781644e-7
0.001,-0.5620164713206603,-5.439513457563278e-7
0.001,-0.5740164713206604,-1.1397265748912336e-6
0.001,-0.5860164713206604,-2.385373642604469e-6
0.001,-0.5980164713206604,-4.983224109816108e-6
0.001,-0.6100164713206604,-1.037960806258544e-5
0.001,-0.6220164713206604,-2.151993562984383e-5
0.001,-0.6340164713206604,-4.430049014460574e-5
0.001,-0.6460164713206604,-9.022184420419781e-5
0.001,-0.6580164713206604,-0.00018086467796786935
0.001,-0.6700164713206604,-0.00035452682173732795
0.001,-0.6820164713206605,-0.0006741516582515982
0.001,-0.6940164713206605,-0.0012335537081909463
0.001,-0.7060164713206605,-0.002158038797323356
0.001,-0.7180164713206605,-0.003599482294661538
0.001,-0.7300164713206605,-0.005733509991559819
0.001,-0.7420164713206605,-0.008768477567469912
0.001,-0.7540164713206605,-0.012968423062623684
0.001,-0.7660164713206605,-0.01868428355778441
0.001,-0.7780164713206605,-0.026387015731056514
0.001,-0.7900164713206606,-0.03669930243018742
0.001,-0.8020164713206603,-0.05042340512833249
0.001,-0.8140164713206604,-0.06855993169781582
0.001,-0.8260164713206604,-0.09230707423422849
0.001,-0.8380164713206604,-0.12302399853612374
0.001,-0.8500164713206604,-0.1621375784569357
0.001,-0.8620164713206604,-0.21097077599629546
0.001,-0.8740164713206604,-0.27047503771243603
0.001,-0.8860164713206604,-0.3408590521867083
0.001,-0.8980164713206604,-0.4211295818789278
0.001,-0.9100164713206604,-0.5086184057038626
0.001,-0.9220164713206604,-0.5986746087610887
0.001,-0.9340164713206605,-0.6847994966373139
0.001,-0.9460164713206605,-0.7594748762044972
0.001,-0.9580164713206605,-0.8156989074175135
0.001,-0.9700164713206605,-0.8488293902207641
0.001,-0.9820164713206605,-0.8579511879314641
0.001,-0.9940164713206605,-0.8460061028567646
0.001,-1.0060164713206605,-0.8185576226542797
0.001,-1.0180164713206605,-0.7818997030815139
0.001,-1.0300164713206605,-0.7414989446213158
0.001,-1.0420164713206606,-0.7012899249093197
0.001,-1.0540164713206603,-0.6636976051768704
0.001,-1.0660164713206604,-0.6299876239061672
0.001,-1.0780164713206604,-0.6006443629048881
0.001,-1.0900164713206604,-0.575664840692834
0.001,-1.1020164713206604,-0.5547636389063005
0.001,-1.1140164713206604,-0.5375110512588643
0.001,-1.1260164713206604,-0.5234235605865462
0.001,-1.1380164713206604,-0.5120199932043512
0.001,-1.1500164713206604,-0.5028533870398048
0.001,-1.1620164713206604,-0.4955264592814361
0.001,-1.1740164713206604,-0.4896966570081032
0.001,-1.1860164713206605,-0.4850750551420635
0.001,-1.1980164713206605,-0.4814219620367194
0.001,-1.1899835286793394,-0.47721431077484255
0.001,-1.1779835286793394,-0.4737591576167446
0.001,-1.1659835286793394,-0.4708489551394555
0.001,-1.1539835286793394,-0.4681324067457034
0.001,-1.1419835286793396,-0.4653436755383695
0.001,-1.1299835286793396,-0.4622282964393645
0.001,-1.1179835286793396,-0.4585217516582096
0.001,-1.1059835286793396,-0.45393662963123954
0.001,-1.0939835286793396,-0.44815817458543344
0.001,-1.0819835286793396,-0.4408515115232568
0.001,-1.0699835286793395,-0.43168418552008225
0.001,-1.0579835286793395,-0.42036548144386415
0.001,-1.0459835286793395,-0.40669841910624527
0.001,-1.0339835286793395,-0.3906322625910017
0.001,-1.0219835286793395,-0.37229698719273147
0.001,-1.0099835286793395,-0.35200229933007166
0.001,-0.9979835286793395,-0.33019509435510286
0.001,-0.9859835286793395,-0.3073857326095365
0.001,-0.9739835286793395,-0.2840652813217079
0.001,-0.9619835286793395,-0.2606361106704037
0.001,-0.9499835286793394,-0.23736904802545147
0.001,-0.9379835286793394,-0.21439194354528268
0.001,-0.9259835286793394,-0.1917192600009272
0.001,-0.9139835286793395,-0.1693441506645882
0.001,-0.9019835286793395,-0.14738184036422636
0.001,-0.8899835286793395,-0.12615974316226797
