ScanRate,Voltage,Value
0.001,-0.0011999999999997568,7.309124669569123e-15
0.001,-0.0025199999999999667,-7.135445682849889e-15
0.001,-0.0039719999999997535,1.5330213765652692e-14
0.001,-0.00556919999999983,-1.7022143918847032e-15
0.001,-0.0073261199999996585,4.0839010976570734e-15
0.001,-0.009258732000000158,3.4103497131301945e-15
0.001,-0.011384605199999842,-1.346874301359758e-14
0.001,-0.013723065719999816,8.383954651836469e-15
0.001,-0.016295372292000065,1.432339683886943e-14
0.001,-0.019124909521200162,1.0093585418121417e-14
0.001,-0.022237400473320124,-1.7132378436231374e-14
0.001,-0.02566114052065216,-1.8077974548736655e-15
0.001,-0.02942725457271711,-1.7795965258503327e-14
0.001,-0.03356998002998901,1.425941002103423e-14
0.001,-0.03812697803298759,-4.580434031775958e-15
0.001,-0.04313967583628664,3.807354584546501e-15
0.001,-0.04865364341991518,8.740011047749846e-15
0.001,-0.05471900776190708,9.074320235963032e-15
0.001,-0.061390908538097366,-8.8319253004160255e-16
0.001,-0.06872999939190727,3.190673500869132e-15
0.001,-0.07680299933109791,5.813221585521798e-15
0.001,-0.08568329926420759,-8.725927880882087e-15
0.001,-0.09545162919062833,-1.2555664091980604e-14
0.001,-0.10619679210969157,2.1750123597752715e-15
0.001,-0.1180164713206604,-1.2806306478124783e-14
0.001,-0.1300164713206604,4.5315113494529635e-15
0.001,-0.14201647132066042,1.6801612005936697e-14
0.001,-0.15401647132066043,7.32139965314956e-15
0.001,-0.16601647132066044,-9.942928662002673e-15
0.001,-0.17801647132066045,-1.2942858945273579e-14
0.001,-0.19001647132066046,-2.5730492293568702e-14
0.001,-0.20201647132066047,1.5533939137768854e-14
0.001,-0.21401647132066048,-1.665359773006949e-14
0.001,-0.2260164713206605,1.3597801884779266e-14
0.001,-0.2380164713206605,1.8740862545065096e-14
0.001,-0.2500164713206605,2.4172487036680205e-16
0.001,-0.2620164713206605,-2.3153207314048244e-14
0.001,-0.27401647132066054,1.078866862091239e-14
0.001,-0.2860164713206603,-4.261572730819235e-14
0.001,-0.29801647132066034,-6.099784755751508e-14
0.001,-0.31001647132066035,-7.543719817049934e-14
0.001,-0.32201647132066036,-1.8943194519070027e-13
0.001,-0.33401647132066037,-4.073683194608801e-13
0.001,-0.3460164713206604,-8.688797938414203e-13
0.001,-0.3580164713206604,-1.7970332578369982e-12
0.001,-0.3700164713206604,-3.737616654802798e-12
0.001,-0.3820164713206604,-7.823315219945352e-12
0.001,-0.3940164713206604,-1.6316380253820348e-11
0.001,-0.40601647132066043,-3.4148615015485495e-11
0.001,-0.41801647132066044,-7.142035556686963e-11
0.001,-0.43001647132066045,-1.4944456888651338e-10
0.001,-0.44201647132066046,-3.128633700721197e-10
0.001,-0.4540164713206605,-6.552319572506333e-10
0.001,-0.4660164713206605,-1.3727052916961394e-9
0.001,-0.4780164713206605,-2.8765979699835036e-9
0.001,-0.4900164713206605,-6.029851814227759e-9
0.001,-0.5020164713206605,-1.264260741076143e-8
0.001,-0.5140164713206605,-2.6512577413798e-8
0.001,-0.5260164713206605,-5.560587108491494e-8
0.001,-0.5380164713206605,-1.1662771607945609e-7
0.001,-0.5500164713206603,-2.445876741982081e-7
0.001,-0.5620164713206603,-5.127765375589412e-7
0.001,-0.5740164713206604,-1.074349677670213e-6
0.001,-0.5860164713206604,-2.2484276684816534e-6
0.001,-0.5980164713206604,-4.6968941403589965e-6
0.001,-0.6100164713206604,-9.782709090338071e-6
0.001,-0.6220164713206604,-2.028134444733008e-5
0.001,-0.6340164713206604,-4.1748583285636304e-5
0.001,-0.6460164713206604,-8.502039570844826e-5
0.001,-0.6580164713206604,-0.0001704302266447982
0.001,-0.6700164713206604,-0.0003340652054872995
0.001,-0.6820164713206605,-0.0006352479574080747
0.001,-0.6940164713206605,-0.00116243106401859
0.001,-0.7060164713206605,-0.0020338218760151514
0.001,-0.7180164713206605,-0.003392766925424333
0.001,-0.7300164713206605,-0.005405088344261911
0.001,-0.7420164713206605,-0.008267588376499916
0.001,-0.7540164713206605,-0.012229902115081393
0.001,-0.7660164713206605,-0.01762440831869818
0.001,-0.7780164713206605,-0.024898284901020334
0.001,-0.7900164713206606,-0.03464476013333442
0.001,-0.8020164713206603,-0.04763157443911378
0.001,-0.8140164713206604,-0.06482212434055618
0.001,-0.8260164713206604,-0.08737979543247908
0.001,-0.8380164713206604,-0.11664015169686562
0.001,-0.8500164713206604,-0.15403076580676045
0.001,-0.8620164713206604,-0.20091670926040048
0.001,-0.8740164713206604,-0.258352621494353
0.001,-0.8860164713206604,-0.3267306554943778
0.001,-0.8980164713206604,-0.4053333769088971
0.001,-0.9100164713206604,-0.4918517780498426
0.001,-0.9220164713206604,-0.5820274611558076
0.001,-0.9340164713206605,-0.6696829350032976
0.001,-0.9460164713206605,-0.74740490482387
0.001,-0.9580164713206605,-0.8079505877409057
0.001,-0.9700164713206605,-0.8460665836902695
0.001,-0.9820164713206605,-0.8600077686654646
0.001,-0.9940164713206605,-0.8519585466692127
0.001,-1.0060164713206605,-0.8270636699044547
0.001,-1.0180164713206605,-0.7916115025933239
0.001,-1.0300164713206605,-0.7513489760567461
0.001,-1.0420164713206606,-0.7105810073515018
0.001,-1.0540164713206603,-0.6720554868187808
0.001,-1.0660164713206604,-0.637266081303632
0.001,-1.0780164713206604,-0.6068382755376849
0.001,-1.0900164713206604,-0.5808476467917334
0.001,-1.1020164713206604,-0.5590467677224141
0.001,-1.1140164713206604,-0.5410189726095046
0.001,-1.1260164713206604,-0.5262791885358825
0.001,-1.1380164713206604,-0.5143367886474154
0.001,-1.1500164713206604,-0.5047316860610384
0.001,-1.1620164713206604,-0.49705236970841904
0.001,-1.1740164713206604,-0.4909424358680086
0.001,-1.1860164713206605,-0.4861002730162846
0.001,-1.1980164713206605,-0.48227502312167875
0.001,-1.1899835286793394,-0.4778511921711891
0.001,-1.1779835286793394,-0.474218567817547
0.001,-1.1659835286793394,-0.47115754309740787
0.001,-1.1539835286793394,-0.4682974304906967
0.001,-1.1419835286793396,-0.46535824064109166
0.001,-1.1299835286793396,-0.46207205181496014
0.001,-1.1179835286793396,-0.45816107669036965
0.001,-1.1059835286793396,-0.45332510527259473
0.001,-1.0939835286793396,-0.4472380980343859
0.001,-1.0819835286793396,-0.4395573499358103
0.001,-1.0699835286793395,-0.42994874481149625
0.001,-1.0579835286793395,-0.4181289122560937
0.001,-1.0459835286793395,-0.403918918345445
0.001,-1.0339835286793395,-0.3872958744336983
0.001,-1.0219835286793395,-0.36842321958481977
0.001,-1.0099835286793395,-0.3476432402870779
0.001,-0.9979835286793395,-0.3254281930702596
0.001,-0.9859835286793395,-0.30230299862605725
0.001,-0.9739835286793395,-0.27876273437004667
0.001,-0.9619835286793395,-0.2552063608711982
0.001,-0.9499835286793394,-0.23189775459603712
0.001,-0.9379835286793394,-0.208957278722688
0.001,-0.9259835286793394,-0.18639410114670812
0.001,-0.9139835286793395,-0.16420234214188204
0.001,-0.9019835286793395,-0.14250575879786606
0.001,-0.8899835286793395,-0.12163838518905937
0.001,-0.8779835286793395,-0.10206674344514599
0.001,-0.8659835286793395,-0.08422805936777099
0.001,-0.8539835286793395,-0.06841491873640136
0.001,-0.8419835286793396,-0.05474387416386043
0.001,-0.8299835286793396,-0.04317859667200975
0.001,-0.8179835286793395,-0.03357411419990709
0.001,-0.8059835286793395,-0.025722408329925662
0.001,-0.7939835286793395,-0.019390390294460238
0.001,-0.7819835286793395,-0.014347453248374598
0.001,-0.7699835286793395,-0.010382830224740472
0.001,-0.7579835286793395,-0.007314035306931747
0.001,-0.7459835286793395,-0.004987740944870938
0.001,-0.7339835286793395,-0.0032746301044414834
0.001,-0.7219835286793395,-0.002060940766400852
0.001,-0.7099835286793394,-0.0012411688753203142
0.001,-0.6979835286793394,-0.0007162685914384073
0.001,-0.6859835286793395,-0.00039782893234540566
0.001,-0.6739835286793395,-0.00021397741110050096
0.001,-0.6619835286793395,-0.00011218748052407584
0.001,-0.6499835286793395,-5.767628090414057e-5
0.001,-0.6379835286793395,-2.9212315452217022e-5
0.001,-0.6259835286793395,-1.4623173767030311e-5
0.001,-0.6139835286793395,-7.244933534009669e-6
0.001,-0.6019835286793395,-3.5481713325248753e-6
0.001,-0.5899835286793395,-1.7069154250312998e-6
0.001,-0.5779835286793394,-7.919877338120933e-7
0.001,-0.5659835286793394,-3.360559748313129e-7
0.001,-0.5539835286793395,-1.0600833084139726e-7
0.001,-0.5419835286793395,1.3773777810545527e-8
0.001,-0.5299835286793395,8.043531426586938e-8
0.001,-0.5179835286793395,1.221968219228898e-7
0.001,-0.5059835286793395,1.5304326109562906e-7
0.001,-0.4939835286793395,1.7998966664617067e-7
0.001,-0.48198352867933947,2.0666220654022587e-7
0.001,-0.46998352867933946,2.350603232607763e-7
0.001,-0.45798352867933945,2.664241302807878e-7
0.001,-0.44598352867933944,3.0166378099749894e-7
0.001,-0.43398352867933954,3.415751740820549e-7
0.001,-0.4219835286793395,3.869525341325017e-7
0.001,-0.4099835286793395,4.386518236979922e-7
0.001,-0.3979835286793395,4.976314229902968e-7
0.001,-0.3859835286793395,5.649839625611577e-7
0.001,-0.3739835286793395,6.419653714919137e-7
0.001,-0.3619835286793395,7.300252760011524e-7
0.001,-0.34998352867933946,8.308409065778532e-7
0.001,-0.33798352867933945,9.463556124931089e-7
0.001,-0.32598352867933944,1.0788242119827007e-6
0.001,-0.31398352867933943,1.2308658295528383e-6
0.001,-0.30198352867933953,1.4055261334637808e-6
0.001,-0.2899835286793395,1.6063510588376774e-6
0.001,-0.2779835286793395,1.837473292689107e-6
0.001,-0.2659835286793395,2.1037152257827316e-6
0.001,-0.2539835286793395,2.410710673440584e-6
0.001,-0.24198352867933948,2.7650488073152435e-6
