ScanRate,Voltage,Value
0.001,-0.0011999999999997568,-5.871959608933848e-16
0.001,-0.0025199999999999667,7.848594477256618e-15
0.001,-0.0039719999999997535,-6.758204501227798e-15
0.001,-0.00556919999999983,-5.28722740262064e-15
0.001,-0.0073261199999996585,2.031062562978661e-15
0.001,-0.009258732000000158,-2.7806969185157276e-15
0.001,-0.011384605199999842,-4.561089684164521e-15
0.001,-0.013723065719999816,1.5903092459323158e-15
0.001,-0.016295372292000065,1.2362629260066381e-15
0.001,-0.019124909521200162,-5.846189862557998e-15
0.001,-0.022237400473320124,1.132440098258154e-15
0.001,-0.02566114052065216,-1.3144520103268254e-15
0.001,-0.02942725457271711,1.142313222903136e-15
0.001,-0.03356998002998901,-2.7820937993767398e-16
0.001,-0.03812697803298759,1.1819240929571037e-16
0.001,-0.04313967583628664,8.166824647117442e-16
0.001,-0.04865364341991518,3.0941801997984718e-15
0.001,-0.05471900776190708,-5.206364408234208e-16
0.001,-0.061390908538097366,2.046079203698763e-15
0.001,-0.06872999939190727,-1.2007848745597007e-15
0.001,-0.07680299933109791,-1.2211189488302356e-15
0.001,-0.08568329926420759,-6.4499763208698026e-15
0.001,-0.09545162919062833,3.708737284540293e-16
0.001,-0.10619679210969157,-1.659930868221042e-15
0.001,-0.1180164713206604,-1.0630185215919482e-16
0.001,-0.1300164713206604,2.781817270665805e-15
0.001,-0.14201647132066042,5.795174972158105e-16
0.001,-0.15401647132066043,6.356185010841847e-16
0.001,-0.16601647132066044,-4.189239757352572e-15
0.001,-0.17801647132066045,-1.7527398582943983e-15
0.001,-0.19001647132066046,-2.4713579293579e-16
0.001,-0.20201647132066047,5.520573623915623e-15
0.001,-0.21401647132066048,6.551372954213495e-15
0.001,-0.2260164713206605,-6.689089143292435e-15
0.001,-0.2380164713206605,-6.798177199800686e-16
0.001,-0.2500164713206605,-1.7234320037761694e-15
0.001,-0.2620164713206605,-2.20459267111368e-15
0.001,-0.27401647132066054,-2.1463789757082988e-14
0.001,-0.2860164713206603,-1.9981082411498476e-14
0.001,-0.29801647132066034,-3.836568386208201e-14
0.001,-0.31001647132066035,-9.05903352253395e-14
0.001,-0.32201647132066036,-1.8574136262246643e-13
0.001,-0.33401647132066037,-3.8058408140176403e-13
0.001,-0.3460164713206604,-7.926874175211957e-13
0.001,-0.3580164713206604,-1.6546298462959104e-12
0.001,-0.3700164713206604,-3.475371865586362e-12
0.001,-0.3820164713206604,-7.2644893841033096e-12
0.001,-0.3940164713206604,-1.5184546675795035e-11
0.001,-0.40601647132066043,-3.1749496314582144e-11
0.001,-0.41801647132066044,-6.642360652095688e-11
0.001,-0.43001647132066045,-1.390092761215716e-10
0.001,-0.44201647132066046,-2.9101133553168385e-10
0.001,-0.4540164713206605,-6.094520788322796e-10
0.001,-0.4660164713206605,-1.2767732851942034e-9
0.001,-0.4780164713206605,-2.675617846186038e-9
0.001,-0.4900164713206605,-5.608602412439746e-9
0.001,-0.5020164713206605,-1.175956415431579e-8
0.001,-0.5140164713206605,-2.466099865471073e-8
0.001,-0.5260164713206605,-5.172304504979919e-8
0.001,-0.5380164713206605,-1.0848501727972493e-7
0.001,-0.5500164713206603,-2.275133352835168e-7
0.001,-0.5620164713206603,-4.769850117329075e-7
0.001,-0.5740164713206604,-9.99370641812792e-7
0.001,-0.5860164713206604,-2.0915318529551086e-6
0.001,-0.5980164713206604,-4.369198621332505e-6
0.001,-0.6100164713206604,-9.100337396067244e-6
0.001,-0.6220164713206604,-1.886715633104104e-5
0.001,-0.6340164713206604,-3.8839263976394385e-5
0.001,-0.6460164713206604,-7.910207436373158e-5
0.001,-0.6580164713206604,-0.00015859019478844328
0.001,-0.6700164713206604,-0.00031093993374328727
0.001,-0.6820164713206605,-0.0005915385943972109
0.001,-0.6940164713206605,-0.0010832069784341995
0.001,-0.7060164713206605,-0.0018971296491247529
0.001,-0.7180164713206605,-0.003169063385041402
0.001,-0.7300164713206605,-0.005057605845353228
0.001,-0.7420164713206605,-0.00775351658525808
0.001,-0.7540164713206605,-0.011502923411904906
0.001,-0.7660164713206605,-0.0166406461752761
0.001,-0.7780164713206605,-0.023629952220611844
0.001,-0.7900164713206606,-0.03310918021129443
0.001,-0.8020164713206603,-0.045948810735511755
0.001,-0.8140164713206604,-0.06332347642591023
0.001,-0.8260164713206604,-0.08680324655613265
0.001,-0.8380164713206604,-0.11846866249279282
0.001,-0.8500164713206604,-0.16105573568673073
0.001,-0.8620164713206604,-0.21814149336285535
0.001,-0.8740164713206604,-0.29438560280530557
0.001,-0.8860164713206604,-0.3958363450842637
0.001,-0.8980164713206604,-0.5302624993359555
0.001,-0.9100164713206604,-0.7073749085429947
