ScanRate,Voltage,Value
0.001,-0.0020000000000000018,2.2802203838897557e-15
0.001,-0.0044000000000000705,-5.6600077403811025e-15
0.001,-0.007279999999999731,-3.903686261762073e-15
0.001,-0.010735999999999857,-1.551714041544968e-15
0.001,-0.014883200000000207,2.456775959598164e-15
0.001,-0.019859840000000073,-6.602310684790273e-15
0.001,-0.025831807999999845,8.949177881101591e-15
0.001,-0.032998169599999905,-6.5243570493177764e-15
0.001,-0.04159780352000009,-1.9117661670913044e-15
0.001,-0.051917364224000284,1.0261074925344406e-15
0.001,-0.06430083706879985,-1.4093615759792558e-15
0.001,-0.07916100448256014,-2.512712075678292e-16
0.001,-0.09699320537907163,-3.95372712771996e-15
0.001,-0.11699320537907165,9.053686831028836e-16
0.001,-0.13699320537907167,1.3708821113144485e-15
0.001,-0.1569932053790717,3.255482773120984e-15
0.001,-0.1769932053790717,-5.465418377981367e-15
0.001,-0.19699320537907172,-5.241795909729051e-15
0.001,-0.21699320537907174,1.5113361432456076e-15
0.001,-0.23699320537907176,-7.520007655407156e-15
0.001,-0.2569932053790718,-2.8799189055236517e-15
0.001,-0.27699320537907157,-1.3958346773861303e-14
0.001,-0.2969932053790716,-3.915069779811472e-14
0.001,-0.3169932053790716,-1.3562490073571542e-13
0.001,-0.3369932053790716,-4.612115107741306e-13
0.001,-0.35699320537907164,-1.5692441343704044e-12
0.001,-0.37699320537907166,-5.337392507565575e-12
0.001,-0.3969932053790717,-1.823988647547909e-11
0.001,-0.4169932053790717,-6.236718509042547e-11
0.001,-0.4369932053790717,-2.1358595906841844e-10
0.001,-0.45699320537907173,-7.321394135150325e-10
0.001,-0.47699320537907175,-2.5120091319896985e-9
0.001,-0.49699320537907177,-8.625472970471326e-9
0.001,-0.5169932053790718,-2.9634783314489136e-8
0.001,-0.5369932053790716,-1.018450286505941e-7
0.001,-0.5569932053790716,-3.4990357120203987e-7
0.001,-0.5769932053790716,-1.2004509549937007e-6
0.001,-0.5969932053790716,-4.1035699634083075e-6
0.001,-0.6169932053790717,-1.3914232419813089e-5
0.001,-0.6369932053790717,-4.638823777187354e-5
0.001,-0.6569932053790717,-0.00014957167801169316
0.001,-0.6769932053790717,-0.0004538228126052611
0.001,-0.6969932053790717,-0.0012501643923331978
0.001,-0.7169932053790717,-0.0030389477877378144
0.001,-0.7369932053790718,-0.006512530010199368
0.001,-0.7569932053790718,-0.012632335603952109
0.001,-0.7769932053790718,-0.02294695075348296
0.001,-0.7969932053790716,-0.04009690032865678
0.001,-0.8169932053790716,-0.06850524996103734
0.001,-0.8369932053790716,-0.11537993375363209
0.001,-0.8569932053790716,-0.1921913233639697
0.001,-0.8769932053790717,-0.3168768072990744
0.001,-0.8969932053790717,-0.5171409488366355
0.001,-0.9169932053790717,-0.8341586069613393
0.001,-0.9369932053790717,-1.3216048213554266
0.001,-0.9569932053790717,-2.0301464975175834
0.001,-0.9769932053790717,-2.978731053931759
0.001,-0.9969932053790718,-4.126082075378365
0.001,-1.0169932053790718,-5.365504369619434
0.001,-1.0369932053790716,-6.560154210076239
0.001,-1.0569932053790716,-7.596670233862056
0.001,-1.0769932053790716,-8.417743347678636
0.001,-1.0969932053790716,-9.020491332291199
0.001,-1.1169932053790717,-9.4360687673204
0.001,-1.1369932053790717,-9.708440290621212
0.001,-1.1569932053790717,-9.880081162702378
0.001,-1.1769932053790717,-9.985184411198851
0.001,-1.1969932053790717,-10.048280988620407
0.001,-1.1830067946209282,-9.99822417440133
0.001,-1.1630067946209282,-9.90006476383888
0.001,-1.1430067946209284,-9.741181168065394
0.001,-1.1230067946209283,-9.488371438069617
0.001,-1.1030067946209283,-9.101149086483671
0.001,-1.0830067946209283,-8.536734525065762
0.001,-1.0630067946209283,-7.762866887901528
0.001,-1.0430067946209283,-6.776787237626428
0.001,-1.0230067946209283,-5.624032301592225
0.001,-1.0030067946209282,-4.403016909759777
0.001,-0.9830067946209282,-3.241585769703313
0.001,-0.9630067946209282,-2.251136879012601
0.001,-0.9430067946209282,-1.4882599629968567
0.001,-0.9230067946209283,-0.9494911757969802
0.001,-0.9030067946209283,-0.5930465189918899
0.001,-0.8930067946209282,-0.4665874357582331
0.001,-0.8810067946209282,-0.34831570503658815
0.001,-0.8666067946209277,-0.24395266177137984
0.001,-0.849326794620928,-0.1579251790160255
0.001,-0.829326794620928,-0.09449937485737761
0.001,-0.8093267946209279,-0.055860669455151835
0.001,-0.7893267946209279,-0.03246736429383525
0.001,-0.7693267946209279,-0.018354514311404314
0.001,-0.7493267946209279,-0.009891109289219295
0.001,-0.729326794620928,-0.004928479624174245
0.001,-0.709326794620928,-0.002195749573895321
0.001,-0.6893267946209279,-0.0008593868956340647
0.001,-0.6693267946209279,-0.00029935154818073816
0.001,-0.6493267946209279,-9.600850633222482e-5
0.001,-0.629326794620928,-2.9321203748459134e-5
0.001,-0.609326794620928,-8.725487028273745e-6
0.001,-0.589326794620928,-2.5634207300288604e-6
0.001,-0.569326794620928,-7.485760133490045e-7
0.001,-0.5493267946209279,-2.1803430658074864e-7
0.001,-0.5293267946209279,-6.344919194466114e-8
0.001,-0.509326794620928,-1.846342433677801e-8
0.001,-0.489326794620928,-5.37500594327073e-9
0.001,-0.46932679462092797,-1.5657990509073284e-9
0.001,-0.44932679462092795,-4.5652081597433796e-10
0.001,-0.42932679462092793,-1.3323027718827017e-10
0.001,-0.4093267946209279,-3.8918876648308625e-11
0.001,-0.3893267946209279,-1.1378340646177622e-11
0.001,-0.369326794620928,-3.336883467548499e-12
0.001,-0.34932679462092797,-9.812720956897934e-13
0.001,-0.32932679462092795,-2.8304880410551625e-13
0.001,-0.30932679462092794,-8.224373387184185e-14
0.001,-0.2893267946209279,-2.5940670417059203e-14
0.001,-0.2693267946209279,-4.60539978545444e-15
0.001,-0.249326794620928,3.214338312446904e-15
0.001,-0.22932679462092798,2.8957529684213994e-15
0.001,-0.20932679462092796,-1.2398597202157328e-15
0.001,-0.18932679462092805,6.428439187775328e-15
0.001,-0.16932679462092803,6.755844223344473e-17
0.001,-0.14932679462092802,-7.640174581070454e-15
0.001,-0.129326794620928,-2.5142994631238864e-15
0.001,-0.10932679462092798,2.9493898139593174e-15
0.001,-0.08932679462092796,-1.8192715346358446e-15
0.001,-0.06932679462092795,6.932477486805461e-16
0.001,-0.04932679462092793,1.226331391217937e-15
0.001,-0.02932679462092791,9.9938280803698e-16
0.001,-0.009326794620927892,2.4274106465409297e-15
0.001,0.010673205379072126,-1.5138118741414072e-15
0.001,0.030673205379072144,-1.1439812150838929e-15
0.001,0.05067320537907216,3.022584694142274e-15
0.001,0.07067320537907196,2.3186826032329346e-15
0.001,0.09067320537907197,-4.287735258489263e-15
0.001,0.11067320537907199,1.3416817353351405e-15
0.001,0.130673205379072,2.1289190671298306e-15
0.001,0.15067320537907203,-1.4531101769303218e-15
0.001,0.17067320537907205,-2.303315633019337e-15
0.001,0.19067320537907206,4.516675719614494e-15
0.001,0.21067320537907208,-6.563051268956945e-16
0.001,0.2306732053790721,2.2123506795509354e-15
0.001,0.2506732053790721,1.1024803992016048e-16
0.001,0.27067320537907213,1.0999753378419385e-15
0.001,0.29067320537907215,-3.522430931105062e-15
0.001,0.31067320537907217,-9.379823673056973e-16
0.001,0.33067320537907197,1.9225201677350915e-15
0.001,0.350673205379072,-5.0107813655399164e-15
0.001,0.370673205379072,1.8936857242566968e-15
0.001,0.390673205379072,-4.294138079608643e-15
0.001,0.41067320537907204,-9.460691962309925e-17
0.001,0.43067320537907205,4.2254120054277486e-15
0.001,0.4506732053790721,-1.1248902930760163e-14
0.001,0.4706732053790721,-7.70127293793844e-15
0.001,0.4906732053790721,-2.318162635896826e-15
0.001,0.5106732053790721,2.2589288587526705e-15
0.001,0.5306732053790721,1.864989952036575e-15
0.001,0.5506732053790722,-4.2972032132335644e-15
0.001,0.5706732053790722,5.750905985325137e-15
0.001,0.590673205379072,4.839246216217453e-15
0.001,0.610673205379072,-7.586564871203268e-16
0.001,0.630673205379072,8.532019524300269e-16
0.001,0.650673205379072,1.795009451666014e-15
0.001,0.670673205379072,-1.4832906294861786e-15
0.001,0.6906732053790721,2.6823307189685733e-15
0.001,0.7106732053790721,-3.476666023909023e-16
0.001,0.7306732053790721,6.751195244479524e-17
0.001,0.7506732053790721,8.409312819572948e-15
0.001,0.7706732053790721,-3.553483715662219e-15
0.001,0.7906732053790722,3.638283684183322e-15
0.001,0.789326794620928,4.478581228514759e-15
0.001,0.769326794620928,-1.904775035325102e-15
0.001,0.7493267946209281,8.376298285647342e-15
0.001,0.7293267946209281,-6.07461119192262e-15
0.001,0.7093267946209281,3.3682254990010243e-15
0.001,0.689326794620928,4.180283788864291e-15
0.001,0.669326794620928,4.0804865736815675e-17
0.001,0.649326794620928,3.672206464977999e-16
0.001,0.629326794620928,5.109271678974098e-15
0.001,0.6093267946209281,-1.6306203615075825e-16
0.001,0.5893267946209281,-3.0814136310228787e-15
0.001,0.5693267946209281,4.566003580269643e-15
0.001,0.549326794620928,-1.2072809532362253e-15
0.001,0.5293267946209281,9.088804379432419e-15
0.001,0.5093267946209281,4.7434800447824956e-15
0.001,0.48932679462092804,-1.7370420723309443e-16
0.001,0.469326794620928,4.152351207382145e-15
0.001,0.44932679462092806,1.0674414644428645e-16
0.001,0.42932679462092804,-1.2594093747273212e-15
0.001,0.409326794620928,4.550603089521766e-15
0.001,0.38932679462092806,-2.0564418855309132e-15
0.001,0.36932679462092805,1.6957697148554274e-15
0.001,0.349326794620928,-2.0953167266899796e-15
0.001,0.32932679462092806,8.703447128493889e-17
0.001,0.30932679462092805,3.777469123511546e-15
0.001,0.28932679462092803,6.225106419641651e-15
0.001,0.269326794620928,-2.7546237371512383e-16
0.001,0.249326794620928,7.03268792242348e-16
0.001,0.2293267946209281,-8.255947994679511e-16
0.001,0.20932679462092807,3.166238939471371e-15
0.001,0.18932679462092805,-1.3554351307774468e-15
0.001,0.16932679462092803,3.0097122103617564e-15
0.001,0.14932679462092802,-2.810590259831752e-15
0.001,0.129326794620928,-7.820354636297629e-16
0.001,0.10932679462092809,-5.934082337370091e-16
0.001,0.08932679462092807,-1.1009534191481084e-15
0.001,0.06932679462092806,3.2593825281467954e-15
0.001,0.05199509596569629,4.549342352142383e-15
0.001,0.03899632197427216,1.868237709242524e-15
0.001,0.025997547982848146,-5.25350604816081e-15
0.001,0.012998773991424128,3.939517495445053e-16
0.001,0.0,1.9661296565689413e-15
0.005,-0.0019999999999998908,-1.4817532740257602e-15
0.005,-0.0043999999999999595,-2.322953079406666e-15
0.005,-0.007280000000000064,-3.2448050197236294e-15
0.005,-0.010735999999999968,8.351733420489204e-16
0.005,-0.014883199999999874,-5.450143124256177e-16
0.005,-0.019859840000000295,1.734711329973166e-15
0.005,-0.025831807999999734,4.225009044902362e-15
0.005,-0.032998169599999794,-2.61407494260873e-15
0.005,-0.041597803519999865,1.582611064001721e-15
0.005,-0.051917364224000284,-1.3626513650949798e-15
0.005,-0.06430083706879997,1.0005882280412734e-15
0.005,-0.0791610044825597,-4.634093927407336e-15
0.005,-0.09699320537907163,1.4093433735031687e-15
0.005,-0.11699320537907165,-3.684637994102298e-15
0.005,-0.13699320537907167,-3.9645913213159326e-15
0.005,-0.1569932053790717,4.830338932315952e-16
0.005,-0.1769932053790717,4.402883282238092e-15
0.005,-0.19699320537907172,4.0866180380560555e-15
0.005,-0.21699320537907174,2.7854436737148776e-15
0.005,-0.23699320537907176,2.1167010318775636e-15
0.005,-0.2569932053790718,-9.316327201292375e-15
0.005,-0.27699320537907157,-1.3737433283556426e-14
0.005,-0.2969932053790716,-3.961776294772998e-14
0.005,-0.3169932053790716,-1.3580648865339002e-13
0.005,-0.3369932053790716,-4.595250386179694e-13
0.005,-0.35699320537907164,-1.5589923817401873e-12
0.005,-0.37699320537907166,-5.3384250264194765e-12
0.005,-0.3969932053790717,-1.8233756223592068e-11
0.005,-0.4169932053790717,-6.23746677001385e-11
0.005,-0.4369932053790717,-2.1358515854797634e-10
0.005,-0.45699320537907173,-7.321463519158771e-10
0.005,-0.47699320537907175,-2.5120000050050313e-9
0.005,-0.49699320537907177,-8.62545374753448e-9
0.005,-0.5169932053790718,-2.9634724670597975e-8
0.005,-0.5369932053790716,-1.01844829632567e-7
0.005,-0.5569932053790716,-3.499028850171248e-7
0.005,-0.5769932053790716,-1.2004486740556055e-6
0.005,-0.5969932053790716,-4.103563137767957e-6
0.005,-0.6169932053790717,-1.3914220185209738e-5
0.005,-0.6369932053790717,-4.638831329562649e-5
0.005,-0.6569932053790717,-0.00014957302650605087
0.005,-0.6769932053790717,-0.000453835460384506
0.005,-0.6969932053790717,-0.0012502472323822494
0.005,-0.7169932053790717,-0.003039330147489159
0.005,-0.7369932053790718,-0.006513846555050683
0.005,-0.7569932053790718,-0.012636146076748732
0.005,-0.7769932053790718,-0.022957292375019003
0.005,-0.7969932053790716,-0.04012481093192734
0.005,-0.8169932053790716,-0.06858161273974603
0.005,-0.8369932053790716,-0.11559235300649931
0.005,-0.8569932053790716,-0.19279068950375453
0.005,-0.8769932053790717,-0.31856557362904303
0.005,-0.8969932053790717,-0.5226215515520846
0.005,-0.9169932053790717,-0.8458213688134602
0.005,-0.9369932053790717,-1.3357007990786434
0.005,-0.9569932053790717,-2.0264863053550406
0.005,-0.9769932053790717,-2.905462727903881
0.005,-0.9969932053790718,-3.8834093032538064
0.005,-1.0169932053790718,-4.812717019043961
0.005,-1.0369932053790716,-5.564391125944592
0.005,-1.0569932053790716,-6.094567116791573
0.005,-1.0769932053790716,-6.4354260096545435
0.005,-1.0969932053790716,-6.643962224473531
0.005,-1.1169932053790717,-6.76861588241695
0.005,-1.1369932053790717,-6.842280121855689
0.005,-1.1569932053790717,-6.885530042739281
0.005,-1.1769932053790717,-6.9108194983402305
0.005,-1.1969932053790717,-6.9255661034978475
0.005,-1.1830067946209282,-6.899295645772167
0.005,-1.1630067946209282,-6.863578946199732
0.005,-1.1430067946209284,-6.805897179254629
0.005,-1.1230067946209283,-6.709510917055441
0.005,-1.1030067946209283,-6.551557020184226
0.005,-1.0830067946209283,-6.300116308357597
0.005,-1.0630067946209283,-5.917043370594303
0.005,-1.0430067946209283,-5.369288232968348
0.005,-1.0230067946209283,-4.650428744122199
0.005,-1.0030067946209282,-3.8025811297188294
0.005,-0.9830067946209282,-2.9166388483210235
0.005,-0.9630067946209282,-2.099189243327072
0.005,-0.9430067946209282,-1.4276361624425409
0.005,-0.9230067946209283,-0.9280765819329329
0.005,-0.9030067946209283,-0.5845450954619411
0.005,-0.8830067946209282,-0.3614392082489115
0.005,-0.8630067946209283,-0.22105582949465086
0.005,-0.8430067946209283,-0.13372234669267874
0.005,-0.8230067946209283,-0.07990246883245167
0.005,-0.8030067946209283,-0.04707498588232454
0.005,-0.7830067946209283,-0.027185520316209934
0.005,-0.7630067946209282,-0.01518661162088577
0.005,-0.7430067946209282,-0.008016841388159736
0.005,-0.7230067946209282,-0.00387029750456891
0.005,-0.7030067946209282,-0.0016568120413766663
0.005,-0.6830067946209283,-0.0006234994282652949
0.005,-0.6630067946209283,-0.00021080294309970906
0.005,-0.6430067946209282,-6.637085583172053e-5
0.005,-0.6230067946209282,-2.00671060149998e-5
0.005,-0.6030067946209282,-5.941489610322296e-6
0.005,-0.5830067946209282,-1.7413176252932867e-6
0.005,-0.5630067946209283,-5.07957516659754e-7
0.005,-0.5430067946209283,-1.4788992151704015e-7
0.005,-0.5230067946209283,-4.303349658547141e-8
0.005,-0.5030067946209282,-1.2523751936101974e-8
0.005,-0.4830067946209282,-3.646567643908113e-9
0.005,-0.4630067946209282,-1.0625507951843154e-9
0.005,-0.4430067946209283,-3.0987982265173135e-10
0.005,-0.4230067946209283,-9.04685859083137e-11
0.005,-0.40300679462092825,-2.644924643921234e-11
0.005,-0.38300679462092824,-7.74464885958803e-12
0.005,-0.3630067946209282,-2.263333017261786e-12
0.005,-0.3430067946209282,-6.770076126919043e-13
0.005,-0.3230067946209283,-2.0725039479205953e-13
0.005,-0.3030067946209283,-5.210968366202616e-14
0.005,-0.28300679462092826,-1.5990571120823783e-14
0.005,-0.26300679462092824,-1.5382111817980697e-14
0.005,-0.24300679462092822,-4.7836640822877875e-15
0.005,-0.2230067946209282,6.128421625942116e-16
0.005,-0.2030067946209282,-2.693995964693777e-16
0.005,-0.18300679462092817,-1.1937121202594895e-15
0.005,-0.16300679462092815,-1.3480921384800577e-15
0.005,-0.14300679462092813,1.3334393501875329e-14
0.005,-0.12300679462092834,-8.32421615441762e-17
0.005,-0.10300679462092832,-6.421903132508209e-15
0.005,-0.0830067946209283,1.577071806659076e-15
0.005,-0.06300679462092829,2.3771106903893198e-15
0.005,-0.04300679462092827,-4.475145972322415e-16
0.005,-0.02300679462092825,-9.779633611582258e-15
0.005,-0.0030067946209282326,5.604171941137521e-16
0.005,0.016993205379071785,-1.4938802750886933e-15
0.005,0.0369932053790718,-3.4854856157062693e-15
0.005,0.05699320537907182,6.36342451514143e-16
0.005,0.07699320537907184,-9.291736746779081e-15
0.005,0.09699320537907186,-4.575777659299224e-15
0.005,0.11699320537907187,-5.351055243530712e-15
0.005,0.13699320537907167,-2.003061930993033e-15
0.005,0.1569932053790717,-2.88248387486592e-15
0.005,0.1769932053790717,-4.301474188225248e-15
0.005,0.19699320537907172,-4.991633558386072e-15
0.005,0.21699320537907174,-1.4314824488145465e-14
0.005,0.23699320537907176,3.1360026193582246e-15
0.005,0.2569932053790718,-1.3961755742372628e-14
0.005,0.2769932053790718,8.5926674988655e-15
0.005,0.2969932053790718,-2.3061798429653853e-15
0.005,0.31699320537907183,-1.6396773904118936e-15
0.005,0.33699320537907185,-3.1319851434081244e-15
0.005,0.35699320537907187,-1.5695029747491374e-14
0.005,0.3769932053790719,-3.4354866460193676e-15
0.005,0.3969932053790717,5.76205266040326e-16
0.005,0.4169932053790717,1.0990097768540308e-14
0.005,0.4369932053790717,-1.508100813097563e-15
0.005,0.45699320537907173,-6.7415428769140374e-15
0.005,0.47699320537907175,5.1058450523240844e-15
0.005,0.49699320537907177,6.5950070129091774e-15
0.005,0.5169932053790718,-8.333688698283079e-16
0.005,0.5369932053790718,1.9556523228230134e-15
0.005,0.5569932053790718,-2.6476331249967257e-15
0.005,0.5769932053790718,-3.7077018177309035e-15
0.005,0.5969932053790719,-2.099334701457556e-15
0.005,0.6169932053790719,5.180627768296154e-15
0.005,0.6369932053790717,-8.50599397190529e-15
0.005,0.6569932053790717,-1.1480089916150588e-14
0.005,0.6769932053790717,4.703186117785762e-15
0.005,0.6969932053790717,-1.2738069929401002e-15
0.005,0.7169932053790717,-6.047836415682793e-15
0.005,0.7369932053790718,4.5616374309039575e-15
0.005,0.7569932053790718,-1.2385460594523374e-14
0.005,0.7769932053790718,-8.093788917923828e-15
0.005,0.7969932053790718,-6.1374125615346895e-15
0.005,0.7830067946209284,1.1322640424592678e-15
0.005,0.7630067946209284,1.4658720479355804e-14
0.005,0.7430067946209283,1.3596934607461182e-14
0.005,0.7230067946209283,7.175872980034647e-15
0.005,0.7030067946209283,7.28029842332366e-16
0.005,0.6830067946209284,-4.455535960896255e-15
0.005,0.6630067946209284,2.3443149378078394e-16
0.005,0.6430067946209284,1.0310135474628542e-14
0.005,0.6230067946209283,7.343094555352236e-16
0.005,0.6030067946209283,-7.078583868963181e-15
0.005,0.5830067946209283,2.5109701058816533e-15
0.005,0.5630067946209283,-4.5545931305106975e-15
0.005,0.5430067946209283,-7.680875293717992e-15
0.005,0.5230067946209284,3.793168206399676e-15
0.005,0.5030067946209283,-2.867506381337522e-15
0.005,0.4830067946209283,6.643937515562913e-15
0.005,0.46300679462092836,-3.98895805619133e-15
0.005,0.44300679462092835,-5.251069774593803e-15
0.005,0.42300679462092833,-9.362654624948645e-15
0.005,0.40300679462092837,-2.8847407745351813e-15
0.005,0.38300679462092835,1.4752662774573385e-14
0.005,0.36300679462092833,1.312897472893955e-14
0.005,0.3430067946209283,-1.2229405796627804e-14
0.005,0.32300679462092835,6.268195520245021e-15
0.005,0.30300679462092833,-7.718894912314797e-15
0.005,0.28300679462092837,-9.504629052546044e-15
0.005,0.26300679462092835,-7.03208435327776e-15
0.005,0.24300679462092833,-7.934135900166569e-15
0.005,0.22300679462092832,3.113329868630647e-15
0.005,0.2030067946209283,-5.4290765319644176e-15
0.005,0.18300679462092828,-8.671243472332298e-17
0.005,0.16300679462092837,1.3263153387616397e-14
0.005,0.14300679462092836,-4.293707350718289e-15
0.005,0.12300679462092834,7.474202743056788e-15
0.005,0.10300679462092832,8.611869228187717e-15
0.005,0.0830067946209283,6.216681392475373e-15
0.005,0.06300679462092829,1.3757939669986599e-15
0.005,0.047255095965696214,5.1701562266934e-15
0.005,0.03150339731046414,9.203052944449937e-15
0.005,0.01575169865523207,7.091811759574883e-15
0.005,0.0,-4.098904025593507e-16
0.01,-0.0019999999999998908,4.464568048930581e-15
0.01,-0.0043999999999999595,-4.97247996495027e-15
0.01,-0.007280000000000064,-1.4710439953602249e-15
0.01,-0.010735999999999968,-4.1700983018061436e-15
0.01,-0.014883199999999874,-1.4620166830412198e-15
0.01,-0.019859840000000295,4.9003457460314396e-15
0.01,-0.025831807999999734,3.1154789009083813e-15
0.01,-0.032998169599999794,2.1186035312710962e-15
0.01,-0.041597803519999865,1.7672586740338488e-15
0.01,-0.051917364224000284,1.7506075438802556e-15
0.01,-0.06430083706879997,4.007248560087017e-16
0.01,-0.0791610044825597,2.505167430143606e-15
0.01,-0.09699320537907163,9.014167727924153e-16
0.01,-0.11699320537907165,-4.149417162989484e-15
0.01,-0.13699320537907167,-4.5318645122258304e-15
0.01,-0.1569932053790717,3.9083745917931725e-16
0.01,-0.1769932053790717,4.317325111153772e-16
0.01,-0.19699320537907172,-2.2949135514569466e-15
0.01,-0.21699320537907174,3.4991088197878678e-15
0.01,-0.23699320537907176,5.161152686997197e-15
0.01,-0.2569932053790718,-6.515078994674221e-15
0.01,-0.27699320537907157,-6.3303030347482506e-15
0.01,-0.2969932053790716,-4.0762087149710424e-14
0.01,-0.3169932053790716,-1.3253869446638538e-13
0.01,-0.3369932053790716,-4.585926829117907e-13
0.01,-0.35699320537907164,-1.5623283323518154e-12
0.01,-0.37699320537907166,-5.335644159894919e-12
0.01,-0.3969932053790717,-1.8238131683884755e-11
0.01,-0.4169932053790717,-6.236830969776932e-11
0.01,-0.4369932053790717,-2.1358157470004377e-10
0.01,-0.45699320537907173,-7.321400514560942e-10
0.01,-0.47699320537907175,-2.5119902072491315e-9
0.01,-0.49699320537907177,-8.625435662139713e-9
0.01,-0.5169932053790718,-2.963465392152363e-8
0.01,-0.5369932053790716,-1.0184457007329352e-7
0.01,-0.5569932053790716,-3.4990201887281027e-7
0.01,-0.5769932053790716,-1.2004457811961296e-6
0.01,-0.5969932053790716,-4.103554256683026e-6
0.01,-0.6169932053790717,-1.3914201130096664e-5
0.01,-0.6369932053790717,-4.63883674656356e-5
0.01,-0.6569932053790717,-0.00014957431961033874
0.01,-0.6769932053790717,-0.00045384805579695426
0.01,-0.6969932053790717,-0.0012503307491282326
0.01,-0.7169932053790717,-0.0030397187707687616
0.01,-0.7369932053790718,-0.0065151961832667585
0.01,-0.7569932053790718,-0.012640084212149742
0.01,-0.7769932053790718,-0.02296803796110616
0.01,-0.7969932053790716,-0.04015388523277715
