Voltage,Current,a_K⁺,c_K⁺,γ_K⁺,a_H⁺,c_H⁺,γ_H⁺,a_HCO₃⁻,c_HCO₃⁻,γ_HCO₃⁻,a_CO₃²⁻,c_CO₃²⁻,γ_CO₃²⁻,a_CO₂,c_CO₂,γ_CO₂,a_OH⁻,c_OH⁻,γ_OH⁻,a_CO,c_CO,γ_CO
-1.5,-104.91265782041005,5016.88215444771,3.0098642493947447,1666.8134303587137,8.423003434547114e-7,5.053357071123674e-10,1666.8134303587135,7.561975837083062e-7,4.5367860009717185e-10,1666.813430358714,4.257950405263057e-11,2.5545452944584844e-14,1666.8134303587137,4.3647155603302817e-8,2.6185987470661037e-11,1666.8134303587135,1.1553459419204375e-5,6.9314652790612335e-9,1666.813430358714,0.02028804696669996,1.2171756356878996e-5,1666.8134303587137
-1.4932890167170314,-104.92192894791563,4743.397221248707,3.009760140267544,1576.0050635885743,7.961883738613914e-7,5.051940455371793e-10,1576.0050635885743,7.995915444484844e-7,5.073534107992071e-10,1576.005063588574,4.750737113532436e-11,3.01441741736221e-14,1576.0050635885743,5.263037778119143e-8,3.3394802464245703e-11,1576.0050635885743,1.0972115510588412e-5,6.9619798591286436e-9,1576.0050635885743,0.02028841862757206,1.2873320712165221e-5,1576.0050635885743
-1.4865780334340628,-104.9306931410367,4485.5701860583085,3.0096503739140705,1490.395769866383,7.527309564735274e-7,5.050544101725486e-10,1490.3957698663828,8.453461662557969e-7,5.67195763264669e-10,1490.3957698663828,5.3008506740389866e-11,3.5566731878970765e-14,1490.3957698663833,6.34561060706705e-8,4.2576681545707465e-11,1490.395769866383,1.0422125982753243e-5,6.992858000185822e-9,1490.3957698663828,0.02028876823480818,1.3613007125367184e-5,1490.3957698663828
-1.4731560668681258,-104.94680115428388,4013.2135207797683,3.0094127129124053,1333.5537208174812,6.731541363962962e-7,5.047821665434267e-10,1333.5537208174812,9.444219407986317e-7,7.081993968864576e-10,1333.5537208174812,6.599174125491094e-11,4.9485626431650145e-14,1333.5537208174812,9.221813641927994e-8,6.915217210953402e-11,1333.5537208174812,9.409257128740221e-6,7.05577659291615e-9,1333.5537208174812,0.020289403874489447,1.5214538085538729e-5,1333.553720817481
-1.4597341003021886,-104.96116246723716,3593.013886462135,3.009148818663642,1194.0299742495909,6.024125176479639e-7,5.045204313455872e-10,1194.0299742495909,1.0544510759172678e-6,8.8310268473784e-10,1194.0299742495909,8.212413273766491e-11,6.877895405370981e-14,1194.0299742495909,1.3396285470732724e-7,1.1219387921272124e-10,1194.0299742495909,8.501943831600449e-6,7.120377222476048e-9,1194.0299742495909,0.020289957536645822,1.6992837679303153e-5,1194.0299742495909
-1.4447654443146336,-104.97529833133969,3178.602398389956,3.0088202874795806,1056.4281328522275,5.326955329496402e-7,5.042420931288785e-10,1056.4281328522277,1.1914579472929306e-6,1.1278173216346849e-9,1056.428132852228,1.0472761964170866e-10,9.913369057955396e-14,1056.4281328522277,2.0306409011487409e-7,1.9221760931964742e-10,1056.4281328522277,7.600606753827705e-6,7.1946273650503705e-9,1056.4281328522277,0.02029047919673351,1.920668199355093e-5,1056.4281328522277
-1.4322915643250045,-104.9856711813244,2871.8624172840964,3.008516115544695,954.5777077428561,4.811279568802296e-7,5.040217815455583e-10,954.577707742856,1.318336197710545e-6,1.3810674469109623e-9,954.5777077428561,1.281444690276572e-10,1.3424205068716804e-13,954.5777077428563,2.8708233504862705e-7,3.0074276061552565e-10,954.5777077428563,6.928784176548785e-6,7.2584810229145415e-9,954.5777077428562,0.020290833887766355,2.1256345840869243e-5,954.5777077428561
-1.4218966643336468,-104.99338430547698,2640.1668980671393,3.008239556807813,877.6451636281078,4.421986804564236e-7,5.038467694944198e-10,877.6451636281078,1.4337233070615997e-6,1.6336024699717068e-9,877.6451636281079,1.5151201052589203e-10,1.7263470113542783e-13,877.6451636281078,3.8300187197714286e-7,4.3639717718473697e-10,877.6451636281079,6.418409269315585e-6,7.313216702274579e-9,877.645163628108,0.020291069222522457,2.3119900916038735e-5,877.6451636281079
-1.4132342476741822,-104.99917815264294,2462.2014205567984,3.0079918317859975,818.5532269530348,4.1231121952252535e-7,5.037072800473879e-10,818.5532269530347,1.537103830424645e-6,1.877830029632071e-9,818.5532269530348,1.7412223624453298e-10,2.1271950376725278e-13,818.5532269530347,4.869094189640441e-7,5.948414873111005e-10,818.5532269530349,6.024541727348065e-6,7.3599877551930155e-9,818.5532269530347,0.02029121884616581,2.47891257135439e-5,818.5532269530348
-1.4060155671246282,-105.00356560711825,2323.601014496511,3.0077726517335837,772.532130431222,3.8904391550120714e-7,5.035957731415593e-10,772.532130431222,1.6285917958650493e-6,2.1081217618171826e-9,772.5321304312221,1.9545001276356483e-10,2.529992023172758e-13,772.5321304312221,5.946536904905684e-7,7.697462242232394e-10,772.5321304312222,5.716608159832288e-6,7.399832233050705e-9,772.532130431222,0.020291307336731065,2.6265972038476376e-5,772.5321304312221
